order,word,phonetic,example,note,definition_en
1,English,/ˈɪŋɡlɪʃ/,John took extra English classes to prepare for his TOEFL exam.,,
2,Spanish,/ˈspænɪʃ/,Learning Spanish is helpful for travelling in Central and South America.,,
3,French,/frɛntʃ/,He decided to learn French to understand French films without subtitles.,,
4,German,/ˈdʒɝːmən/,"After three years of hard work, she has become fluent in German.",,
5,Italian,/ɪˈtæljən/,His favorite subject in school is Italian because he loves the culture and history.,,
6,Portuguese,/ˌpɔrtʃəˈɡiz/,He took a course in Portuguese to better understand Brazilian culture.,,
7,Dutch,/dʌʧ/,He can speak Dutch fluently after living in the Netherlands for five years.,,
8,Russian,/ˈrʌʃən/,He decided to learn Russian for his new job.,,
9,Chinese,/ˈʧaɪˈniz/,Chinese is spoken by more than a billion people worldwide.,,
10,Japanese,/ˌʤæpəˈniz/,He is attending a language school to learn Japanese.,,
11,Korean,/kəˈriən/,Korean is considered one of the hardest languages for English speakers to learn.,,
12,Vietnamese,/ˌviˌɛtˌnɑˈmiz/,My brother has a Vietnamese pen pal to practice the language.,,
13,Greek,/ɡriːk/,Greek is considered one of the oldest languages in the world.,,
14,Hindi,/ˈhɪndi/,Bollywood movies are often in Hindi.,,
15,Arabic,/ˈɛrəbɪk/,Arabic is one of the oldest languages in the world.,,
16,Persian,/ˈpɜrʒən/,"As a translator, he specializes in English and Persian.",,
17,Turkish,/ˈtɝkɪʃ/,He has been learning Turkish to prepare for his trip to Istanbul.,,
18,grammar,/ˈɡræmɚ/,I practice my English grammar every day by writing journal entries.,,
19,letter,/ˈlɛtɚ/,"In English, the letter ""E"" is the most commonly used letter.",,
20,word,/wɝd/,"The word ""friendship"" holds a special meaning for her.",,
21,phrase,/freɪz/,"He wrote down the phrase ""carpe diem"" in his notebook, as it inspired him.",,
22,sentence,/ˈsɛntəns/,Can you construct a sentence using the words provided in the vocabulary list?,,
23,verb,/vɝb/,One common mistake in English is using the wrong verb tense.,,
24,adjective,/ˈædʒɪktɪv/,He's studying the use of comparative adjectives for his test tomorrow.,,
25,noun,/naʊn/,"A noun is a word that represents a person, place, thing, or idea.",,
26,vocabulary,/voʊˈkæbjəˌlɛri/,His vocabulary in Spanish is quite extensive for a beginner.,,
27,adverb,/ˈædˌvɝb/,"""Quickly"" is an adverb that shows how fast something is done.",,
28,clause,/klɔːz/,He highlighted the main clause in the sentence with a red marker.,,
