order,word,phonetic,example,note,definition_en
1,litigant,/ˈɫɪtɪɡənt/,"The litigant filed a lawsuit against the company, alleging discrimination in the workplace.",,
2,punitive damages,/pjˈuːnɪtˌɪv dˈæmɪdʒᵻz/,"In the product liability case, the court awarded punitive damages to deter the company from manufacturing unsafe products.",,
3,intestacy,/ɪntˈɛstəsi/,"In the absence of a will, the deceased's estate will be subject to intestacy, and the distribution will follow legal guidelines.",,
4,bar,/bɑr/,"The court reporter sat just outside the bar, capturing a verbatim record of the proceedings.",,
5,litigator,/ˈɫɪtəˌɡeɪtɝ/,"As a skilled litigator, she has successfully represented clients in numerous high-profile court cases.",,
6,probable cause,/pɹˈɑːbəbəl kˈɔːz/,The police officer had probable cause to stop the vehicle due to a traffic violation.,,
7,barrister,"/ˈbæɹɪstɝ/, /ˈbɛɹɪstɝ/","The barrister specialized in family law, providing guidance and representation in divorce and custody cases.",,
8,injunction,"/ˌɪnˈdʒəŋkʃən/, /ˌɪnˈdʒəŋʃən/","A temporary injunction was granted, halting the eviction process until the case could be reviewed.",,
9,affidavit,/ˌæfəˈdeɪvət/,"She signed an affidavit, swearing under oath to tell the truth in her statement to the court.",,
10,deposition,/ˌdɛpəˈzɪʃən/,The attorney scheduled a deposition with the key witness to gather essential information for the upcoming trial.,,
11,notary,/ˈnoʊtɝi/,The notary public witnessed the signing of the legal document and affixed their official seal.,,
12,adjournment,/əˈdʒɝnmənt/,The judge called for a brief adjournment to allow the attorneys to review new evidence.,,
13,acquittal,/əˈkwɪtəɫ/,"The defendant was relieved to receive an acquittal after a lengthy trial, as the jury found them not guilty of all charges.",,
14,infraction,/ˌɪnˈfɹækʃən/,The police issued a citation for the minor infraction of jaywalking.,,
15,indictment,/ˌɪnˈdaɪtmənt/,The indictment revealed a complex web of illegal activities involving drug trafficking and money laundering.,,
16,parole,/pɝˈoʊɫ/,"After serving half of his sentence in prison, the inmate was eligible for parole, subject to certain conditions and supervision.",,
17,subpoena,/səˈpinə/,"The attorney served a subpoena on the key witness, requiring their presence at the trial.",,
18,remit,/ɹiˈmɪt/,"The governor's remit of the prisoner's sentence brought relief to the inmate's family, who had advocated for clemency.",,
19,tort,/ˈtɔɹt/,"The injured party filed a lawsuit, alleging the tort of negligence after a car accident.",,
20,ordinance,/ˈɔɹdənəns/,Residents were asked to comply with the water conservation ordinance during the drought.,,
21,to extradite,/ˈɛkstɹəˌdaɪt/,The fugitive was arrested in one country and extradited to face charges in another for embezzlement.,,
22,to adjudicate,/əˈdʒudɪˌkeɪt/,The judge will adjudicate the case and determine the appropriate legal resolution.,,
23,to annex,"/ˈæˌnɛks/, /əˈnɛks/",The additional terms were annexed to the main contract for clarity.,,
24,to exempt,/ɪɡˈzɛmpt/,The government announced a program to exempt low-income families from certain property taxes.,,
25,to remand,/ɹɪˈmænd/,The appellate court remanded the case to the lower court for further proceedings.,,
26,to infringe,/ˌɪnˈfɹɪndʒ/,The company was warned about potential legal consequences if it continued to infringe environmental regulations.,,
27,witness tampering,/wˈɪtnəs tˈæmpɚɹɪŋ/,The defendant was charged with witness tampering after attempting to intimidate a key witness into changing their testimony.,,
28,to perjure,/ˈpɝdʒɝ/,"It is morally wrong to perjure oneself in court, as it undermines the pursuit of justice.",,
29,to annul,/ˈænəɫ/,"The court ruled to annul the contract, declaring it void from the beginning due to a lack of mutual consent.",,
30,to co-sign,/kˈoʊsˈaɪn/,She agreed to co-sign her friend's car loan.,,
