order,word,phonetic,example,note,definition_en
1,enlivening,/ɛnˈɫaɪvənɪŋ/,The enlivening music played at the party encouraged everyone to hit the dance floor.,,
2,mesmerizing,/ˈmɛzmɝˌaɪzɪŋ/,The artist's mesmerizing brushstrokes created a visually stunning masterpiece.,,
3,exhilarating,/ɪɡˈzɪɫɝˌeɪtɪŋ/,Completing the challenging hike to the mountain summit was an exhilarating achievement.,,
4,spellbinding,/ˈspɛɫˌbaɪndɪŋ/,"The magician's performance was truly spellbinding, leaving the audience in awe.",,
5,riveting,/ˈɹɪvətɪŋ/,"The documentary about the history of space exploration was absolutely riveting, leaving me glued to the screen.",,
6,enthralling,/ɛnθɹˈɔːlɪŋ/,The enthralling novel kept readers on the edge of their seats until the last page.,,
7,enchanting,"/ɛnˈtʃænɪŋ/, /ɛnˈtʃæntɪŋ/","The garden was filled with enchanting flowers, their colors and fragrance creating a magical atmosphere.",,
8,invigorating,/ˌɪnˈvɪɡɝˌeɪtɪŋ/,The invigorating morning run left her feeling energized and ready for the day.,,
9,laudable,/ˈɫɔdəbəɫ/,His teachers always said he had a laudable passion for learning.,,
10,meritorious,/ˌmɛɹəˈtɔɹiəs/,"The firefighter's actions during the rescue operation were considered meritorious, earning him the highest honor in the department.",,
11,wondrous,/ˈwəndɹəs/,"The view from the mountaintop was truly wondrous, with sweeping vistas of untouched wilderness.",,
12,aggravating,/ˈæɡɹəˌveɪtɪŋ/,The constant noise from the construction site was aggravating for the residents trying to work from home.,,
13,repugnant,"/ɹiˈpəɡnənt/, /ɹɪˈpəɡnənt/",The very thought of cruelty to animals is repugnant to me.,,
14,off-putting,/ˈɔfpˈʊɾɪŋ/,His sarcastic and dismissive tone during the meeting was off-putting to colleagues.,,
15,disquieting,/dɪsˈkwaɪətɪŋ/,The disquieting news of the approaching storm led to a rush of preparations in the coastal town.,,
16,perturbing,/pɝˈtɝbɪŋ/,The sudden change in weather and dark clouds on the horizon were perturbing for the hikers.,,
17,irksome,/ˈɝksəm/,The children's constant bickering on the long car ride was especially irksome for the parents.,,
18,exasperating,/ɪɡˈzæspɝˌeɪtɪŋ/,The constant interruptions during the important meeting were exasperating for everyone present.,,
19,vexatious,/vɛkˈseɪʃəs/,"The vexatious customer continued to make unreasonable demands, causing a headache for the customer service representative.",,
20,gruesome,/ˈɡɹusəm/,The crime scene was too gruesome for most people to describe.,,
21,nerve-wracking,/nˈɜːvɹˈækɪŋ/,Waiting for the exam results was nerve-wracking for the students.,,
22,haunting,/ˈhɔntɪŋ/,The haunting images from the war documentary lingered in the minds of the viewers long after they had finished watching.,,
23,repellent,/ɹɪˈpɛɫənt/,The smell from the garbage was utterly repellent.,,
24,lamentable,/ɫəˈmɛntəbəɫ/,"The state of the war-torn region was lamentable, with widespread suffering and destruction.",,
25,excruciating,/ɪksˈkɹuʃiˌeɪtɪŋ/,The excruciating pain in his leg made every step a challenge after the accident.,,
26,abhorrent,/æbˈhɔɹənt/,The abhorrent act of animal cruelty sparked widespread outrage and calls for stricter legislation.,,
27,wearisome,/ˈwɪɹisəm/,"The wearisome task of data entry, with its repetitive nature, made the workday feel endless for the office clerk.",,
