order,word,phonetic,example,note,definition_en
1,thundering,/ˈθəndɝɪŋ/,"As the explorers approached the entrance, the thundering cave impressed them with its colossal dimensions.",,
2,gargantuan,/ɡɑɹˈɡæntʃuən/,The construction project aimed to build a gargantuan skyscraper that would dominate the city skyline.,,
3,jumbo,/ˈdʒəmboʊ/,"The family ordered a jumbo pizza to satisfy their hunger, featuring an oversized crust and generous toppings.",,
4,whopping,/ˈwɑpɪŋ/,The whopping prize money drew competitors from all over the world to the prestigious tournament.,,
5,humongous,/hjuˈmɔŋɡəs/,The explorer marveled at the humongous icebergs that floated majestically in the Arctic Ocean.,,
6,brobdingnagian,/ˌbɹɔbdɪɡˈnæɡiən/,"The chef presented a brobdingnagian cake at the center of the banquet hall, impressing everyone with its grandeur.",,
7,ginormous,/dʒˈɪnoːɹməs/,"The ginormous pumpkin at the county fair broke records for its size, drawing crowds of amazed spectators.",,
8,colossal,/kəˈɫɑsəɫ/,The ancient ruins revealed the remains of a colossal structure that once stood as a testament to architectural marvels.,,
9,thumping,/ˈθəmpɪŋ/,"The company celebrated a thumping success with the launch of its groundbreaking product, gaining widespread acclaim.",,
10,walloping,/ˈwɔɫəpɪŋ/,"The company reported a walloping increase in profits, exceeding all expectations for the quarter.",,
11,infinitesimal,/ˌɪnfɪnɪˈtɛsɪməɫ/,The infinitesimal crack in the glass was barely visible to the naked eye.,,
12,titchy,/tˈɪtʃi/,The titchy kitten struggled to climb up the tall couch.,,
13,shrimpy,/ʃɹˈɪmpi/,The backpacker carried a shrimpy tent that was perfect for solo camping trips.,,
14,vest-pocket,/vˈɛstpˈɑːkɪt/,He always carried a vest-pocket notebook to jot down his creative ideas whenever inspiration struck.,,
15,wee,/ˈwi/,"The toddler toddled around the garden, picking up wee flowers with tiny hands.",,
16,ickle,/ˈaɪkəl/,"The ickle puppy snuggled into its bed, looking adorable and tiny.",,
17,stupendous,/stuˈpɛndəs/,"The company faced stupendous debts, making it difficult to recover financially.",,
18,prodigious,/pɹəˈdɪdʒəs/,The earthquake caused a prodigious amount of damage to the city.,,
19,stately,/ˈsteɪtɫi/,"The stately mountain range stretched across the horizon, displaying a rugged and impressive natural landscape.",,
20,altitudinous,/ˌæltɪtˈuːdɪnəs/,"The altitudinous mountain peaks were covered in snow, creating a breathtaking and majestic vista.",,
21,sweeping,/ˈswipɪŋ/,The sweeping coastline was visible from the hilltop.,,
22,commodious,/kəˈmoʊdiəs/,"Despite the car's compact exterior, the interior is commodious, offering ample legroom and cargo space.",,
23,voluminous,/vəˈɫumənəs/,She wore a voluminous gown that swept across the ballroom floor.,,
