order,word,phonetic,example,note,definition_en
1,detectable,/dɪˈtɛktəbəl/,The slight fragrance of roses was barely detectable in the air.,,
2,empirical,/ɛmˈpɪrɪkəl/,The scientist relied on empirical data to support her hypothesis about climate change.,,
3,experimental,/ɪkˌspɛrəˈmɛntəl/,The experimental study investigated the effects of meditation on stress levels.,,
4,preliminary,/prɪˈlɪməˌnɛri/,The preliminary investigation revealed important evidence for further examination.,,
5,qualitative,/ˈkwɑləˌteɪtɪv/,The qualitative analysis of the artwork focused on its emotional impact rather than its monetary value.,,
6,quantitative,/ˈkwɑntəˌteɪtɪv/,The study used quantitative data to analyze the correlation between income and happiness.,,
7,scholarly,/ˈskɑlərli/,The scholarly article thoroughly examines the historical context of the Renaissance period.,,
8,theoretical,/ˌθiəˈrɛtɪkəl/,Urban planners relied heavily on theoretical models of traffic flow without real-world validation.,,
9,to correlate,/ˈkɔrəˌleɪt/,The increase in exercise tends to correlate with improvements in overall health and well-being.,,
10,to disprove,/dɪsˈpruv/,The scientist conducted experiments to disprove the theory.,,
11,to self-report,/ˌsɛlf rɪˈpɔrt/,Participants in a research study may be asked to self-report their daily activities or feelings.,,
12,to verify,/ˈvɛrəˌfaɪ/,The software automatically verifies the integrity of the downloaded files.,,
13,apparatus,/ˌæpəˈrætəs/,"The laboratory apparatus included microscopes, test tubes, and beakers.",,
14,carbon dating,/ˈkɑrbən ˈdeɪtɪŋ/,"Carbon dating revealed that the ancient artifact was over 5,000 years old.",,
15,clinical trial,/ˈklɪnɪkəl ˈtraɪəl/,The new drug is currently undergoing a clinical trial to assess its safety and efficacy.,,
16,control,/kənˈtroʊl/,"In the experiment, the untreated plants served as the control to compare the effects of the new fertilizer.",,
17,guinea pig,/ˈɡɪni pɪɡ/,"The new drug is still in its testing phase, and they need volunteers to be guinea pigs for the clinical trials.",,
18,pseudoscience,/ˌsudoʊˈsaɪəns/,Astrology is often regarded as pseudoscience because its claims are not supported by empirical evidence.,,
19,subject,/ˈsʌbˌdʒɛkt/,The subjects in the clinical trial were closely monitored for any adverse effects of the new medication.,,
20,treatise,/ˈtritɪs/,"Isaac Newton's ""Mathematical Principles of Natural Philosophy"" is a famous treatise on physics.",,
21,abstract,/ˈæbˌstrækt/,"Before attending the lecture, I skimmed through the abstract to get an idea of what the speaker would discuss.",,
22,thesis,/ˈθisɪs/,"In the debate, Sarah presented the thesis that stricter gun control laws would lead to a decrease in gun-related violence.",,
23,literature,/ˈlɪtərəˌtʃʊr/,The library contains a vast collection of literature on art history and theory.,,
24,citation,/saɪˈteɪʃən/,"In academic writing, it is essential to provide proper citations for all sources used.",,
25,limitation,/ˌlɪmɪˈteɪʃən/,"The study's findings were influenced by several limitations, including a small sample size.",,
26,methodology,/ˌmɛθəˈdɑlədʒi/,The researcher described the methodology used to gather data for the study.,,
27,randomization,/ˌrændəməˈzeɪʃən/,Randomization is used in clinical trials to assign participants to different treatment groups.,,
28,parameter,/pəˈræmɪtər/,The company policy sets strict parameters for employee conduct during business hours.,,
29,peer review,/ˈpɪr rɪˌvju/,The manuscript underwent rigorous peer review before being accepted for publication in the journal.,,
30,dissemination,/dɪˌsɛməˈneɪʃən/,Effective dissemination of educational materials can empower individuals and communities to make positive changes.,,
