order,word,phonetic,example,note,definition_en
1,meteorology,/ˌmiːtiəˈrɑlədʒi/,She decided to pursue a career in meteorology after developing a fascination with weather patterns and storm systems.,,
2,to clear up,/klɪr ʌp/,"The rain clouds began to dissipate, and the sky started to clear up, promising a sunny afternoon.",,
3,to drift,/drɪft/,"As the autumn leaves fell from the trees, they would drift with the gentle breeze.",,
4,changeability,/ˌʧeɪndʒəˈbɪlɪti/,The changeability of the weather in this region makes it difficult to plan outdoor events in advance.,,
5,visibility,/ˌvɪzəˈbɪlɪti/,"The dense fog reduced visibility on the highway, causing several cars to slow down to avoid accidents.",,
6,to soak,/soʊk/,"The sudden downpour soaked everyone at the outdoor concert, leaving them drenched and scrambling for cover.",,
7,downpour,/ˈdaʊnpɔr/,"The unexpected downpour caught everyone off guard, forcing them to seek shelter under shop awnings.",,
8,front,/frʌnt/,The weather forecast predicted thunderstorms as a cold front was expected to move through the region.,,
9,gale,/ɡeɪl/,"The fishing boats stayed in port as a strong gale blew across the coast, making the sea too dangerous.",,
10,puddle,/ˈpʌdəl/,"After the rain, a large puddle formed at the end of the driveway, making it difficult to navigate.",,
11,snowdrift,/ˈsnoʊˌdrɪft/,"After the blizzard, we found ourselves trapped in our house due to the massive snowdrift blocking the front door.",,
12,torrent,/ˈtɔrənt/,"The river turned into a raging torrent after heavy rainfall, sweeping away everything in its path.",,
13,vapor,/ˈveɪpɚ/,"The morning mist rose from the lake, forming a delicate vapor that shrouded the landscape.",,
14,thundercloud,/ˈθʌndɚˌklaʊd/,"The sky darkened as thunderclouds gathered on the horizon, signaling an approaching storm.",,
15,whirlwind,/ˈwɝːlˌwɪnd/,"The children ran through the park, laughing and playing, caught up in a whirlwind of excitement.",,
16,cloudburst,/ˈklaʊdˌbɝːst/,"The sudden cloudburst caught us by surprise, drenching us within minutes.",,
17,baking,/ˈbeɪkɪŋ/,"The desert sun beat down, creating a baking heat that seemed to sear everything in its path.",,
18,breezy,/ˈbriːzi/,"The day was breezy, with a gentle wind rustling through the trees.",,
19,climatic,/klaɪˈmætɪk/,"The climatic conditions in the region vary greatly throughout the year, from hot and dry summers to cold and snowy winters.",,
20,dense,/dɛns/,The fog was so dense that I could barely see beyond a few feet in front of me.,,
21,dull,/dʌl/,"The sky was dull and overcast, casting a gray pall over the landscape.",,
22,extreme,/ɛkˈstɹim/,"The hikers faced extreme weather conditions during their ascent, including freezing temperatures and high winds.",,
23,favorable,/ˈfeɪvɚəbəl/,"The sailors rejoiced when they felt the favorable wind fill their sails, speeding their journey across the ocean.",,
24,gloomy,/ˈɡlumi/,"The sky grew increasingly gloomy as dark clouds gathered overhead, threatening to unleash a downpour.",,
25,glorious,/ˈɡlɔriəs/,The beach was packed with sunbathers enjoying the glorious weather and clear blue skies.,,
26,misty,/ˈmɪsti/,"The morning was misty, with a soft haze enveloping the landscape.",,
27,temperate,/ˈtɛmpɚət/,"The Mediterranean region is known for its temperate climate, characterized by mild winters and warm summers.",,
28,unpredictable,/ˌʌnprɪˈdɪktəbəl/,"The weather in this region is highly unpredictable, with sudden changes in temperature and frequent storms.",,
29,atmospheric pressure,/ˌætməˈsfɛrɪk ˈprɛʃɚ/,High atmospheric pressure often brings clear skies and stable weather conditions.,,
30,scorching,/ˈskɔrʧɪŋ/,"The scorching sun beat down on the desert sands, creating a shimmering heat haze.",,
31,hazy,/ˈheɪzi/,The view of the mountains was hazy due to the heat rising from the valley.,,
32,thunderclap,/ˈθʌndɚˌklæp/,"The sudden thunderclap startled the children, causing them to run indoors for cover.",,
33,to thaw,/θɔ/,"After weeks of cold weather, the ground began to thaw, revealing patches of green grass beneath the snow.",,
34,scorching hot,/ˈskɔrʧɪŋ hɑt/,"The desert experienced scorching hot temperatures, reaching well over 100 degrees Fahrenheit.",,
35,freezing cold,/ˈfriːzɪŋ koʊld/,The wind made the already freezing cold temperatures feel even colder.,,
36,famine,/ˈfæmɪn/,Many children were orphaned as a result of the famine.,,
