order,word,phonetic,example,note,definition_en
1,full,/fʊl/,"The restaurant was full, so we had to wait for a table to become available.",,
2,empty,/ˈɛmpti/,"The empty room echoed with every step, its walls bare and devoid of furniture.",,
3,necessary,/ˈnɛsəˌsɛri/,It is necessary to study for exams to achieve good grades.,,
4,unnecessary,/ʌnˈnɛsəˌsɛri/,His comments during the meeting were unnecessary and only served to prolong the discussion.,,
5,simple,/ˈsɪmpəl/,"The recipe was simple, requiring only a few ingredients and basic cooking techniques.",,
6,hard,/hɑrd/,Learning to play the piano at a professional level is hard and requires years of practice.,,
7,maximum,/ˈmæksəməm/,The maximum capacity of the venue is 500 people.,,
8,minimum,/ˈmɪnəməm/,The minimum requirement for admission to the program is a bachelor's degree.,,
9,near,/nɪr/,The near bus stop is convenient for commuting to work.,,
10,far,/fɑr/,"The village lay on the far side of the river, barely visible through the mist.",,
11,common,/ˈkɑmən/,The meeting was filled with common tasks and discussions.,,
12,uncommon,/ʌnˈkɑmən/,Seeing a shooting star in the city is uncommon due to light pollution.,,
13,busy,/ˈbɪzi/,"As a student, Jenny is always busy with assignments, exams, and extracurricular activities.",,
14,free,/friː/,"She enjoyed a free afternoon, allowing her to relax and read a book in the park.",,
15,lazy,/ˈleɪzi/,Her room was always messy because she was too lazy to tidy up after herself.,,
16,hardworking,/ˈhɑrdˌwɝkɪŋ/,"She's a hardworking student, consistently dedicating herself to her studies.",,
17,relaxing,/rɪˈlæksɪŋ/,"Spending the afternoon by the peaceful lake was relaxing, allowing her to unwind and recharge.",,
18,stressful,/ˈstrɛsfəl/,The workload at her new job was incredibly stressful.,,
19,dumb,/dʌm/,He's dumb for thinking he could get away with cheating on the test.,,
20,comfortable,/ˈkʌmfɚtəbl/,"After a long day, I like to change into comfortable pajamas.",,
21,uncomfortable,/ʌnˈkʌmfɚtəbl/,The tight jeans were uncomfortable to wear for long periods.,,
22,direct,"/daɪˈrɛkt/ , /dəˈrɛkt/",The direct route to the airport takes approximately twenty minutes by car.,,
23,indirect,"/ˌɪndəˈrɛkt/ , /ˌɪndaɪˈrɛkt/",Taking the scenic route was enjoyable but more indirect than the highway.,,
24,special,/ˈspɛʃəl/,That song holds a special place in her heart.,,
25,ordinary,/ˈɔrdəˌnɛri/,"His weekend routine was ordinary, consisting of household chores and relaxing at home.",,
26,famous,/ˈfeɪməs/,The famous singer performed to a sold-out crowd at the arena.,,
27,unknown,/ˌʌnˈnoʊn/,"The band played in small venues for years, struggling to gain recognition and remain relatively unknown in the music industry.",,
28,deep,/dip/,"The ocean is incredibly deep, with some parts reaching depths of over 36,000 feet.",,
29,shallow,/ˈʃæloʊ/,Be careful when diving into the shallow end of the pool to avoid hitting your head.,,
