order,word,phonetic,example,note,definition_en
1,account,/əˈkaʊnt/,Setting up an account on the website allowed me to customize my preferences and access exclusive content.,,
2,address bar,/əˈdrɛs bɑr/,,,
3,to attach,/əˈtæʧ/,Please attach the report to your email before sending it to the team.,,
4,blog,/blɑɡ/,She started a travel blog to share her adventures around the world.,,
5,blogger,/ˈblɑɡɚ/,The blogger published a new blog post discussing the latest trends in fashion.,,
6,blog post,/blɑɡ poʊst/,I read a really interesting blog post about healthy eating yesterday.,,
7,bookmark,/ˈbʊkˌmɑrk/,,,
8,browser,/ˈbraʊzɚ/,Google Chrome is the most popular browser worldwide.,,
9,to chat,/tʃæt/,She enjoys chatting with her friends late into the night.,,
10,chat room,/ʧæt ruːm/,I spent the evening chatting with friends in an online chat room.,,
11,DM,/diː ɛm/,,,
12,Facebook,/ˈfeɪsˌbʊk/,She posted a new photo on Facebook to share with her friends.,,
13,to follow,/ˈfɑloʊ/,I follow my favorite bands on Instagram to stay updated on their latest music releases.,,
14,to forward,/ˈfɔrwɚd/,I will forward your email to the appropriate department for further assistance.,,
15,Google,/ˈɡuːɡəl/,,,
16,inbox,/ˈɪnˌbɑks/,I have over 100 unread messages in my email inbox.,,
17,to like,/laɪk/,He liked her tweet on Twitter.,,
18,to log in,/lɑɡ ɪn/,You need to log in to your bank account to transfer money.,,
19,offline,/ˈɑfˌlaɪn/,,,
20,outbox,/ˈaʊtˌbɑks/,,,
21,page,/peɪdʒ/,The contact page on the website includes an email address and phone number.,,
22,server,/ˈsɝːvɚ/,The company's server stores all employee files and emails.,,
23,spam,/spæm/,The email filter automatically detects and removes spam from my inbox.,,
24,to surf,/sɝːf/,"After work, she likes to relax by surfing her favorite social media sites.",,
25,to tweet,/twiːt/,She tweeted a photo of her vacation to share with her followers.,,
26,tweet,/twiːt/,"Her latest tweet went viral, gaining thousands of likes and retweets within hours.",,
27,URL,/ˈjuː ɑr ɛl/,,,
28,to visit,/ˈvɪzɪt/,She visited the website to check the latest updates on the product launch.,,
29,YouTube,/ˈjuːˌtuːb/,,,
