order,word,phonetic,example,note,definition_en
1,darkness,/ˈdɑːrkˌnɪs/,She loves wearing clothes in the darkness of shades like black and navy blue.,,
2,brightness,/ˈbraɪtˌnɪs/,The artist admired the brightness of the flowers in the meadow.,,
3,lightness,/ˈlaɪtˌnɪs/,The artist used a light touch to create the sense of lightness in the artwork.,,
4,golden,/ˈɡoʊldən/,"Her hair had a natural shine, like strands of golden silk.",,
5,gold,/ɡoʊld/,His artwork featured intricate designs in gold ink.,,
6,silver,/ˈsɪlvɚ/,She wore a stunning silver dress to the party.,,
7,pale,/peɪl/,The artist painted the landscape with pale green meadows and distant mountains.,,
8,bright,/braɪt/,The artist used bright pink and purple to paint the flowers.,,
9,colorful,/ˈkʌlərˌfʊl/,The art gallery displayed a collection of colorful paintings and sculptures.,,
10,colored,/ˈkʌlɚd/,She had a collection of colored markers to use for art projects.,,
11,cream,/kriːm/,"The cream curtains added a touch of elegance to the windows, diffusing the sunlight gently.",,
12,shape,/ʃeɪp/,The children enjoyed cutting out different shapes from colored paper during the art class.,,
13,center,/ˈsɛntɚ/,She placed a vase of flowers on the center of the dining table.,,
14,circle,/ˈsɝːkəl/,She used a compass to draw a small circle on the map.,,
15,cross,/krɑːs/,The teacher marked the incorrect answers with a red cross.,,
16,square,/skwɛr/,Each tile on the bathroom floor was a small square shape.,,
17,diamond,/ˈdaɪmənd/,The baseball field was laid out in the form of a diamond.,,
18,star,/stɑr/,She drew a cute little star on the top corner of her paper.,,
19,line,/laɪn/,The child scribbled colorful lines on the paper.,,
20,dot,/dɑːt/,She put a red dot on the map to mark the location of her house.,,
21,side,/saɪd/,The car's right side was damaged.,,
22,surface,/ˈsɝːfɪs/,He used a soft cloth to clean the dusty surface of the bookshelf.,,
23,straight,/streɪt/,The hikers followed a straight path through the desert.,,
24,flat,/flæt/,"She spread the dough on the baking sheet, making it flat and even.",,
25,round,/raʊnd/,"The round table provided ample seating for guests, its smooth surface encouraging conversation.",,
26,to draw,/drɔː/,He drew a cute cat on the paper for his little sister.,,
27,to color,/ˈkʌlɚ/,The children are excited to color the birthday cards.,,
28,whole,/hoʊl/,He ate the whole pizza by himself.,,
29,paint,/peɪnt/,She bought a can of blue paint to redecorate her bedroom.,,
