order,word,phonetic,example,note,definition_en
1,to raise,/reɪz/,Can you raise the lamp so I can see?,,
2,to react,/riˈækt/,"The political leader had to react promptly to the evolving situation, addressing concerns and making policy adjustments.",,
3,to realize,/ˈriəˌlaɪz/,He realized his mistake at once after reviewing the report.,,
4,to recognize,/ˈrɛkəɡˌnaɪz/,I immediately recognized her voice on the phone.,,
5,to recommend,/ˌrɛkəˈmɛnd/,She regularly recommends this book to anyone interested in history.,,
6,to record,/rɪˈkɔːrd/,She records her daily expenses in a spreadsheet.,,
7,to refer,/rəˈfɜr/,The clinic doctor referred the patient to an oncologist for further tests and potential tumor management.,,
8,to remove,/rɪˈmuv/,The surgeon will carefully remove the tumor during the operation.,,
9,to replace,/rɪˈpleɪs/,"The company decided to replace the outdated equipment with newer, more efficient models.",,
10,to report,/rɪˈpɔrt/,"Scientists will report their findings during the conference, sharing their research with the academic community.",,
11,to respond,/rɪˈspɑnd/,She regularly responds promptly to emails from clients.,,
12,to rise,/raɪz/,The hot air balloon rose gracefully into the sky.,,
13,to sail,/seɪl/,"The sailboat gracefully sailed across the open sea, propelled by the ocean breeze.",,
14,to save,/seɪv/,Lifeguards work tirelessly to save swimmers in distress.,,
15,to seem,/siːm/,Choose whichever path seems right for you.,,
16,to shake,/ʃeɪk/,She shakes the salad dressing vigorously to emulsify the ingredients.,,
17,to shout,/ʃaʊt/,"Frustrated with the distant conversation, she had to shout to make herself heard across the crowded room.",,
18,to sign,/saɪn/,The author regularly signs copies of her books at book signings.,,
19,to ski,/skiː/,Winter enthusiasts often ski down slopes to enjoy the snowy landscapes.,,
20,to star,/stɑr/,He starred in a critically acclaimed play at the local theater.,,
21,to steal,/stiːl/,She steals cookies from the jar when no one is looking.,,
22,to suppose,/səˈpoʊz/,I suppose she’ll be at the meeting since she confirmed her attendance earlier.,,
23,to text,/tɛkst/,You can text your friend to ask for advice.,,
24,to tie,/taɪ/,The construction workers are tying reinforcing steel bars together for the foundation.,,
25,to notice,/ˈnoʊtɪs/,I couldn't help but notice the beautiful sunset as I walked along the beach.,,
26,to attend,/əˈtɛnd/,Employees must attend the mandatory training session next week.,,
27,to attack,/əˈtæk/,The predators in the wild often attack weaker members of the herd.,,
28,to provide,/prəˈvaɪd/,The company will provide training for all new employees.,,
29,to search,/sɝʧ/,"The detectives searched the area for evidence, meticulously examining every detail for clues.",,
30,to keep,/kiːp/,She keeps her room tidy.,,
31,to pull,/pʊl/,She pulled her suitcase behind her as she walked through the airport.,,
32,to push,/pʊʃ/,She pushed the cart down the aisle at the grocery store.,,
