order,word,phonetic,example,note,definition_en
1,gastronomy,/ɡæˈstrɑnəmi/,"With its diverse culture, India offers a rich tapestry of gastronomy from various regions.",,
2,bistro,/ˈbistroʊ/,We enjoyed a cozy dinner at a charming bistro downtown.,,
3,confectionery,/kənˈfɛkʃəˌnɛri/,The new confectionery in town sells a wide variety of handmade chocolates and candies.,,
4,diner,/ˈdaɪnər/,We stopped at a roadside diner for breakfast on our road trip.,,
5,drive-through,/ˈdraɪvˌθru/,We grabbed coffee from the drive-through on our way to work.,,
6,food court,/ˈfud ˌkɔrt/,We decided to meet at the food court for lunch since it offered a variety of options.,,
7,cholesterol,/kəˈlɛstəˌrɔl/,The doctor advised him to reduce his intake of saturated fats to lower his cholesterol levels.,,
8,greasy,/ˈɡrisi/,"The fries were too greasy for my taste, leaving an oily residue on my fingers.",,
9,oily,/ˈɔɪli/,"The fish was overly oily, making the dish feel heavy and rich.",,
10,savory,/ˈseɪvəri/,"The savory aroma of the roasted chicken filled the kitchen, making everyone's mouth water.",,
11,stale,/steɪl/,The bread became stale after sitting out on the counter for several days.,,
12,tasteless,/ˈteɪstləs/,"The tasteless crackers were disappointing, lacking any discernible flavor.",,
13,tender,/ˈtendər/,The steak was so tender that it practically melted in my mouth.,,
14,yummy,/ˈjʌmi/,He cooked a yummy pasta dish with a savory tomato sauce.,,
15,self-service,/ˌsɛlfˈsɜrvɪs/,The cafeteria offers a self-service salad bar where customers can create their own meals.,,
16,appetizer,/ˈæpɪˌtaɪzər/,We started our meal with a delicious appetizer of bruschetta topped with fresh tomatoes and basil.,,
17,entree,/ˈɑntreɪ/,"For my entree, I chose the grilled salmon with a side of asparagus and roasted potatoes.",,
18,specialty,/ˈspɛʃəlti/,"The Italian restaurant's specialty is homemade pasta, made fresh daily by skilled chefs.",,
19,a la carte,/ˌɑ lə ˈkɑrt/,"The restaurant offers an extensive à la carte featuring a wide range of appetizers, entrees, and desserts.",,
20,gourmet,/ɡʊrˈmeɪ/,She is a true gourmet who enjoys exploring new flavors and cuisines.,,
21,regular,/ˈrɛɡjʊlər/,"He's a regular at the coffee shop, stopping by every morning for his latte.",,
22,burrito,/bəˈritoʊ/,She ordered a chicken burrito with extra guacamole and salsa for lunch.,,
23,caviar,/ˈkæviˌɑr/,"He was amazed by the high price tag on the caviar, realizing it was a luxury out of his reach.",,
24,schnitzel,/ˈʃnɪtsəl/,"The Wiener schnitzel, a traditional Austrian dish, is made with breaded and fried veal.",,
25,spring roll,/ˈsprɪŋ ˌroʊl/,They ordered vegetable spring rolls as an appetizer before their main meal.,,
26,sushi,/ˈsuʃi/,"She enjoys sushi, especially the salmon and avocado rolls.",,
27,taco,/ˈtɑkoʊ/,"They had tacos for dinner, filled with seasoned ground beef, lettuce, and salsa.",,
28,port,/pɔrt/,The sommelier recommended pairing the dessert with a glass of vintage port.,,
29,to [wine] and [dine],/waɪn ænd daɪn/,The company wined and dined its clients at a five-star restaurant.,,
30,ale,/eɪl/,"He ordered a pint of ale, preferring its rich and malty flavor over lager.",,
31,pina colada,/ˌpinjə koʊˈlɑdə/,"She ordered a piña colada at the beach bar, enjoying its tropical flavors under the sun.",,
32,frappe,/fræˈpeɪ/,She ordered a chocolate frappe to enjoy as a refreshing treat on a hot day.,,
33,pilsner,/ˈpɪlznər/,He ordered a cold pilsner to accompany his meal at the brewery.,,
