order,word,phonetic,example,note,definition_en
1,batter,/ˈbætər/,I dipped the fish fillets in a light and crispy batter before frying them.,,
2,to blend,/ˈbɫɛnd/,The chef blended various spices to create a flavorful sauce.,,
3,to carve,/ˈkɑɹv/,"At the family dinner table, the father skillfully carved the roast turkey.",,
4,to deep-fry,/dˈiːpfɹˈaɪ/,He decided to deep-fry the chicken wings for a crispy texture and golden-brown color.,,
5,to defrost,/dɪˈfɹɔst/,She uses the microwave to defrost frozen vegetables quickly.,,
6,to digest,"/ˈdaɪdʒɛst/, /daɪˈdʒɛst/",Our bodies use enzymes to digest food in the stomach.,,
7,to mash,/ˈmæʃ/,She mashed the boiled potatoes with a fork to make creamy mashed potatoes for dinner.,,
8,to reheat,/ɹɪhˈiːt/,She reheated yesterday's leftovers for lunch.,,
9,to grate,/ˈɡɹeɪt/,Grate the cheese for the pizza using a cheese grater.,,
10,to grind,/ˈɡɹaɪnd/,She had to grind the coffee beans before brewing her morning coffee.,,
11,to simmer,/ˈsɪmɝ/,She simmers the soup for rich flavor.,,
12,to steam,/ˈstim/,She loves to steam vegetables for a healthy side dish.,,
13,to stew,/stuː/,Stew the beef with vegetables and broth in a slow cooker for several hours until it's tender.,,
14,to warm up,/wˈɔːɹm ˈʌp/,I'll warm the leftovers up in the microwave for lunch.,,
15,to whip,/wɪp/,The recipe instructed me to whip the eggs with a wire whisk until they formed soft peaks.,,
16,to squeeze,/ˈskwiz/,She squeezed the lemon to extract the juice for the recipe.,,
17,bland,/ˈbɫænd/,"The soup was bland, lacking seasoning and spices to enhance its taste.",,
18,chunky,/ˈtʃəŋki/,"The chunky tomato soup was full of large, tender pieces of vegetables and herbs.",,
19,chewy,/ˈtʃui/,The chewy caramel candies stuck to her teeth as she savored their sweetness.,,
20,creamy,/ˈkriːmi/,"The soup had a creamy texture, rich and velvety on the palate.",,
21,crispy,/ˈkɹɪspi/,The fries were perfectly crispy on the outside and fluffy on the inside.,,
22,crunchy,/ˈkɹəntʃi/,The crunchy texture of the fresh vegetables added a satisfying contrast to the salad.,,
23,tinned,/tˈɪnd/,She used tinned tomatoes to make a quick and flavorful pasta sauce.,,
24,appetite,/ˈæpəˌtaɪt/,"After a long day of hiking, her appetite was hearty, craving a substantial meal to replenish her energy.",,
25,banquet,/ˈbæŋkwət/,The wedding banquet featured multiple courses of gourmet cuisine served to guests seated at elegantly decorated tables.,,
26,feast,/ˈfist/,The royal wedding was followed by a lavish feast.,,
27,brunch,/ˈbɹəntʃ/,Many restaurants offer bottomless mimosas or bloody marys as part of their brunch menu to accompany the food.,,
28,buffet,"/ˈbəfət/, /bəˈfeɪ/",The hotel offered a lavish buffet with a wide variety of international cuisines.,,
29,teatime,/tˈiːtaɪm/,"Every afternoon, they gathered in the garden for teatime, savoring the warmth of the sun and the aroma of freshly brewed tea.",,
30,corkscrew,/ˈkɔɹksˌkɹu/,She struggled for a moment before remembering to use the corkscrew to open the bottle of wine for dinner.,,
31,glassware,/ˈɡɫæsˌwɛɹ/,"The hostess proudly displayed her collection of antique glassware, each piece sparkling under the chandelier.",,
32,tureen,/tjɚɹˈiːn/,The chef ladled the steaming soup into a large tureen before bringing it to the table.,,
