order,word,phonetic,example,note,definition_en
1,to exercise,/ˈɛksɚˌsaɪz/,He doesn't exercise as much as he should.,,
2,to hike,/haɪk/,They hike together every Sunday morning.,,
3,race,/reɪs/,My brother won a medal in the bicycle race.,,
4,point,/pɔɪnt/,Our team scored the first point of the match.,,
5,to score,/skɔr/,He scored a goal in the final minute.,,
6,medal,/ˈmɛdəl/,She won a gold medal in the swimming competition.,,
7,winner,/ˈwɪnɚ/,He was the winner of the marathon.,,
8,to win,/wɪn/,Our team won the championship after a hard-fought season.,,
9,loser,/ˈluːzɚ/,"Despite their efforts, the soccer team ended up being the losers of the championship match.",,
10,to lose,/luːz/,They lost the boxing match in the final round.,,
11,ski,/skiː/,She strapped on her skis and glided gracefully down the mountain slope.,,
12,skiing,/ˈskiːɪŋ/,He took up skiing as a hobby and now spends every weekend on the mountain.,,
13,skate,/skeɪt/,She laced up her skates and glided across the rink.,,
14,skating,/ˈskeɪtɪŋ/,"Skating has been a part of their family traditions for generations, with everyone participating in the annual winter outing.",,
15,ice skate,/aɪs skeɪt/,She laced up her ice skates and glided gracefully across the frozen pond.,,
16,ice skating,/ˈaɪs ˈskeɪtɪŋ/,She enjoys ice skating as a way to stay active and have fun during the winter months.,,
17,snowboard,/ˈsnoʊˌbɔrd/,He strapped on his snowboard and headed to the slopes for a day of snowboarding.,,
18,snowboarding,/ˈsnoʊˌbɔrdɪŋ/,Snowboarding is a popular winter activity that attracts enthusiasts of all ages to the mountains.,,
19,skateboard,/ˈskeɪtˌbɔrd/,"He enjoys riding his skateboard around the neighborhood, doing tricks and jumps at the local skate park.",,
20,skateboarding,/ˈskeɪtˌbɔrdɪŋ/,"He enjoys the thrill of skateboarding, spending hours perfecting his tricks at the skate park.",,
21,surfboard,/ˈsɝfˌbɔrd/,"They rented surfboards and wetsuits for their surfing lesson, eager to learn how to ride the waves.",,
22,surfing,/ˈsɝfɪŋ/,He enjoys surfing and spends most of his free time riding waves at the beach.,,
23,registration,/ˌrɛʤɪˈstreɪʃən/,Registration for the marathon started last week.,,
24,membership,/ˈmɛmbɚˌʃɪp/,"They launched a campaign to increase membership in the community group, encouraging people to join and get involved in local initiatives.",,
25,to practice,/ˈpræktɪs/,Musicians regularly practice their instruments to improve their skills.,,
26,team,/ˈtim/,The basketball team practiced diligently to enhance their coordination and strategy.,,
27,fan,/fæn/,She became a fan of soccer after watching the World Cup.,,
28,record,/ˈrɛkɚd/,"The gymnast achieved a perfect score, setting a new record in the floor exercise event.",,
29,net,/nɛt/,The tennis player's powerful serve sent the ball over the net and into the opponent's court.,,
30,prize,/praɪz/,She was thrilled to receive the first prize in the art competition for her stunning painting.,,
