order,word,phonetic,example,note,definition_en
1,to act,/ækt/,The company decided to act quickly to address customer complaints and improve its services.,,
2,to affect,/əˈfɛkt/,The sudden loss of her job profoundly affected her emotional well-being.,,
3,to analyze,/ˈænəˌlaɪz/,The scientist needed to analyze the data to draw meaningful conclusions from the experiment.,,
4,to apply,/əˈplaɪ/,Students often apply to multiple universities to increase their chances of acceptance.,,
5,to arrange,/əˈreɪndʒ/,She arranged a meeting with her colleagues to discuss the project.,,
6,to avoid,/əˈvɔɪd/,"To prevent a confrontation, he tried to avoid his ex-girlfriend at the party.",,
7,to beat,/biːt/,The soccer team managed to beat their opponents with a last-minute goal.,,
8,to behave,/bɪˈheɪv/,"Despite the challenging situation, he continued to behave calmly.",,
9,to blow,/bloʊ/,She blew on her cup of hot tea to cool it down before taking a sip.,,
10,to boil,/bɔɪl/,I boil eggs for breakfast every morning.,,
11,to burn,/bɝn/,"The building burned fiercely, sending plumes of smoke into the sky.",,
12,to cause,"/kɑz/ , /kɔz/",Please don't cause any more problems in class.,,
13,to collect,/kəˈlɛkt/,The students were instructed to collect leaves for their biology project.,,
14,to connect,/kəˈnɛkt/,The electrician will connect the wires to establish the electrical circuit.,,
15,to consider,/kənˈsɪdɚ/,I need to consider whether to accept the promotion.,,
16,to control,/kənˈtroʊl/,The CEO sought to control the company's strategic direction.,,
17,to cover,/ˈkʌvɚ/,She used a blanket to cover the delicate furniture during the move.,,
18,to depend,/dɪˈpɛnd/,The success of the project depends heavily on effective communication among team members.,,
19,to destroy,/dɪˈstrɔɪ/,Environmental pollution often destroys delicate ecosystems and harms wildlife.,,
20,to develop,/dɪˈvɛləp/,The small startup has the potential to develop into a leading technology company.,,
21,to dry,/draɪ/,"After washing her hair, she used a towel to dry it.",,
22,to exist,/ɪɡˈzɪst/,Many believe that extraterrestrial life might exist somewhere in the universe.,,
23,to expect,/ɪkˈspɛkt/,The weather forecast led us to expect rain this weekend.,,
24,to express,/ɪkˈsprɛs/,The artist expresses emotions through vibrant colors in her paintings.,,
25,to fight,/faɪt/,The soldiers bravely fought on the front lines during the war.,,
26,to fix,/fɪks/,He regularly fixes his bicycle when it has issues.,,
27,to greet,/ɡriːt/,"People commonly greet each other with a friendly ""hello"" or a warm smile.",,
28,to carry out,/ˈkæri ˈaʊt/,The research team will carry out experiments to test the hypothesis and gather data.,,
29,to look,/lʊk/,Are you looking for something specific at the store?,,
30,to stop,/stɑp/,I'll do whatever it takes to stop this chaos.,,
31,to disappear,/ˌdɪsəˈpɪr/,The sun disappears below the horizon every evening.,,
32,to name,/neɪm/,Parents often carefully name their children after considering various factors.,,
