order,word,phonetic,example,note,definition_en
1,arpeggio,/ɑːɹpˈɛɡɪˌoʊ/,"In the classical guitar piece, the musician showcased his skill with a beautiful arpeggio, highlighting the individual notes of the chord.",,
2,atonality,/eɪtoʊnˈælɪɾi/,The composer's bold experimentation with atonality marked a significant departure from traditional harmonic structures.,,
3,counterpoint,/ˈkaʊntɝˌpɔɪnt/,Bach's fugues are masterpieces of counterpoint.,,
4,libretto,"/ɫəˈbɹɛtoʊ/, /ɫɪˈbɹɛtoʊ/",The composer and the librettist worked closely together to ensure the libretto perfectly complemented the music in the opera.,,
5,rendition,/ɹɛnˈdɪʃən/,The pianist gave a moving rendition of Chopin's nocturne.,,
6,cadenza,/kˈædənzə/,The composer wrote a challenging cadenza for the soloist to demonstrate her musicality and expressiveness.,,
7,chaconne,/tʃˈækɑːn/,"The concert concluded with a stunning performance of Bach's Chaconne in D minor, a piece renowned for its emotional depth and complexity.",,
8,ditty,/ˈdɪti/,"The children sang a cheerful ditty as they skipped down the path, filling the air with laughter and melody.",,
9,rhapsody,/ˈɹæpsədi/,Rachmaninoff's Rhapsody on a Theme of Paganini is a masterful display of romanticism that sweeps the listener away in a torrent of rich melodies.,,
10,repertoire,/ˈɹɛpɝtˌwɑɹ/,"The jazz band had an extensive repertoire of standards from the Great American Songbook, ensuring a lively and diverse setlist for every performance.",,
11,treble,/ˈtɹɛbəɫ/,"The treble soared effortlessly above the rest of the choir, adding a celestial quality to the ensemble's performance.",,
12,clef,/ˈkɫɛf/,"The sheet music was marked with a treble clef at the beginning of the staff, indicating that it was intended for higher-pitched instruments or voices.",,
13,crossover,/ˈkɹɔˌsoʊvɝ/,"The singer's latest album marked a successful crossover from country to pop, attracting a new and diverse audience.",,
14,lo-fi,/lˈoʊfˌaɪ/,"She enjoyed studying to lo-fi beats, finding the relaxed and nostalgic vibe conducive to concentration.",,
15,solfege,/sˈɑːlfɛdʒ/,"In music class, we learn solfege to improve our singing skills.",,
16,riff,/ˈɹɪf/,The guitarist played a catchy riff that got everyone on their feet.,,
17,ensemble,/ɑnˈsɑmbəɫ/,The orchestra ensemble sounded magnificent during the symphony performance.,,
18,fanfare,/ˈfænˌfɛɹ/,"The brass section played a powerful fanfare to introduce the bride and groom, signaling the start of the wedding ceremony.",,
19,metronome,/mˈɛtɹənˌoʊm/,The pianist used a metronome during practice to ensure she kept a consistent tempo throughout the piece.,,
20,spiccato,/spɪkˈɑːɾoʊ/,The violinist used spiccato to add a lively texture to the piece.,,
21,orchestra pit,/ˈɔːɹkɛstɹə pˈɪt/,"The musicians gathered in the orchestra pit, tuning their instruments and preparing for the evening's performance.",,
22,fingering,/ˈfɪŋɡɝɪŋ/,The pianist practiced her fingering to ensure smooth transitions between notes.,,
23,outsider music,/aʊtsˈaɪdɚ mjˈuːzɪk/,"Outsider music often defies conventional norms, featuring unique and unconventional sounds that challenge mainstream tastes.",,
24,euphony,/ˈjufəni/,"The orchestral piece was a masterclass in euphony, captivating every listener.",,
25,virtuoso,/vɝtʃuˈoʊsoʊ/,"The young pianist was hailed as a virtuoso, astonishing audiences with his technical brilliance and emotional depth.",,
26,fugue,/ˈfjuɡ/,"Bach's ""The Art of Fugue"" is a masterpiece that exemplifies the complexity and beauty of fugue writing.",,
27,overture,/ˈoʊvɝtʃɝ/,"The orchestra's rendition of the ""William Tell Overture"" was electrifying, setting an exhilarating tone for the concert.",,
28,coda,/ˈkoʊdə/,"The symphony concluded with a powerful coda, bringing the piece to a dramatic and satisfying close.",,
