order,word,phonetic,example,note,definition_en
1,Christmas,/ˈkrɪsməs/,Families around the world celebrate Christmas by decorating their homes with lights and ornaments.,,
2,santa claus,/ˈsæntə ˌklɑz/,,,
3,christmas carol,/ˈkrɪsməs ˌkɛrəl/,,,
4,eggnog,/ˈɛɡˌnɑɡ/,,,
5,christmas stocking,/ˈkrɪsməs ˈstɑkɪŋ/,,,
6,christmas tree,/ˈkrɪsməs ˌtriː/,,,
7,christmas eve,/ˈkrɪsməs ˈiv/,"Friends exchanged heartfelt gifts and heartfelt wishes on Christmas Eve, cherishing the bonds of friendship that make the season bright.",,
8,mistletoe,/ˈmɪsəlˌtoʊ/,"As the holiday season approached, the family adorned their home with festive decorations, including sprigs of mistletoe hung above doorways.",,
9,God,/ɡɑd/,Many believers see God as a source of guidance and comfort.,,
10,angel,/ˈeɪndʒəl/,The painting showed an angel hovering over the newborn baby.,,
11,elf,/ɛlf/,"In the enchanted forest, the elves were known for their mischievous yet helpful nature.",,
12,Hanukkah,/ˈhɑnəkə/,"Families gather each year to celebrate Hanukkah, lighting the menorah and singing traditional songs.",,
13,miracle,/ˈmɪrəkəl/,The blind man's sudden recovery was called a miracle by the doctors.,,
14,eve,/iv/,,,
15,Easter,/ˈiːstɚ/,"Many families gather for a special meal to celebrate Easter, often featuring traditional dishes like ham and lamb.",,
16,Thanksgiving,/ˌθæŋksˈɡɪvɪŋ/,Families come together for a feast on Thanksgiving.,,
17,to celebrate,/ˈsɛləˌbreɪt/,The priest will celebrate Mass at the church every Sunday morning.,,
18,celebration,/ˌsɛləˈbreɪʃən/,"The celebration of Independence Day includes fireworks, parades, and picnics to commemorate the nation's freedom.",,
19,charity,/ˈʧærəti/,The charity organized a fundraiser to support homeless shelters.,,
20,religion,/rɪˈlɪdʒən/,Her religion teaches the importance of compassion and charity.,,
21,prayer,/ˈprɛr/,"The congregation gathered in the church for a moment of prayer, bowing their heads in reverence and reflection.",,
22,to pray,/preɪ/,"In times of trouble, people often pray for guidance and strength.",,
23,abbey,/ˈæbi/,"We visited the abbey during our vacation, marveling at its breathtaking architecture and tranquil surroundings.",,
24,cathedral,/kəˈθiːdrəl/,The cathedral is known for its stunning Gothic architecture and intricate stained glass windows.,,
25,ceremony,/ˈsɛrəˌmoʊni/,The graduation ceremony honored the achievements of the students.,,
26,custom,/ˈkʌstəm/,It is a custom in Japan to take off your shoes before entering a house.,,
27,tradition,/trəˈdɪʃən/,"Every year, the family follows the tradition of gathering for a holiday dinner.",,
28,faith,/feɪθ/,His unwavering faith in God gave him strength during difficult times.,,
29,religious,/rɪˈlɪdʒəs/,She wore a religious pendant around her neck as a symbol of her faith.,,
30,believer,/bɪˈliːvɚ/,,,
31,to bless,/blɛs/,I bless you with good health and happiness.,,
32,holy,/ˈhoʊli/,The holy book of Christianity is the Bible.,,
33,priest,/priːst/,The priest blessed the newly married couple.,,
34,decoration,/ˌdɛkəˈreɪʃən/,,,
