order,word,phonetic,example,note,definition_en
1,to capture,/ˈkæptʃɝ/,The zookeepers capture wild animals for conservation purposes.,,
2,to expose,/ɪkˈspoʊz/,The documentary filmmaker is currently exposing the environmental impact of industrial practices.,,
3,to get away with,/ɡɛt ɐwˈeɪ wɪð/,Some white-collar criminals try to get away with embezzling money from their companies.,,
4,to monitor,/ˈmɑnɪtər/,The intelligence agency used advanced technology to monitor the suspect's phone calls.,,
5,to pursue,/pɝˈsu/,"The police officer pursued the speeding car, signaling for it to pull over.",,
6,to resist,"/ɹiˈzɪst/, /ɹɪˈzɪst/","Despite being outnumbered, the soldiers managed to resist the enemy's assault.",,
7,to sentence,/ˈsɛntəns/,The judge will sentence the convicted criminal to five years in prison.,,
8,to traffic,/ˈtræfɪk/,Criminal organizations often traffic drugs across borders to evade law enforcement.,,
9,to witness,/ˈwɪtnəs/,She witnesses incidents of shoplifting in her store.,,
10,arrest,/əˈrɛst/,The police made the arrest after the suspect was identified in the surveillance footage.,,
11,bulletproof vest,/bˈʊlɪtpɹˌuːf vˈɛst/,The police officer wore a bulletproof vest to protect himself while on duty.,,
12,community service,/kəmjˈuːnɪɾi sˈɜːvɪs/,"After being convicted of vandalism, he was sentenced to 100 hours of community service.",,
13,cell,/ˈsɛɫ/,The prisoner was confined to a small cell for the duration of his sentence.,,
14,jail,/ˈdʒeɪɫ/,She was sentenced to a year in jail for her involvement in the robbery.,,
15,life sentence,/lˈaɪf sˈɛntəns/,The convicted murderer was given a life sentence for his crimes.,,
16,crime,/ˈkɹaɪm/,The police are investigating the crime that occurred last night.,,
17,eyewitness,/ˈaɪˈwɪtnəs/,The police interviewed the eyewitness to gather details about the robbery.,,
18,offender,/əˈfɛndɝ/,The police apprehended the offender and took him into custody.,,
19,drug dealer,/dɹˈʌɡ dˈiːlɚ/,A drug dealer was apprehended at the airport after attempting to smuggle contraband across international borders.,,
20,fraud,/ˈfɹɔd/,The fraud convinced many people to invest in a non-existent business scheme.,,
21,gang,/ˈɡæŋ/,The neighborhood has been plagued by gang violence for years.,,
22,pickpocket,/ˈpɪkˌpɑkət/,The pickpocket skillfully removed the wallet from the tourist’s pocket without being noticed.,,
23,bombing,/ˈbɑmɪŋ/,The city was rocked by a devastating bombing that left many injured and buildings destroyed.,,
24,burglary,/ˈbɜːrɡləri/,Burglary rates tend to increase during the holiday season as thieves target empty homes.,,
25,drunk driving,/dɹˈʌŋk dɹˈaɪvɪŋ/,He was arrested for drunk driving after failing a sobriety test at a police checkpoint.,,
26,identity theft,/aɪdˈɛntɪɾi θˈɛft/,She became a victim of identity theft when someone used her Social Security number to open a bank account.,,
27,robbery,/ˈɹɑbɝi/,"The bank was the target of a robbery, with the thieves escaping with a large sum of money.",,
28,shooting,/ˈʃutɪŋ/,Several people were injured in the school shooting.,,
29,shoplifting,/ˈʃɑˌpɫɪftɪŋ/,Shoplifting is considered a serious crime in most countries.,,
30,terrorism,/ˈterərɪzəm/,Terrorism poses a significant challenge to global security and stability.,,
31,vandalism,/ˈvændəɫɪzəm/,"After the vandalism of the public library, the community came together to clean and restore the damaged areas.",,
32,violence,/ˈvaɪəɫəns/,He was arrested for using violence against a stranger.,,
33,to break out,/bɹˈeɪk ˈaʊt/,The prisoners attempted to break out during the night.,,
34,to hang,/hæŋ/,"In some cultures, hanging was a common method of execution for serious crimes.",,
35,break,/breɪk/,"The prisoner planned his break from prison meticulously, waiting for the perfect moment to flee.",,
36,grass,/ɡræs/,The police arrested several individuals for possession of grass at the concert.,,
37,narc,/ˈnɑɹk/,A narc showed up at the party last night.,,
38,stoned,/ˈstoʊnd/,"After smoking a joint, he felt stoned and mellow, enjoying the sensation of heightened senses.",,
39,to trip,/trɪp/,He tripped on mushrooms and found himself immersed in a surreal world of visuals and sensations.,,
40,breathalyzer,/bɹˈɛθɐlˌaɪzɚ/,The officer asked the driver to blow into the breathalyzer to check for alcohol consumption.,,
41,to disobey,/ˌdɪsəˈbeɪ/,Children are encouraged not to disobey their parents' instructions.,,
42,to lock away,/lˈɑːk ɐwˈeɪ/,The authorities locked away the dangerous criminal in a maximum-security prison.,,
43,dead to rights,/dˈɛd tə ɹˈaɪts/,The detective has the suspect dead to rights with the murder weapon in his possession.,,
44,scam,/ˈskæm/,The email was part of a scam aimed at stealing personal information from unsuspecting users.,,
45,forensics,"/ˌfɔˈɹɛnsɪks/, /fɝˈɛnsɪks/",She majored in forensics science in college in hopes of becoming a crime scene investigator.,,
46,to scam,/ˈskæm/,The con artist scammed several elderly people out of their life savings.,,
