order,word,phonetic,example,note,definition_en
1,escarpment,/ɛˈskɑɹpmənt/,"The Grand Canyon features a massive escarpment, revealing layers of geological history.",,
2,strait,/ˈstɹeɪt/,The Strait of Gibraltar connects the Atlantic Ocean to the Mediterranean Sea.,,
3,glacier,/ˈɡɫeɪʃɝ/,Scientists study glaciers to understand the effects of climate change on ice melt and sea-level rise.,,
4,savannah,/səˈvænə/,"The African savannah is home to diverse wildlife, including lions, elephants, and zebras.",,
5,meridian,/mɝˈɪdiən/,"The Prime Meridian, located at Greenwich, England, serves as the reference point for measuring longitude around the globe.",,
6,topography,/təˈpɑɡɹəfi/,The topography of the valley made road construction difficult.,,
7,atoll,"/ˈæˌtɑɫ/, /ˈæˌtɔɫ/, /əˈtoʊɫ/","The Maldives is a nation composed of numerous atolls, known for its stunning coral reefs and crystal-clear lagoons.",,
8,creek,/ˈkɹik/,"The children played by the creek, skipping stones and exploring the banks.",,
9,tributary,/ˈtɹɪbjəˌtɛɹi/,"The Missouri River is a major waterway, with numerous tributaries joining its flow.",,
10,butte,/ˈbjut/,"Monument Valley in the southwestern United States is famous for its iconic buttes, rising dramatically from the desert floor.",,
11,cataract,/ˈkætɝækt/,Tourists gathered to admire the majestic cataract plunging over the rocky cliff face.,,
12,fjord,/ˈfjɔɹd/,"The Norwegian coast is renowned for its stunning fjords, with deep blue waters surrounded by towering cliffs.",,
13,geyser,/ˈɡaɪzɝ/,"Old Faithful in Yellowstone National Park is one of the most famous geysers, erupting regularly with impressive displays.",,
14,isthmus,/ˈɪsməs/,"The Isthmus of Panama serves as a crucial land bridge connecting North and South America, facilitating the exchange of flora and fauna between the continents.",,
15,lagoon,/ɫəˈɡun/,The lagoons of the Maldives are known for their turquoise waters and vibrant coral reefs.,,
16,precipice,/ˈpɹɛsəpəs/,"They stood on the edge of the precipice, looking down at the valley below.",,
17,knoll,/ˈnoʊɫ/,"The picnic area was situated atop a gentle knoll, offering a panoramic view of the surrounding countryside.",,
18,terrain,/tɝˈeɪn/,"The rugged terrain of the mountainous region posed a significant challenge for the hikers, requiring careful navigation and endurance.",,
19,boulder,/ˈboʊɫdɝ/,"A massive boulder sat at the edge of the cliff, weathered by centuries of wind and rain.",,
20,shingle,/ˈʃɪŋɡəɫ/,The shingle beach along the Mediterranean coast was dotted with multicolored pebbles.,,
21,cape,/keɪp/,"Along the rugged coastline, a cape jutted into the sea, forming a natural barrier against the crashing waves.",,
