order,word,phonetic,example,note,definition_en
1,accountable,"/əˈkaʊnəbəɫ/, /əˈkaʊntəbəɫ/","As a public official, she is accountable to the citizens for her decisions.",,
2,arbitrary,"/ˈɑɹbəˌtɹɛɹi/, /ˈɑɹbɪˌtɹɛɹi/","The decision to increase prices seemed arbitrary, as there was no clear reason given.",,
3,decisive,/dɪˈsaɪsɪv/,"The decisive leader quickly chose a course of action, even when faced with uncertainty.",,
4,eligible,"/ˈɛɫədʒəbəɫ/, /ˈɛɫɪdʒəbəɫ/","To apply for the scholarship, students must meet the eligible criteria regarding their academic performance.",,
5,inclined,/ɪnˈklaɪnd/,"She is inclined to believe the best in people, even when others are skeptical.",,
6,indecisive,/ˌɪndɪˈsaɪsɪv/,She's so indecisive that it takes her hours to choose what to wear each morning.,,
7,inflexible,/ɪnˈflɛksəbəl/,"Despite the new evidence, he remained inflexible in his decision not to invest in the project.",,
8,preferable,"/ˈpɹɛfɝəbəɫ/, /ˈpɹɛfɹəbəɫ/",Taking the scenic route was preferable to the highway for a leisurely drive.,,
9,undecided,/ˌəndɪˈsaɪdɪd/,"She remained undecided about which college to attend, weighing the pros and cons of each option.",,
10,to despise,/dɪˈspaɪz/,She despises bullies and stands up for those who are being mistreated.,,
11,to find,/faɪnd/,Did the court find the defendant guilty or not guilty?,,
12,to overturn,/ˈoʊvɝˌtɝn/,"The Supreme Court decided to overturn the lower court's ruling, citing a procedural error.",,
13,to put off,/pˌʊt ˈɔf/,His arrogance really put me off.,,
14,to reverse,"/ɹiˈvɝs/, /ɹɪˈvɝs/",The new administration decided to reverse the previous government's policy on environmental regulations.,,
15,to rule,/ruːl/,The judge is expected to rule on the case next week after reviewing all the evidence.,,
16,to [take] a chance,/tˈeɪk ɐ tʃˈæns/,She decided to take a chance on the new job offer in a different city.,,
17,to [think] twice,/θˈɪŋk twˈaɪs/,"These foods are potentially dangerous, yet nobody thinks twice before handing them out to their loved ones.",,
18,to uphold,/əpˈhoʊɫd/,"The Supreme Court decided to uphold the lower court's ruling, affirming the original verdict.",,
19,admiration,/ˌædmɝˈeɪʃən/,"She looked at the artwork with great admiration, appreciating the artist's skill and creativity.",,
20,adoption,/əˈdɑpʃən/,The company's rapid adoption of new technology gave it a competitive edge in the market.,,
21,award,/əˈwɑrd/,The court made an award of damages to the injured worker.,,
22,consultation,/ˌkɑnsəɫˈteɪʃən/,She scheduled a consultation with a cardiologist to discuss her heart health.,,
23,conundrum,/kəˈnəndɹəm/,The meaning of life has always been a conundrum that philosophers have pondered for centuries.,,
24,dilemma,/dɪˈɫɛmə/,She faced a dilemma when she had to choose between attending her best friend's wedding and a critical work presentation.,,
25,jurisdiction,"/ˌdʒʊɹəsˈdɪkʃən/, /ˌdʒʊɹɪsˈdɪkʃən/",The court ruled that the case fell under federal jurisdiction due to its interstate nature.,,
26,prejudice,/ˈprɛdʒədɪs/,His remarks revealed a deep-seated prejudice against immigrants.,,
27,resistance,"/ɹiˈzɪstəns/, /ɹɪˈzɪstəns/",The proposal met strong resistance from local residents.,,
28,ruling,/ˈɹuɫɪŋ/,The Supreme Court's ruling on the case set a precedent for future privacy rights.,,
29,verdict,/ˈvɝːdɪkt/,"After much deliberation, the team reached a verdict on the best course of action.",,
30,to [have] a think,/hæv ɐ θˈɪŋk/,I need to have a think about my career goals.,,
31,to [take] {sth} into consideration,/tˈeɪk ˌɛstˌiːˈeɪtʃ ˌɪntʊ kənsˌɪdɚɹˈeɪʃən/,"When planning the project, we need to take budget constraints into consideration.",,
32,to partake,/pɑɹˈteɪk/,We gathered around the table to partake in a delicious Thanksgiving feast.,,
33,to undertake,/ˌʌndɚˈteɪk/,She undertakes the responsibility of managing the team's day-to-day operations.,,
34,to [be] {one's} thing,/biː wˈʌnz θˈɪŋ/,Cooking is just not Emma's thing.,,
