order,word,phonetic,example,note,definition_en
1,measurement,/ˈmɛʒɚˌmɛnt/,"Measurement errors can lead to inaccurate results, so it's important to use calibrated instruments.",,
2,to measure,/ˈmɛʒɚ/,The tailor regularly measures customers to ensure a perfect fit for their clothes.,,
3,quality,/ˈkwɑləti/,"The quality of the product exceeded their expectations, making it a top choice among consumers.",,
4,quantity,/ˈkwɑntɪti/,She bought a large quantity of apples for the upcoming event.,,
5,to increase,/ɪnˈkriːs/,The temperature is expected to increase throughout the day.,,
6,to decrease,/dɪˈkriːs/,The temperature is decreasing as we move into the cooler season.,,
7,unit,/ˈjuːnɪt/,A dozen is a unit of twelve items.,,
8,degree,/dɪˈɡriː/,A right angle measures 90 degrees.,,
9,meter,/ˈmiːtɚ/,The length of the room is 5 meters.,,
10,centimeter,/ˈsɛnˌtɪˌmiːtɚ/,The baby's height was measured in centimeters at the doctor's office.,,
11,millimeter,/ˈmɪlɪˌmiːtɚ/,The diameter of the wire is measured in millimeters.,,
12,kilometer,/kəˈlɑmɪtɚ/,The marathon route spans 42.195 kilometers.,,
13,gram,/ɡræm/,The package weighs 500 grams.,,
14,metric ton,/mˈɛtɹɪk tˈʌn/,The shipment contained 50 metric tons of wheat.,,
15,milligram,/ˈmɪlɪˌɡræm/,The vitamin supplement contains 50 milligrams of calcium.,,
16,liter,/ˈliːtɚ/,She drank half a liter of orange juice.,,
17,milliliter,/ˈmɪlɪˌliːtɚ/,The baby bottle can hold up to 250 milliliters of formula.,,
18,foot,/fʊt/,The length of the room is 15 feet.,,
19,mile,/maɪl/,The marathon route is 26.2 miles long.,,
20,pound,/paʊnd/,She bought a pound of coffee beans to grind fresh for her morning cup of coffee.,,
21,width,"/wɪdθ/ , /wɪtθ/",The width of the river is about 50 meters.,,
22,depth,/dɛpθ/,The depth of the ocean is immeasurable in some areas.,,
23,length,/lɛŋθ/,What is the length of the hallway?,,
24,height,/haɪt/,He checked the height of the doorway to make sure the furniture would fit through.,,
25,weight,/weɪt/,The weight of the bag is 10 kilograms.,,
26,size,/saɪz/,"What is the size of the bookshelf in terms of height, width, and depth?",,
27,large,/lɑrdʒ/,"The elephant was large, towering over the other animals in the savanna.",,
28,medium,/ˈmiːdiəm/,"They ordered a medium pizza to share among the group, neither too big nor too small.",,
29,long,/lɑːŋ/,The necklace she wore had a long chain adorned with intricate charms.,,
30,thin,/θɪn/,"The paper was thin, allowing light to pass through easily.",,
31,wide,/waɪd/,"The river was wide, spanning several hundred meters across.",,
32,narrow,/ˈnɛroʊ/,"The narrow path wound its way through the dense forest, barely wide enough for one person to pass.",,
33,thick,/θɪk/,"The tree trunk was thick, requiring multiple people to wrap their arms around it.",,
34,yard,/jɑrd/,The football field is 100 yards long.,,
35,amount,/əˈmaʊnt/,"The amount of rainfall last month was unusually high, causing flooding in some areas.",,
36,close,/kloʊs/,The close proximity of the two houses made them ideal for neighbors.,,
37,average,/ˈævərɪdʒ/,His performance was slightly below the team's average.,,
