order,word,phonetic,example,note,definition_en
1,actor-manager,/ˈæktɚ ˈmænɪʤɚ/,"As an actor-manager, he not only starred in productions but also handled administrative duties and managed the theater company.",,
2,art director,/ɑrt dəˈrɛktɚ/,"The art director oversees the visual elements of a film, ensuring consistency and creativity in every scene.",,
3,dresser,/ˈdrɛsɚ/,"The dresser assists actors backstage, ensuring they are properly attired for each scene of the play.",,
4,lead,/liːd/,The lead captivated audiences with his powerful performance in the title role of the play.,,
5,moviegoer,/ˈmuːviˌɡoʊɚ/,The moviegoer eagerly awaited the release of the latest blockbuster film.,,
6,Bollywood,/ˈbɑliˌwʊd/,"Bollywood is known for its vibrant dance sequences, melodious music, and larger-than-life storytelling.",,
7,Broadway,/ˈbrɑdˌweɪ/,"Broadway is synonymous with the pinnacle of theatrical excellence, attracting audiences from around the world to its renowned theaters.",,
8,adaptation,/ˌædæpˈteɪʃən/,The film adaptation of the bestselling novel stayed true to the book's plot and characters.,,
9,backdrop,/ˈbækˌdrɑp/,"The backdrop depicted a serene countryside scene, setting the mood for the pastoral play.",,
10,camerawork,/ˈkæmərəˌwɝːk/,"The camerawork in the film was exceptional, capturing the action with precision and creativity.",,
11,casting,/ˈkæstɪŋ/,The casting for the new film involved auditions with hundreds of actors vying for roles.,,
12,screenplay,/ˈskriːnˌpleɪ/,She spent months crafting the screenplay for her debut feature film.,,
13,climax,/ˈklaɪmæks/,"The climax of the novel left readers on the edge of their seats, eagerly anticipating the resolution.",,
14,closeup,/ˈkloʊsˌʌp/,"The closeup of the actor's face conveyed a range of emotions, capturing the intensity of the moment.",,
15,to cut,/kʌt/,"As the director wasn't satisfied with the performance, they decided to cut and redo the scene from the beginning.",,
16,to dramatize,/ˈdræməˌtaɪz/,Historical accounts of great leaders are often dramatized in biographical films to engage modern audiences.,,
17,to dub,/dʌb/,The studio hired professional voice actors to dub the foreign film into English for international audiences.,,
18,to narrate,/ˈnæˌreɪt/,"The documentary was narrated by a renowned actor, whose voice added gravitas to the storytelling.",,
19,to portray,/pɔrˈtreɪ/,"She portrayed the protagonist in the critically acclaimed film, earning praise for her nuanced performance.",,
20,epic,/ˈɛpɪk/,"The director's latest film was hailed as an epic, spanning generations and depicting the struggles of a nation.",,
21,feature film,/ˈfiːʧɚ ˈfɪlm/,The director's latest project is a feature film that explores themes of love and loss in a post-apocalyptic world.,,
22,frame,/freɪm/,The cinematographer carefully selected each frame to convey the mood and tone of the film.,,
23,floodlight,/ˈflʌdˌlaɪt/,"The stadium was illuminated by powerful floodlights, casting a bright glow over the playing field.",,
24,projector,/prəˈʤɛktɚ/,"The classroom was equipped with a state-of-the-art projector, allowing teachers to display educational videos and presentations.",,
25,reel,/riːl/,"The film technician carefully loaded the reel with the latest movie release, preparing it for screening at the cinema.",,
26,interpretation,/ɪnˌtɝːprɪˈteɪʃən/,"His interpretation of the character brought new depth and complexity to the stage production, earning him critical acclaim.",,
27,premiere,/prɪˈmɪr/,The red carpet was rolled out for the premiere of the highly anticipated blockbuster movie.,,
28,score,/skɔr/,The composer received critical acclaim for his hauntingly beautiful score for the epic film.,,
29,spotlight,/ˈspɑtˌlaɪt/,"The actor stepped into the spotlight, his face illuminated by the warm glow of the stage spotlight.",,
30,backstage,/ˈbækˌsteɪʤ/,Backstage was filled with nervous energy before the curtain rose.,,
31,legendary,/ˈlɛʤənˌdɛri/,The actor gave a legendary performance that will be remembered for generations to come.,,
32,theatrical,/θiˈætrɪkəl/,She studied theatrical production at the university.,,
33,break a leg,/breɪk ə lɛɡ/,"Jason sent Phillip a fax from the airport before Monday's show, with the greeting: `Break a leg and enjoy yourself.'",,
34,foyer,/ˈfɔɪɚ/,"Guests mingled in the elegant foyer of the hotel, admiring the grand chandeliers and marble floors.",,
