order,word,phonetic,example,note,definition_en
1,transportation,/ˌtrænspɚˈteɪʃən/,Public transportation is cheaper than driving.,,
2,vehicle,/ˈviː.ə.kəl/,"Cars, buses, and trucks are all types of vehicles.",,
3,yacht,/jɑt/,,,
4,aircraft,/ˈɛrˌkræft/,"The aircraft soared gracefully through the sky, leaving behind a trail of white vapor.",,
5,plane,/pleɪn/,The plane soared gracefully through the clouds.,,
6,jet,/ʤɛt/,,,
7,track,/træk/,"Tracks are essential for guiding trains along their journey, ensuring they stay on course from start to finish.",,
8,tunnel,/ˈtʌnəl/,The train disappeared into the tunnel with a roar.,,
9,destination,/ˌdɛstəˈneɪʃən/,"After a long day of hiking, reaching the mountaintop felt like a triumph and a well-deserved destination.",,
10,harbor,/ˈhɑrbɚ/,The ships docked in the harbor to avoid the storm approaching from the open sea.,,
11,port,/pɔrt/,The bustling port was filled with ships from around the world.,,
12,airfare,/ˈɛrˌfɛr/,The airfare to Paris was surprisingly affordable during the off-peak season.,,
13,seat belt,/ˈsit ˌbɛlt/,Always remember to fasten your seat belt before starting the car to ensure your safety.,,
14,to board,/bɔːrd/,Passengers were instructed to board the airplane according to their assigned seat rows.,,
15,to access,/ˈæksɛs/,The new employee was provided with a key card to access the restricted areas of the office.,,
16,to get in,/ɡɛt ˈɪn/,The train is scheduled to get in at the station around 8:30 AM.,,
17,to set out,/sɛt ˈaʊt/,They set out on their road trip as soon as the sun rose.,,
18,to set off,/sɛt ˈɑf/,We'll set off on our cross-country journey early in the morning to avoid traffic.,,
19,to land,/lænd/,The skilled pilot expertly landed the airplane at the busy airport.,,
20,on board,/ɑn ˈbɑrd/,He jumped on board just as the train started moving.,,
21,first class,/ˈfɝst ˈklæs/,She enjoyed the spacious first class seating on her flight to Paris.,,
22,business class,/ˈbɪznɪs ˈklæs/,Flying in business class offers more comfort and amenities compared to economy.,,
23,economy class,/ɪˈkɑnəmi ˈklæs/,She booked an economy class ticket to save money on her trip.,,
24,connection,/kəˈnɛkʃən/,,,
25,domestic,/dəˈmɛstɪk/,Domestic issues like healthcare and education are often the focus of national debates.,,
26,public,/ˈpʌblɪk/,"The park is a public space, open to everyone in the community.",,
27,window seat,/ˈwɪndoʊ ˌsit/,She requested a window seat for the flight to enjoy the view.,,
28,to commute,/kəˈmjut/,The introduction of a company shuttle has made it easier for employees to commute.,,
29,nonstop,/ˌnɑnˈstɑp/,We booked a nonstop flight from New York to Los Angeles to save time.,,
30,to transport,/trænˈspɔrt/,"Every morning, the school bus transports students from their neighborhoods to the school campus.",,
31,turn,/tɝn/,The sharp turn in the mountain road made it difficult to drive at night.,,
32,to bike,/baɪk/,"On sunny weekends, families often bike together in the park, enjoying the fresh air and exercise.",,
