order,word,phonetic,example,note,definition_en
1,altar,/ˈɔɫtɝ/,The congregation gathered around the altar for the morning service.,,
2,cross,/krɑːs/,The large wooden cross was prominently displayed at the front of the church.,,
3,atheism,"/ˈeɪθiˌɪzəm/, /əˈθaɪsəm/",He openly discussed his atheism with his friends.,,
4,Buddhism,/ˈbudɪzəm/,Buddhism teaches the Four Noble Truths as a fundamental part of its doctrine.,,
5,Christian,"/ˈkɹɪstʃən/, /ˈkɹɪstʃɪn/",Many Christians celebrate Christmas to commemorate the birth of Jesus.,,
6,Christianity,/ˌkɹɪstʃiˈænɪti/,"Christianity is one of the largest religions in the world, with diverse denominations and beliefs.",,
7,Hindu,/ˈhɪnˌdu/,"As a Hindu, she participated in festivals like Diwali and Holi.",,
8,Jew,/ˈdʒu/,The community of Jews celebrated Passover with a Seder meal.,,
9,Jewish,/ˈdʒuɪʃ/,The Passover Seder is a Jewish tradition celebrated by families around the world.,,
10,Muslim,"/ˈməzɫəm/, /ˈməzɫɪm/","As a Muslim, she observes daily prayers and fasting during Ramadan.",,
11,pagan,/ˈpeɪɡən/,"She identified as pagan, celebrating the cycles of nature and the changing seasons.",,
12,the Lord,/ˈɫɔɹd/,The hymn praised the Lord for His guidance and blessings throughout life.,,
13,Bible,/ˈbaɪbəɫ/,Many people turn to the Bible for comfort and guidance in their lives.,,
14,Gospel,"/ˈɡɑspəɫ/, /ˈɡɔspəɫ/",She studied the Gospel of Matthew in her Bible study group.,,
15,heaven,/ˈhɛvən/,The concept of heaven offers comfort to those grieving the loss of loved ones.,,
16,hell,/ˈhɛɫ/,The scripture teaches that hell is eternal for the wicked.,,
17,sin,/sɪn/,Many religious teachings provide guidelines to avoid committing sin.,,
18,vice,/ˈvaɪs/,Many religions teach that vice can lead to negative consequences in life.,,
19,grace,/ˈɡɹeɪs/,The saint was said to live in grace.,,
20,pride,/ˈpɹaɪd/,She realized that her pride was getting in the way of her relationships.,,
21,greed,/ˈɡɹid/,His greed for money led him to make unethical business decisions.,,
22,lust,/lʌst/,Pride and lust were listed among the seven deadly sins.,,
23,envy,/ˈɛnvi/,She couldn't help but feel a twinge of envy when she saw her friend's new car.,,
24,laziness,/ˈɫeɪzinəs/,Laziness is one of the seven deadly sins in Christian teaching.,,
25,to confess,/kənˈfɛs/,The priest listened patiently as she began to confess her struggles.,,
26,to convert,/ˈkɑnvərt/,"After years of soul-searching, Sarah decided to convert to Buddhism.",,
27,to forgive,"/fɝˈɡɪv/, /fɔɹˈɡɪv/","After much reflection, she decided to forgive her friend for the misunderstanding.",,
28,to trust,/trʌst/,She regularly trusts her colleagues to complete tasks efficiently.,,
29,devil,/ˈdɛvəɫ/,"In many religions, the devil is considered the embodiment of evil and temptation.",,
30,prophet,/ˈpɹɑfət/,Moses is considered a prophet in multiple religious traditions.,,
31,minister,"/ˈmɪnəstɝ/, /ˈmɪnɪstɝ/",The minister delivered a powerful sermon on forgiveness during Sunday service.,,
32,service,/ˈsɝːvɪs/,She attended a special service for Christmas Eve at her local church.,,
33,soul,/soʊl/,Many cultures believe that the soul continues to exist after the death of the body.,,
34,spiritual,/ˈspɪɹɪˌtʃuəɫ/,She found solace in spiritual practices like meditation and prayer.,,
35,grave,/ɡreɪv/,The family visited the grave to pay their respects on the anniversary of his passing.,,
36,godchild,/ɡˈɑːdtʃaɪld/,She felt a special bond with her godchild as they grew up together.,,
37,devout,/dɪˈvaʊt/,"He leads a devout lifestyle, observing religious rituals with unwavering dedication.",,
38,godfather,/ˈɡɑdˌfɑðɝ/,He felt privileged to be named as his nephew's godfather.,,
39,godmother,/ˈɡɑdˌməðɝ/,She felt honored to be chosen as her niece's godmother.,,
40,karma,/ˈkɑɹmə/,"She believes in karma, so she always tries to treat others with kindness and respect.",,
