order,word,phonetic,example,note,definition_en
1,behavior,/bɪˈheɪvjɚ/,"Despite his age, the child displayed mature behavior.",,
2,personality,/ˌpɝsəˈnælɪti/,"Despite her shy personality, she's a fantastic performer on stage.",,
3,character,/ˈkærɪktɚ/,"Because of his honest character, people trust him implicitly.",,
4,shy,/ʃaɪ/,Being shy hides his brilliant ideas.,,
5,talkative,/ˈtɔkətɪv/,"Even though he's talkative, he knows when to stay quiet.",,
6,serious,/ˈsɪriəs/,She is a serious person who focuses on her work without distractions.,,
7,funny,/ˈfʌni/,"He's a funny character, always coming up with quirky ideas.",,
8,interesting,/ˈɪntrəstɪŋ/,I read an interesting article about space exploration in the newspaper.,,
9,boring,/ˈbɔrɪŋ/,She finds doing the laundry a boring task.,,
10,exciting,/ɪkˈsaɪtɪŋ/,It was exciting to see dolphins while we were on the boat.,,
11,wonderful,/ˈwʌndɚfəl/,"It's a wonderful day outside, with sunny skies and a gentle breeze.",,
12,amazing,/əˈmeɪzɪŋ/,He's an amazing artist who can draw incredibly lifelike portraits.,,
13,excellent,/ˈɛksələnt/,He made an excellent point about the importance of recycling.,,
14,awesome,/ˈɔsəm/,He did an awesome presentation for his final project.,,
15,kind,/kaɪnd/,It's a kind gesture to write thank you notes after receiving gifts.,,
16,weird,/wɪrd/,"He's a good friend, but he has some weird tastes in music.",,
17,normal,/ˈnɔrməl/,"A normal day for her involves school, homework, and a little bit of TV.",,
18,strange,/streɪnʤ/,He has a strange habit of talking to himself when he's working.,,
19,nice,/naɪs/,The restaurant served a nice meal with fresh ingredients.,,
20,great,/ɡreɪt/,"He's a great boss, always listening to his employees' ideas.",,
21,tough,/tʌf/,Being a firefighter has made him a tough man.,,
22,unique,/juˈnik/,Each snowflake is unique with its own pattern.,,
23,jealous,/ˈʤɛləs/,"Don't be jealous of his success, you can achieve great things too.",,
24,brilliant,/ˈbrɪljənt/,He's a brilliant coach who always gets the best out of his team.,,
25,creative,/kriˈeɪtɪv/,I believe you are a creative photographer; you always find beauty in ordinary things.,,
26,crazy,/ˈkreɪzi/,"He's acting crazy, he insists he can communicate with his dead cat.",,
27,perfect,/ˈpɝfɪkt/,He's the perfect candidate for the job with all his experience.,,
28,helpful,/ˈhɛlpfəl/,"He's been very helpful during the move, carrying the heavy boxes.",,
29,fair,/fɛr/,All students are treated equally by her because she is a fair teacher.,,
30,rude,/rud/,"Anna is so rude, she always interrupts when others are speaking.",,
31,unhappy,/ʌnˈhæpi/,He felt unhappy in his job despite the high salary.,,
32,confident,/ˈkɑnfɪdənt/,He's confident about his decision to start a new business.,,
33,scary,/ˈskɛri/,He thinks flying is scary because he's afraid of heights.,,
34,active,/ˈæktɪv/,"Despite being retired, he remains active, taking part in various community activities.",,
35,mild,/maɪld/,Her mild response to criticism shows her maturity.,,
36,individual,/ˌɪndəˈvɪdʒuəl/,Each student must submit an individual project.,,
37,foolish,/ˈfulɪʃ/,It was a foolish gamble to invest all his money in one stock.,,
38,certain,/ˈsɝtən/,"Being certain of her feelings, she decided to confess her love.",,
39,quiet,/ˈkwaɪət/,He is a quiet person who prefers listening to speaking.,,
40,own,/oʊn/,Each plant has its own pot in the garden.,,
