order,word,phonetic,example,note,definition_en
1,altitude,/ˈæltɪˌtud/,"The airplane reached a cruising altitude of 30,000 feet above sea level.",,
2,latitude,/ˈlætɪˌtud/,The explorer recorded the latitude of the new settlement.,,
3,longitude,/ˈlɑndʒɪˌtud/,Longitude measures how far east or west a point is from the Prime Meridian.,,
4,bay,/beɪ/,San Francisco Bay is known for its iconic Golden Gate Bridge.,,
5,branch,/bræntʃ/,"The canoe drifted down a quiet branch of the river, away from the bustling main channel.",,
6,clearing,/ˈklɪrɪŋ/,The hikers stopped to rest in a small clearing surrounded by tall trees.,,
7,cove,/koʊv/,The beach nestled within the cove offered calm waters for swimming.,,
8,crater,/ˈkreɪtər/,The scientist studied the formation of the crater after the volcanic eruption.,,
9,deposit,/dɪˈpɑzɪt/,The geologist discovered a rich deposit of gold in the mountains.,,
10,dock,/dɑk/,The ferry pulled into the dock to unload passengers and cargo.,,
11,estuary,/ˈɛstʃuˌɛri/,"The estuary teemed with marine life, providing a vital habitat for many species.",,
12,flow,/floʊ/,The flow of the river was gentle and serene as it wound through the valley.,,
13,gulf,/ɡʌlf/,The Persian Gulf was historically important for trade routes.,,
14,horizon,/həˈraɪzən/,"The sun dipped below the horizon, casting a warm glow across the sky.",,
15,iceberg,/ˈaɪsˌbɜrɡ/,The Titanic sank after colliding with an iceberg in the North Atlantic Ocean.,,
16,peak,/pik/,The climbers reached the peak of Mount Everest after weeks of strenuous effort.,,
17,peninsula,/pəˈnɪnsələ/,"The Iberian Peninsula is home to Spain and Portugal, surrounded by water on three sides.",,
18,plain,/pleɪn/,"The Great Plains in the United States stretch for miles, offering a stunning view of endless flatlands.",,
19,plateau,/plæˈtoʊ/,"The Colorado Plateau is known for its stunning landscapes, including deep canyons and colorful rock formations.",,
20,pole,/poʊl/,"The North Pole is located in the middle of the Arctic Ocean, covered by shifting sea ice throughout the year.",,
21,pond,/pɑnd/,"The tranquil pond reflected the colors of the surrounding trees and sky, creating a picturesque scene.",,
22,range,/reɪndʒ/,"The Rocky Mountain range stretches from Canada down to New Mexico, offering breathtaking vistas and challenging climbs.",,
23,ravine,/rəˈvin/,"The ravine cut through the forest, its steep sides marked by erosion from the flowing creek at its base.",,
24,reservoir,/ˈrɛzərˌvwɑr/,"The city's reservoir, nestled in the hills, stores water from nearby rivers and supplies it to thousands of homes.",,
25,summit,/ˈsʌmɪt/,"Climbers rejoiced upon reaching the summit of Mount Everest, the highest point on Earth.",,
26,swamp,/swɑmp/,"The swamp was teeming with diverse wildlife, from alligators to herons and turtles.",,
27,tundra,/ˈtʌndrə/,"The Arctic tundra is characterized by its cold, treeless landscape and permafrost, making it a harsh environment for plant and animal life.",,
28,to erode,/ɪˈroʊd/,The river's strong currents eroded the riverbank over time.,,
29,arid,/ˈærɪd/,"The Sahara Desert is known for its arid climate, with vast expanses of sand and very little vegetation.",,
30,barren,/ˈbærən/,"The barren desert stretched for miles, devoid of any vegetation or signs of life.",,
31,coastal,/ˈkoʊstəl/,Coastal erosion is a natural process that reshapes shorelines over time.,,
32,fertile,/ˈfɜrtəl/,The fertile soil in the valley yielded abundant harvests of wheat and corn each year.,,
33,inland,/ˈɪnlənd/,The inland regions experience hotter temperatures compared to coastal areas.,,
34,offshore,/ˈafˌʃɔr/,The company invested in offshore drilling for oil extraction.,,
35,marine,/məˈrin/,"Marine mammals, such as dolphins and whales, are well-adapted to life in the ocean.",,
36,neighboring,/ˈneɪbərɪŋ/,The neighboring countries of Canada and the United States share the longest undefended border in the world.,,
37,upstream,/ˈʌpˌstrim/,They paddled upstream against the strong current to reach their favorite fishing spot.,,
