order,word,phonetic,example,note,definition_en
1,to abolish,/əˈbɑlɪʃ/,The government decided to abolish the death penalty.,,
2,to align,/əˈlaɪn/,The senator decided to align herself with the bipartisan coalition to push forward the new environmental legislation.,,
3,to allocate,/ˈæləkeɪt/,The manager decided to allocate more budget to marketing for increased brand visibility.,,
4,to amend,/əˈmɛnd/,The author amended the manuscript by revising the plot to create a more engaging story.,,
5,to authorize,/ˈɔθəraɪz/,"The manager will authorize the contract by signing it, giving official approval for the business deal.",,
6,to betray,/bɪˈtreɪ/,The spy betrayed his country by passing classified information to the enemy.,,
7,to breach,/britʃ/,The company faced legal action for breaching the terms of the contract.,,
8,to compel,/kəmˈpɛl/,The convincing argument compelled her to change her stance on the issue.,,
9,to compensate,/ˈkɑmpənseɪt/,The company compensates its employees with competitive salaries and benefits packages.,,
10,to conceal,/kənˈsil/,The spy used a hat and sunglasses to conceal her identity.,,
11,to conserve,/kənˈsɜrv/,Conservationists work to conserve natural habitats and protect endangered species.,,
12,to contemplate,/ˈkɑntəmpleɪt/,He sat in silence to contemplate the vast landscape before him.,,
13,to cater,/ˈkeɪtər/,The catering company will cater the wedding reception with a variety of dishes.,,
14,to cultivate,/ˈkʌltɪveɪt/,The gardener carefully cultivates the soil before planting flowers in the spring.,,
15,to devise,/dɪˈvaɪz/,The engineer devised a groundbreaking solution to the complex engineering problem.,,
16,to substitute,/ˈsʌbstɪtut/,"Due to allergies, the chef had to substitute dairy with non-dairy alternatives in the dessert.",,
17,to dictate,/ˈdɪkteɪt/,The manager dictated a set of guidelines for the project.,,
18,to disclose,/dɪsˈkloʊz/,The company was legally required to disclose its financial records to shareholders.,,
19,to distort,/dɪˈstɔrt/,Twisting the metal frame will distort its structure and weaken its integrity.,,
20,to embody,/ɪmˈbɑdi/,Her actions and kindness truly embody the spirit of compassion and empathy.,,
21,to empower,/ɪmˈpaʊər/,The manager sought to empower the team by delegating decision-making authority.,,
22,to entitle,/ɪnˈtaɪtəl/,The successful completion of the training program will entitle employees to receive a certification.,,
23,to extract,/ɪkˈstrækt/,The dentist had to extract a damaged tooth to relieve the patient's pain.,,
24,to hint,/ˈhɪnt/,The teacher hinted at the upcoming exam by discussing the importance of consistent studying.,,
25,to instruct,/ɪnˈstrʌkt/,The supervisor instructed the employees to complete their timesheets by the end of the day.,,
26,to linger,/ˈlɪŋɡər/,"After the final bell rang, the students decided to linger in the school courtyard.",,
27,to fade,/feɪd/,The enthusiasm has faded after months of setbacks.,,
28,to loom,/lum/,"Dark storm clouds began to loom on the horizon, signaling an approaching thunderstorm.",,
29,to outrage,/ˈaʊtreɪdʒ/,The controversial decision by the government to increase taxes outraged the citizens.,,
30,to reassure,/ˌriəˈʃʊr/,The doctor tried to reassure the patient by explaining that the surgery was routine and had a high success rate.,,
31,to tolerate,/ˈtɑləreɪt/,"The principal explained that the school would not tolerate bullying in any form, emphasizing a zero-tolerance policy.",,
32,to overlook,/ˌoʊvərˈlʊk/,"In her haste, she might overlook the important details in the document.",,
33,to undermine,/ˌʌndərˈmaɪn/,Skipping maintenance checks might undermine the long-term reliability of the equipment.,,
34,to vow,/vaʊ/,The couple vowed to support each other through thick and thin.,,
35,to resurface,/riˈsɜrfɪs/,"The tension between the two coworkers resurfaced during the team meeting, making it difficult to ignore.",,
36,to astonish,/əˈstɑnɪʃ/,The magician's incredible tricks astonished the audience.,,
37,to rehash,/ˌriˈhæʃ/,The author was criticized for rehashing old ideas in their latest book.,,
38,to sabotage,/ˈsæbətɑʒ/,The disgruntled employee attempted to sabotage the company's computer system.,,
