order,word,phonetic,example,note,definition_en
1,auspicious,/ɑˈspɪʃəs/,Finding a rare coin on the street made her day start in an auspicious manner.,,
2,self-assured,/sˈɛlfəʃjˈʊɹd/,"She walked into the room with a self-assured stride, exuding confidence.",,
3,driven,/ˈdɹɪvən/,She is a highly driven individual who sets ambitious goals and works tirelessly to achieve them.,,
4,high-flying,/hˈaɪflˈaɪɪŋ/,The company's CEO is a high-flying executive known for his bold decisions and strategic vision.,,
5,goal-oriented,/ɡˈoʊlˈoːɹiəntᵻd/,She is a goal-oriented individual who sets clear objectives and works diligently to achieve them.,,
6,elite,"/eɪˈɫit/, /ɪˈɫit/",The elite athletes competing in the championship displayed unparalleled skill and determination on the field.,,
7,serendipitous,/ˌsɛɹənˈdɪpɪtəs/,Their serendipitous encounter in the bookstore led to a deep and lasting friendship.,,
8,well-heeled,/wˈɛlhˈiːld/,He comes from a well-heeled family.,,
9,deep-pocketed,/dˈiːppˈɑːkɪɾᵻd/,The company attracted investors because it was backed by deep-pocketed individuals.,,
10,loaded,/ˈɫoʊdɪd/,He's loaded after selling his company.,,
11,to outmaneuver,/aʊtməˈnuvɝ/,"The general successfully outmaneuvered the enemy forces, gaining a strategic advantage in the battlefield.",,
12,to outstrip,/aʊtˈstɹɪp/,"His talent for music quickly outstripped that of his peers, earning him recognition as a prodigy.",,
13,to eclipse,"/əˈkɫɪps/, /iˈkɫɪps/, /ɪˈkɫɪps/",The young entrepreneur's innovative approach quickly eclipsed that of established competitors in the market.,,
14,to prevail,"/pɹiˈveɪɫ/, /pɹɪˈveɪɫ/","Despite facing numerous challenges, the team's resilience allowed them to prevail in the final moments of the game, securing a dramatic victory.",,
15,to outclass,/ˈaʊtˌkɫæs/,The skilled pianist never fails to outclass other musicians during solo performances.,,
16,to transcend,/tɹænˈsɛnd/,His achievements in the field of science are likely to transcend those of his predecessors.,,
17,to procure,/pɹoʊkˈjʊɹ/,"The project manager worked diligently to procure the necessary resources for the upcoming initiative, ensuring its success.",,
18,to outshine,/ˈaʊˌtʃaɪn/,"Her charisma and stage presence allowed her to outshine other performers, captivating the audience with her captivating performance.",,
19,to outperform,/ˈaʊtpɝˌfɔɹm/,The new model of the car is expected to outperform its predecessor in terms of fuel efficiency.,,
20,to burgeon,/ˈbɝdʒən/,The tech industry continues to burgeon with the introduction of innovative products.,,
21,to outwit,/ˈaʊtˌwɪt/,"The detective was able to outwit the criminal, solving the case and bringing the perpetrator to justice.",,
22,to reign,/ˈɹeɪn/,"Throughout history, various ideologies have reigned over different regions, shaping the cultural and political landscape.",,
23,to culminate,/ˈkəɫmɪˌneɪt/,Their efforts culminate in a successful outcome.,,
24,to outsmart,/ˈaʊtsˌmɑɹt/,"In the chess match, the young prodigy managed to outsmart his experienced opponent, employing a brilliant strategy to secure victory.",,
