order,word,phonetic,example,note,definition_en
1,city,/ˈsɪti/,She enjoys exploring the city's parks and landmarks on weekends.,,
2,town,/taʊn/,I live in a small town surrounded by beautiful countryside.,,
3,street,/striːt/,He parked his car on the street and walked to the nearby café.,,
4,bank,/bænk/,Can you recommend a reliable bank for opening a new account?,,
5,hospital,/ˈhɑːspɪtl/,I visited my friend at the hospital and brought her some flowers.,,
6,restaurant,/ˈrɛstərɑːnt/,He works as a chef in a popular restaurant.,,
7,movie theater,/ˈmuːvi ˈθiːətɚ/,He likes the comfortable seats and big screen at the movie theater.,,
8,supermarket,/ˈsuːpɚˌmɑːrkɪt/,"He works as a cashier at the supermarket, scanning and bagging customers' items.",,
9,post office,/ˈpoʊst ˈɒfɪs/,I like to check my mailbox at the post office every day for any new mail.,,
10,bench,/bɛnʧ/,I like to sit on the bench and watch people walking by.,,
11,museum,/mjuˈziːəm/,He marveled at the dinosaur skeletons in the natural history museum.,,
12,park,/pɑrk/,He flew a kite in the park on a sunny day.,,
13,hotel,/hoʊˈtɛl/,Can you recommend a budget-friendly hotel in the city center?,,
14,police,/pəˈliːs/,She felt safer knowing that the police were patrolling the neighborhood.,,
15,map,/mæp/,He studied the map to plan the best route for his road trip.,,
