order,word,phonetic,example,note,definition_en
1,able,/ˈeɪbəl/,"She is an able linguist, fluent in multiple languages.",,
2,absurd,/æbˈsɝd/,It's absurd to think that the Earth is flat in this day and age.,,
3,alert,/əˈlɝt/,The alert security guard spotted the intruder before they could enter the building.,,
4,accomplished,/əˈkɑmplɪʃt/,"She is an accomplished pianist, having performed at prestigious concert halls around the world.",,
5,articulate,/ɑrˈtɪkjəˌleɪt/,"She's articulate, conveying her thoughts and ideas with clarity and confidence.",,
6,brainy,/ˈbreɪni/,The brainy scientist made significant breakthroughs in the field of quantum physics.,,
7,brutal,/ˈbruːtəl/,The brutal attack left him with severe injuries and trauma.,,
8,competent,/ˈkɑmpɪtənt/,"As a competent programmer, he was able to troubleshoot and fix the software bug quickly.",,
9,argumentative,/ˌɑrɡjuˈmɛntətɪv/,His argumentative nature often leads to heated discussions with his peers.,,
10,bad-tempered,/ˈbæd ˈtɛmpɚd/,"He was known for his bad-tempered demeanor, often snapping at those around him.",,
11,cheeky,/ˈʧiki/,The cheeky child giggled mischievously as he played pranks on his siblings.,,
12,clumsy,/ˈklʌmzi/,"He's known for his clumsy nature, always tripping over his own feet.",,
13,conceited,/kənˈsiːtɪd/,His conceited attitude made it difficult for others to warm up to him.,,
14,coward,/ˈkaʊɚd/,"The coward ran away from the battle, leaving his comrades to face the enemy alone.",,
15,eccentric,/ɪkˈsɛntrɪk/,Her eccentric fashion choices always turn heads.,,
16,harsh,/hɑrʃ/,The teacher's harsh criticism demoralized the students.,,
17,infamous,/ˈɪnfəməs/,The criminal was infamous for his string of bank robberies across the country.,,
18,intolerant,/ɪnˈtɑlərənt/,His intolerant attitude toward people of different religions created tension in the community.,,
19,insensitive,/ɪnˈsɛnsətɪv/,His insensitive remarks about her appearance left her feeling hurt and self-conscious.,,
20,judgmental,/ʤʌʤˈmɛntəl/,She felt uncomfortable around her judgmental relatives who always criticized her life choices.,,
21,narrow-minded,/ˈnæroʊˌmaɪndɪd/,His narrow-minded views on politics made it difficult to have meaningful discussions with him.,,
22,assertive,/əˈsɝtɪv/,"She made an assertive argument during the meeting, clearly outlining her proposal.",,
23,attentive,/əˈtɛntɪv/,The students were attentive during the lecture.,,
24,cautious,/ˈkɑʃəs/,"She walked with cautious steps along the icy sidewalk, mindful of the slippery surface.",,
25,affectionate,/əˈfɛkʃənɪt/,The couple shared an affectionate embrace after being apart for weeks.,,
26,charitable,/ˈʧærɪtəbəl/,The woman was so charitable she gave away half her salary to local shelters.,,
27,compassionate,/kəmˈpæʃənət/,The nurse showed compassionate care and empathy towards the elderly patients in the nursing home.,,
28,considerate,/kənˈsɪdərɪt/,"Sarah's considerate nature was evident when she remembered to bring a gluten-free dessert for her friend's party, knowing about her dietary restrictions.",,
29,courageous,/kəˈreɪʤəs/,"The courageous firefighter rushed into the burning building to rescue the trapped residents, displaying extraordinary bravery.",,
30,dignified,/ˈdɪɡnɪˌfaɪd/,"Despite the difficult circumstances, the diplomat maintained a dignified composure during the peace negotiations.",,
31,faithful,/ˈfeɪθfəl/,"Despite the challenges, she remained a faithful friend, always ready to offer support and encouragement.",,
32,frank,/fræŋk/,"Shiv appreciated Tom's frank feedback on her presentation, even though it was a bit blunt.",,
33,heroic,/hɪˈroʊɪk/,The firefighter's heroic actions saved several lives during the blazing inferno.,,
34,hospitable,/ˈhɑspɪtəbəl/,"The hostess extended a hospitable welcome to all her guests, ensuring they felt comfortable and valued.",,
35,jolly,/ˈʤɑli/,"The children's laughter filled the room as they played games and sang songs, creating a jolly atmosphere.",,
36,duplicitous,/duˈpɫɪsɪtəs/,The politician's duplicitous behavior was exposed when his private emails contradicted his public statements.,,
37,just,/ʤʌst/,A just ruler treats all citizens equally.,,
38,reluctant,/rɪˈlʌktənt/,"Despite his love for adventure, he was reluctant to try bungee jumping because of his fear of heights.",,
39,snake,/sneɪk/,She called him a snake after he switched sides.,,
40,butterfingers,/ˈbʌtɚˌfɪŋɡɚz/,"She laughed at her friend's nickname ""butterfingers"" after he dropped his phone for the third time that day.",,
41,dirtbag,/ˈdɜːrtˌbæɡ/,That dirtbag stole my wallet and ran.,,
42,freeloader,/ˈfriˌloʊdɚ/,She's tired of being taken advantage of by that freeloader who never contributes anything.,,
43,wretch,/rɛʧ/,The wretch stole money from the charity fund meant for the homeless.,,
44,unruly,/ʌnˈruːli/,The captain dealt firmly with the ship's unruly crew.,,
45,sassy,/ˈsæsi/,"With a sassy smirk, she sauntered into the room, exuding an air of confidence.",,
46,weasel,/ˈwiːzəl/,The weasel stole my lunch and smiled about it.,,
