order,word,phonetic,example,note,definition_en
1,anchor,/ˈæŋkɚ/,The anchor delivered the breaking news with a calm and authoritative demeanor.,,
2,weathergirl,/ˈwɛðɚˌɡɝːl/,The weathergirl predicted sunny skies for the weekend getaway.,,
3,contributor,/kənˈtrɪbjətɚ/,The magazine has a diverse group of contributors who write articles on a wide range of topics.,,
4,correspondent,/ˌkɔrɪˈspɑndənt/,The network's Middle East correspondent provided updates on the conflict in the region.,,
5,couch potato,/ˈkaʊʧ pəˌteɪtoʊ/,Don't be such a couch potato; get up and go for a walk!,,
6,paparazzi,/ˌpɑpəˈrɑtsi/,"The paparazzi gathered outside the celebrity's home, hoping to catch a glimpse of the famous actor.",,
7,subscriber,/səbˈskraɪbɚ/,The newspaper gained thousands of new subscribers after launching its digital edition.,,
8,antenna,/ænˈtɛnə/,The television antenna on the roof picks up signals from broadcast stations.,,
9,frequency,/ˈfriːkwənsi/,"In physics, frequency is measured in hertz, which represents the number of waves passing a point per second.",,
10,wavelength,/ˈweɪvˌlɛŋθ/,"In physics, wavelength is the distance between two consecutive peaks (or troughs) of a wave.",,
11,to censor,/ˈsɛnsɚ/,The government decided to censor the film due to its sensitive content.,,
12,to receive,/rɪˈsiːv/,"The television antenna receives digital signals from local broadcast stations, providing access to various channels.",,
13,to televise,/ˈtɛləˌvaɪz/,The network will televise the live coverage of the championship game.,,
14,to tune in,/tuːn ɪn/,Don't forget to tune in to the morning news for the latest updates.,,
15,bulletin,/ˈbʊlɪtɪn/,The radio station interrupted its regular programming to deliver a breaking news bulletin.,,
16,commentary,/ˈkɑmənˌtɛri/,The sports commentator provided live commentary during the soccer match.,,
17,lead story,/lid ˈstɔːri/,The scandal involving the politician was the lead story on every major news outlet.,,
18,newsroom,/ˈnjuːzˌruːm/,The journalists in the newsroom work tirelessly to gather and verify information for the evening broadcast.,,
19,prime time,/ˈpraɪm ˌtaɪm/,Advertisers pay top dollar for commercials aired during prime time television slots.,,
20,circulation,/ˌsɝːkjəˈleɪʃən/,"The magazine has a circulation of 200,000.",,
21,clipping,/ˈklɪpɪŋ/,"My grandmother keeps a box of cherished clippings that she has collected over the years, filled with articles of historical significance.",,
22,newsgathering,/ˈnjuːzˌɡæðɚɪŋ/,Newsgathering involves collecting information from various sources to report on current events accurately.,,
23,newssheet,/ˈnjuːzˌʃiːt/,The local community center distributes a weekly newssheet to keep residents informed about upcoming events and news.,,
24,issue,/ˈɪʃuː/,The latest issue of the magazine features in-depth interviews with industry leaders and analysis of current trends.,,
25,photojournalism,/ˈfoʊtoʊˌʤɝːnəlɪzəm/,The power of photojournalism lies in its ability to capture raw emotions and tell compelling stories in a single image.,,
26,photo op,/ˈfoʊtoʊ ɑp/,The politician staged a photo op at the local hospital to highlight their commitment to healthcare reform.,,
27,periodical,/ˌpɪriˈɑdɪkəl/,"My local library carries a wide selection of periodicals, including magazines, journals, and newspapers.",,
28,quarterly,/ˈkwɔrtɚli/,"The company publishes a quarterly, providing updates on its financial performance and strategic initiatives.",,
29,tabloid,/ˈtæblɔɪd/,The tabloid sensationalized the celebrity scandal with exaggerated headlines and paparazzi photos.,,
30,readership,/ˈriːdɚˌʃɪp/,"The magazine's readership has grown steadily over the past year, thanks to engaging content and targeted marketing efforts.",,
31,citizen journalism,/ˈsɪtɪzən ˈʤɝːnəlɪzəm/,"With the rise of social media, citizen journalism has become a powerful tool for ordinary people to report on breaking news events.",,
32,anonymous,/əˈnɑnɪməs/,The whistleblower chose to remain anonymous to protect their identity and avoid potential retaliation.,,
33,high-profile,/ˈhaɪˌproʊfaɪl/,The high-profile trial captured media attention nationwide.,,
34,nationwide,/ˌneɪʃənˈwaɪd/,The company's nationwide advertising campaign reached consumers in every corner of the country.,,
35,frequency modulation,/fɹˈiːkwənsi mˌɑːdʒuːlˈeɪʃən/,Frequency modulation is commonly used in FM radio broadcasting to transmit high-fidelity sound over long distances.,,
36,ballot,/ˈbælət/,Voters received their ballot at the polling station.,,
37,teletext,/ˈtɛləˌtɛkst/,"Teletext was widely used in the 20th century to broadcast news, weather updates, and sports scores on television screens.",,
