order,word,phonetic,example,note,definition_en
1,bark,/bɑrk/,The rough bark of the oak tree provided a sturdy surface for the squirrels to climb.,,
2,blossom,/ˈblɑsəm/,"The cherry tree was covered in delicate pink blossoms, creating a stunning display in the garden.",,
3,bulb,/ˈbəɫb/,She discovered a forgotten bulb of garlic in the pantry and decided to use it in her recipe.,,
4,cane,/ˈkeɪn/,"The farmer harvested the sugar cane, cutting down the tall stalks to extract the sweet juice.",,
5,crown,/ˈkɹaʊn/,"The bird built its nest in the crown of the tall oak tree, safe from predators.",,
6,cutting,/ˈkətɪŋ/,She took a cutting from the rose bush and placed it in water to encourage root growth.,,
7,petal,/ˈpɛtəɫ/,"Each petal of the rose was soft and velvety, adding to its allure and fragrance.",,
8,timber,/ˈtɪmbɝ/,The timber from the forest was transported to the mill to be processed into lumber.,,
9,genus,/ˈdʒinəs/,"The genus Rosa includes all the species of roses, known for their beautiful flowers and fragrance.",,
10,algae,/ˈæɫdʒi/,Some vegan cheeses use algae-based ingredients to achieve a creamy texture and unique flavor.,,
11,seaweed,/ˈsiˌwid/,I enjoy the refreshing taste of seaweed salad.,,
12,fungus,/ˈfəŋɡəs/,They discovered a new species of fungus in the rainforest that glows in the dark.,,
13,maple,/ˈmeɪpəɫ/,"The maple tree in our backyard turns a brilliant shade of red every autumn, creating a picturesque view.",,
14,needle,/ˈnidəɫ/,"The forest floor was carpeted with pine needles, creating a soft cushion underfoot.",,
15,lush,/ˈɫəʃ/,"The tropical rainforest is known for its lush vegetation, with a variety of plants and trees.",,
16,pod,/ˈpɑd/,She harvested a basket full of pea pods from her garden for dinner.,,
17,vegetation,/ˌvɛdʒəˈteɪʃən/,The dense vegetation in the tropical rainforest creates a lush canopy that filters sunlight and supports a myriad of wildlife.,,
18,window box,/wˈɪndoʊ bˈɑːks/,"The apartment's windows were adorned with vibrant window boxes filled with cascading petunias and ivy, adding a splash of color to the urban landscape.",,
19,to pollinate,/ˈpɑɫəˌneɪt/,"Bees pollinate flowers as they collect nectar, aiding in the reproduction of plants.",,
20,pollination,/ˌpɑɫəˈneɪʃən/,"Bees play a crucial role in pollination by transferring pollen between flowers as they collect nectar, ensuring the reproduction of many plant species.",,
21,shoot,/ʃuːt/,"In spring, the apple tree was adorned with delicate green shoots that promised a bountiful harvest in the coming months.",,
22,reed,/ˈɹid/,"Along the tranquil lake shore, tall reeds swayed gently in the breeze, providing habitat for nesting birds and small aquatic creatures.",,
23,dahlia,/ˈdæɫjə/,"The garden was ablaze with dahlia blooms of every hue, from deep red to vibrant orange and delicate pink.",,
24,dogwood,/ˈdɔˌɡwʊd/,"The dogwood tree in our backyard bursts into stunning white or pink blossoms every spring, creating a beautiful contrast against its dark green leaves.",,
25,honeysuckle,/ˈhəniˌsəkəɫ/,"The garden trellis was draped in honeysuckle, its sweet fragrance attracting bees and butterflies throughout the summer.",,
26,iris,"/ˈaɪɹəs/, /ˈaɪɹɪs/","In the garden, the tall iris plants stood proudly, their striking purple blooms catching the sunlight.",,
27,magnolia,/mæɡˈnoʊɫjə/,"The magnolia tree in the park was a favorite spot for picnics, its large, fragrant white flowers attracting visitors throughout the spring.",,
28,mimosa,/mɪˈmoʊsə/,The mimosa tree in our backyard fills the air with a sweet fragrance when its pink flowers bloom in the spring.,,
29,myrtle,/ˈmɝtəɫ/,The garden was lined with myrtle as groundcover.,,
30,quince,/kwɪns/,"The quince tree in the backyard blossomed with delicate white flowers in the spring, promising a bountiful harvest later in the year.",,
31,snowdrop,/snˈoʊdɹɑːp/,"In the early days of March, the snowdrops emerged, their delicate white flowers pushing through the last remnants of winter snow.",,
