order,word,phonetic,example,note,definition_en
1,hair,/hɛr/,He carefully combed his hair before going out.,,
2,neck,/nɛk/,"He turned his head from side to side, testing the flexibility of his neck.",,
3,face,/feɪs/,He gently washed his face with warm water and soap.,,
4,eye,/aɪ/,He closed his eyes and took a deep breath.,,
5,nose,/noʊz/,He held his nose as he walked past the garbage can.,,
6,ear,/ɪr/,He listened attentively with her hand cupped behind her ear.,,
7,cheek,/tʃiːk/,He felt a tickling sensation as a butterfly landed on his cheek.,,
8,chin,/tʃɪn/,He gently rested his chin on her shoulder.,,
9,mouth,/maʊθ/,"He chewed his food with his mouth closed, showing good manners.",,
10,tooth,/tuːθ/,He felt a sharp pain in his tooth and scheduled a dental appointment.,,
11,lip,/lɪp/,He kissed her gently on the lips.,,
