order,word,phonetic,example,note,definition_en
1,outside,/ˌaʊtˈsaɪd/,They enjoyed a picnic outside in the park.,,
2,always,"/ˈɔːlweɪz/ , /ˈɑːlweɪz/",The train is always crowded during rush hour.,,
3,never,/ˈnɛvɚ/,She never eats meat; she's been vegetarian since birth.,,
4,usually,"/ˈjuːʒəli/ , /ˈjuːʒəwəli/",She usually takes a walk in the park after dinner.,,
5,often,"/ˈɔːfən/ , /ˈɑːfən/",He often helps his neighbors with their chores.,,
6,sometimes,/ˈsʌmˌtaɪmz/,She sometimes practices yoga in the morning.,,
7,now,/naʊ/,"I am cooking dinner now, but we can watch a movie after dinner.",,
8,soon,/suːn/,The bus will arrive at the station soon.,,
9,too,/tuː/,"She loves classical music, and her sister does too.",,
10,here,/hɪr/,Stand here to see the full mural.,,
11,there,/ðɛr/,Your keys are there on the counter.,,
12,again,"/əˈɡɛn/ , /əˈɡeɪn/",He apologized for the mistake and promised it wouldn't happen again.,,
13,of course,/ʌv ˈkɔːrs/,"Of course, I agree with your suggestion; it's a great idea.",,
14,really,"/ˈriːəli/ , /ˈrɪəli/",I'm not joking; I really saw a shooting star last night.,,
15,why,/waɪ/,Why are you late for school today?,,
16,where,/wɛr/,Do you know where I can find a good restaurant?,,
17,when,/wɛn/,Can you let me know when the package arrives?,,
18,what,/wʌt/,What did you have for breakfast?,,
19,who,/huː/,Who are those people sitting at the back?,,
20,how,/haʊ/,How can I improve my English speaking skills?,,
21,else,/ɛls/,Do you want anything else from the store?,,
