order,word,phonetic,example,note,definition_en
1,to dip,/dɪp/,My Asian roommate likes to dip her sushi rolls into soy sauce.,,
2,to hook,/hʊk/,She hooked her keys onto the belt loop of her jeans.,,
3,to crush,/krʌʃ/,He accidentally stepped on and crushed the delicate flower in the garden.,,
4,to stab,/stæb/,The assailant attempted to stab the victim multiple times before fleeing the scene.,,
5,to slash,/slæʃ/,"The assailant slashed at the victim with a sharp knife, leaving deep wounds on their arm.",,
6,to torture,/ˈtɔrʧɚ/,The captors attempted to torture the prisoner into revealing classified information.,,
7,to whip,/wɪp/,The taskmaster cruelly whipped the slaves to force them to work faster.,,
8,to leak,/liːk/,She noticed a strange smell in the kitchen and discovered that the gas stove was leaking.,,
9,to manipulate,/məˈnɪpjəˌleɪt/,She's able to manipulate complex data sets to extract meaningful insights for her research.,,
10,to seize,/siːz/,"In a panic, she reached out to seize her falling phone before it hit the ground.",,
11,to plug,/plʌɡ/,"To avoid a draft, she had to plug the gaps in the window frame.",,
12,to pop,/pɑp/,The bubble wrap popped loudly as it was squeezed.,,
13,to rip,/rɪp/,She accidentally ripped her favorite shirt on a sharp nail sticking out from the fence.,,
14,to reside,/rɪˈzaɪd/,The Smith family resides in a charming cottage on the outskirts of town.,,
15,to rock,/rɑk/,The boat rocked gently on the calm waters.,,
16,to rotate,/ˈroʊˌteɪt/,"The Earth rotates on its axis, causing day and night to occur.",,
17,to pump,/pʌmp/,He had to pump air into the bicycle tires to ensure a smooth ride.,,
18,to probe,/proʊb/,The journalist probed into the company's finances to uncover any potential corruption.,,
19,to screw,/skruː/,He screwed the shelf to the wall to ensure it was securely attached.,,
20,to shatter,/ˈʃætɚ/,The glass shatters into fragments as it falls to the ground.,,
21,to shed,/ʃɛd/,"After the spring cleaning, she shed a lot of old clothes that no longer fit her.",,
22,to shrink,/ʃrɪŋk/,Be cautious with the new sweater; it tends to shrink in hot water.,,
23,to tighten,/ˈtaɪtən/,She tightened her grip on the handlebars as she rode over the bumpy terrain.,,
24,to shrug,/ʃrʌɡ/,"When asked about his plans for the weekend, he just shrugged and said he hadn't decided yet.",,
25,to sigh,/saɪ/,"As he watched the sunset, he sighed, feeling a sense of peace and satisfaction.",,
26,to smash,/smæʃ/,"Frustrated with the malfunctioning computer, he decided to smash the keyboard in anger.",,
27,to snap,/snæp/,The dry twig snapped loudly under his foot as he walked through the forest.,,
28,to soar,/sɔr/,"The eagle soared high above the cliffs, scanning the landscape for prey.",,
29,to span,/spæn/,"Her career in the company spanned over three decades, from entry-level to executive.",,
30,to spark,/spɑrk/,"The faulty wire began to spark, indicating a potential electrical problem in the house.",,
31,to spin,/spɪn/,"With elegant movements, the dancer spun gracefully on stage.",,
32,to stumble,/ˈstʌmbəl/,She stumbled over the uneven sidewalk and nearly fell face-first.,,
33,to steer,/stɪr/,He expertly steered the car through the winding mountain roads.,,
34,to suck,/sʌk/,Mosquitoes suck blood from their victims to nourish themselves.,,
35,to swing,/swɪŋ/,The pendulum clock swung back and forth with a rhythmic tick-tock.,,
36,to trail,/treɪl/,"The kite soared in the sky, with its long tail trailing behind it.",,
37,to twist,/twɪst/,The artist skillfully twisted the metal wire to fashion an intricate jewelry pendant.,,
38,to unveil,/ʌnˈveɪl/,The mayor proudly unveiled the new city monument during the grand opening ceremony.,,
39,to yell,/jɛl/,"In the crowded stadium, fans would often yell and cheer for their favorite team.",,
