order,word,phonetic,example,note,definition_en
1,vacation,,,,
2,adventure,,,,
3,journey,,,,
4,cruise,,,,
5,trip,,,,
6,foreign,,,,
7,foreigner,,,,
8,motel,,,,
9,cancelation,,,,
10,reservation,,,,
11,to reserve,,,,
12,visa,,,,
13,to stay,,,,
14,postcard,,,,
15,souvenir,,,,
16,to visit,,,,
17,to sightsee,,,,
18,to check in,,,,
19,to check out,,,,
20,abroad,,,,
21,to change,,,,
22,to fly,,,,
23,to land,,,,
24,to take off,,,,
25,schedule,,,,
26,to wander,,,,
27,arrival,,,,
28,departure,,,,
29,customs,,,,
30,ride,,,,
31,to leave,,,,
32,to arrive,,,,
33,to cancel,,,,
34,to reach,,,,
