order,word,phonetic,example,note,definition_en
1,institution,/ˌɪnstɪˈtuʃən/,The university is a well-respected institution known for its research programs.,,
2,grade school,/ɡɹˈeɪd skˈuːl/,"Grade school students often participate in various activities like art, music, and physical education.",,
3,graduate school,/ɡɹˈædʒuːət skˈuːl/,"After completing her undergraduate studies, she decided to apply to graduate school.",,
4,junior high school,/dʒˈuːnjɚ hˈaɪ skˈuːl/,Junior high school students often experience significant social and academic transitions compared to elementary school.,,
5,senior high school,/sˈiːnjɚ hˈaɪ skˈuːl/,Senior high school students often undertake advanced coursework and specialized subjects to prepare for college or vocational training.,,
6,summer school,/sˈʌmɚ skˈuːl/,She attended summer school to retake a class and improve her GPA.,,
7,prom,/ˈpɹɑm/,The students spent weeks preparing for their senior prom.,,
8,to enroll,"/ɛnˈɹoʊɫ/, /ɪnˈɹoʊɫ/",Students need to enroll in the classes for the upcoming semester.,,
9,to register,/ˈrɛʤɪstɚ/,She decided to register for the online course to improve her skills.,,
10,locker,/ˈɫɑkɝ/,She stored her books and backpack in her locker before heading to class.,,
11,roommate,/ˈɹuˌmeɪt/,She met her roommate on the first day of college and they quickly became friends.,,
12,discipline,/ˈdɪsəpɫən/,Effective discipline in the classroom helps maintain order and promotes a conducive learning environment.,,
13,major,/ˈmeɪdʒɚ/,She is a biology major with a minor in chemistry.,,
14,certificate,/sɝˈtɪfɪkət/,She received a certificate of completion after finishing the online training.,,
15,master,/ˈmæstər/,She became a master in engineering after completing her graduate studies.,,
16,to master,/ˈmæstər/,The chef took the time to master the art of creating intricate desserts.,,
17,Doctor of Philosophy,/dˈɑːktɚɹ ʌv fɪlˈɑːsəfi/,She earned her Doctor of Philosophy in neuroscience after six years of rigorous research.,,
18,postgraduate,/pˈoʊstɡɹɐdʒˌuːeɪt/,She decided to continue her education as a postgraduate to earn a master's degree in psychology.,,
19,sponsor,/ˈspɑnsɝ/,He found a sponsor who would cover his tuition fees and living expenses.,,
20,trainee,/ˈtɹeɪˈni/,The company hired five new trainees this month.,,
21,to tutor,/ˈtuːtɚ/,She decided to tutor her classmates in chemistry to help them prepare for the upcoming exam.,,
22,thesis,/ˈθisɪs/,"She spent months conducting experiments and analyzing data for her thesis, which was an essential part of her university degree in chemistry.",,
23,scholarship,/ˈskɑɫɝˌʃɪp/,She received a full scholarship to study medicine at a prestigious university.,,
24,seminar,/ˈsɛməˌnɑɹ/,The seminar focused on contemporary issues in international law.,,
25,curriculum,/kɝˈɪkjəɫəm/,"The school's curriculum includes core subjects like math, science, and language arts, as well as elective courses in arts and music.",,
26,optional,"/ˈɑpʃənəɫ/, /ˈɔpʃənəɫ/","The final project is optional, but many students choose to complete it for extra credit.",,
27,to grade,/ɡreɪd/,The teacher spent the weekend grading her students' essays.,,
28,coursework,/ˈkɔɹsˌwɝk/,"She spent hours completing her coursework for the biology class, including lab reports and research papers.",,
29,textbook,/ˈtɛkstˌbʊk/,The textbook for the biology course is quite comprehensive.,,
30,workbook,/ˈwɝkˌbʊk/,The teacher assigned several pages from the workbook for homework.,,
31,multiple-choice,/mˈʌltɪpəltʃˈɔɪs/,The exam consisted mainly of multiple-choice questions.,,
32,tutorial,/tuˈtɔɹiəɫ/,She attended a tutorial on essay writing to improve her academic writing skills.,,
33,dormitory,/ˈdɔɹməˌtɔɹi/,The university built a new dorm to accommodate the growing number of students.,,
34,buttery,/ˈbətɝi/,The buttery offers a variety of snacks and beverages for students between classes.,,
