order,word,phonetic,example,note,definition_en
1,meal,/miːl/,I cooked a delicious meal of grilled chicken with roasted vegetables.,,
2,breakfast,/ˈbrekfəst/,Breakfast plays an important role as it provides the body with the necessary energy and nutrients to start the day.,,
3,lunch,/lʌntʃ/,I made a Greek salad with feta cheese and olives for a healthy and flavorful lunch.,,
4,dinner,/ˈdɪnɚ/,"For dinner, I cooked a delicious chicken stir-fry with vegetables.",,
5,tea,/tiː/,He added a splash of milk to his black tea for a creamy and smooth taste.,,
6,coffee,"/ˈkɑːfi/, /ˈkɔːfi/",He savored the aroma of freshly brewed coffee before taking his first sip.,,
7,cake,/keɪk/,He baked a gluten-free almond cake for his friend with dietary restrictions.,,
8,cookie,/ˈkʊki/,He enjoyed a soft and buttery shortbread cookie with a cup of tea.,,
9,bread,/brɛd/,I toasted a slice of bread and spread peanut butter on it for breakfast.,,
10,honey,/ˈhʌni/,He enjoys a spoonful of honey before bed to help calm his cough and promote a good night's sleep.,,
11,jam,/dʒæm/,"Can you pass me the jar of raspberry jam, please?",,
12,juice,/dʒuːs/,"Can you pour me a cup of grape juice, please?",,
13,ice cream,/ˈaɪs ˌkriːm/,"I accidentally dropped my ice cream cone on the ground, and it melted.",,
14,water,/ˈwɑːtɚ/,"I accidentally spilled water on my laptop, and now it won't turn on.",,
15,rice,/raɪs/,I prefer brown rice over white rice for its nutritional benefits.,,
16,chocolate milk,/ˈʧɔːklət ˈmɪlk/,Chocolate milk is my son's favorite drink to enjoy after school.,,
17,soup,/suːp/,I always garnish my soup with a sprinkle of fresh herbs.,,
18,salad,/ˈsæləd/,I like to have a refreshing green salad with my lunch.,,
19,pizza,/ˈpiːtsə/,"I added mushrooms, onions, and bell peppers as toppings on my pizza.",,
20,sandwich,/ˈsændwɪʧ/,I like to add pickles and mustard to my ham sandwich.,,
21,sugar,/ˈʃʊɡɚ/,A drizzle of sugar syrup over pancakes or waffles adds a delightful sweetness to breakfast.,,
22,salt,/sɔːlt/,Can you please pass the salt?,,
