order,word,phonetic,example,note,definition_en
1,boorish,/ˈbʊɹɪʃ/,His boorish attitude ruined the dinner party for everyone.,,
2,reticent,/ˈɹɛtɪsənt/,Sarah was reticent when it came to discussing her personal life with her coworkers.,,
3,proactive,/ˌpɹoʊˈæktɪv/,The manager was proactive in addressing potential conflicts before they escalated.,,
4,reactive,/ɹiˈæktɪv/,The company remained reactive instead of taking a proactive approach.,,
5,gregarious,/ɡɹəˈɡɛɹiəs/,"Sarah is known for her gregarious nature, always making friends wherever she goes.",,
6,ungracious,/ʌnɡɹˈeɪʃəs/,His ungracious response to the compliment surprised everyone in the room.,,
7,domineering,/ˌdɑməˈnɪɹɪŋ/,His domineering personality made it difficult for others to express their opinions without fear of retribution.,,
8,forthright,/ˈfɔɹˈθɹaɪt/,"He is a forthright individual, always speaking his mind without hesitation.",,
9,contentious,/kənˈtɛnʃəs/,The contentious individual frequently initiated arguments and disagreements within the group.,,
10,standoffish,/stˈændɔfɪʃ/,"Despite his warm smile, she found him to be rather standoffish at the party, keeping to himself in the corner.",,
11,philanthropic,/ˌfɪɫənˈθɹɑpɪk/,The philanthropic billionaire donated millions of dollars to various charities and humanitarian organizations.,,
12,backstabbing,/bˈækstæbɪŋ/,"She was shocked to discover the backstabbing within her group of friends, as they spread rumors about her behind her back.",,
13,barbaric,"/bɑɹˈbæɹɪk/, /bɑɹˈbɛɹɪk/",The barbaric dictator ruthlessly suppressed dissent and committed atrocities against their own people.,,
14,atrocious,/əˈtɹoʊʃəs/,The atrocious behavior of the bullies left lasting emotional scars on their victims.,,
15,entitled,/ɛnˈtaɪtəɫd/,She's so entitled; she expects everyone to cater to her needs without considering others.,,
16,hypocritical,/ˌhɪpəˈkɹɪtɪkəɫ/,It's hypocritical of him to preach about honesty while lying to his friends.,,
17,unscrupulous,/ənsˈkɹupjəɫəs/,The unscrupulous businessman deceived his partners and embezzled funds from the company to enrich himself.,,
18,malevolent,/məˈɫɛvəɫənt/,The malevolent neighbor spread false rumors to damage her reputation.,,
19,heinous,/ˈheɪnəs/,The heinous crime shook the entire community to its core.,,
20,treacherous,/ˈtɹɛtʃɝəs/,He proved to be treacherous when he leaked sensitive information to their competitors.,,
21,condescending,/ˌkɑndɪˈsɛndɪŋ/,The actor's condescending attitude towards his fans did not go unnoticed.,,
22,vindictive,/vɪnˈdɪktɪv/,"After losing the election, the vindictive politician spread false rumors about his opponent.",,
23,conscientious,/ˌkɑnʃiˈɛnʃəs/,The conscientious student always completes assignments thoroughly and on time.,,
24,staunch,/ˈstɔntʃ/,"Despite criticism from others, she remained a staunch advocate for human rights.",,
25,indulgent,/ˌɪnˈdəɫdʒənt/,"She was an indulgent parent, often letting her children stay up late on weekends to watch movies.",,
26,overindulgent,/ˌoʊvɚɹɪndˈʌldʒənt/,The overindulgent feast left everyone feeling uncomfortably full and sluggish.,,
27,eloquent,/ˈɛɫəkwənt/,The eloquent activist rallies support for social causes through impassioned and persuasive speeches.,,
28,reticence,/ˈɹɛtɪsəns/,"Her reticence prevented her from speaking up in meetings, even when she had valuable insights to share.",,
29,to demean,/dɪˈmin/,He demeaned himself by speaking rudely to the waiter.,,
30,eccentricity,/ˌɛksənˈtɹɪsəti/,"The writer's eccentricity manifested in the characters she created, each with their own peculiar quirks and habits.",,
31,cynicism,/ˈsɪnɪˌsɪzəm/,"The film highlighted the cynicism of modern society, where people often doubt the goodness in others.",,
