order,word,phonetic,example,note,definition_en
1,perspicacious,/pɝspəˈkeɪʃəs/,The detective's perspicacious eyes noticed a small detail that led to the solution of the mysterious case.,,
2,savvy,/ˈsævi/,"She is a savvy investor, always knowing when to buy and sell stocks for maximum profit.",,
3,shrewd,/ˈʃɹud/,"The shrewd businessman knew when to invest and when to hold back, ensuring steady growth for his company.",,
4,discerning,/dɪˈsɝnɪŋ/,"She's a discerning critic, known for her fair but incisive reviews.",,
5,quick-thinking,/kwˈɪkθˈɪŋkɪŋ/,The firefighter's quick-thinking saved the child from the burning building.,,
6,nonsensical,/nɑnˈsɛnsɪkəɫ/,The instructions on the manual were so nonsensical that assembling the furniture became a frustrating challenge.,,
7,illiterate,/ˌɪˈɫɪtɝət/,"Despite living in a multicultural society, he remained illiterate in terms of understanding different cultures and traditions.",,
8,obtuse,/ɑbˈtus/,"Despite the clear explanation, he remained obtuse and failed to grasp the concept.",,
9,nescient,/nˈɛsiənt/,His nescient attitude towards cultural differences made it challenging for him to navigate international business dealings.,,
10,dense,/dɛns/,"Sarah is well-versed in literature, but she can be dense when it comes to understanding advanced mathematical concepts.",,
11,sage,/ˈseɪdʒ/,"Seeking sage counsel, she turned to her grandmother for advice on matters of the heart.",,
12,solomonic,/sˌɑːləmˈɑːnɪk/,The leader's solomonic approach to conflict resolution sought compromises that addressed the concerns of all parties involved.,,
13,cerebral,"/ˈsɛɹəbɹəɫ/, /sɝˈibɹəɫ/",The cerebral challenges of the puzzle required deep concentration and logical reasoning.,,
14,moronic,/mɔːɹˈɑːnɪk/,"Making moronic comments during the important meeting, he jeopardized his credibility with the team.",,
15,dim,/ˈdɪm/,His dim responses during the class indicated a struggle to grasp the fundamental principles of the subject.,,
16,boneheaded,/ˈboʊnˌhedɪd/,The employee's boneheaded mistake in the report led to significant errors in the financial analysis.,,
17,scatterbrained,/skˈæɾɚbɹˌeɪnd/,"She's always scatterbrained, constantly forgetting where she left her keys or what she was supposed to do next.",,
18,farsighted,"/ˈfɑɹˈsaɪtəd/, /ˈfɑɹˌsaɪtɪd/",The farsighted financial planner advised clients to invest in diverse portfolios for a secure retirement.,,
19,vigilant,/ˈvɪdʒəɫənt/,"The security guard remained vigilant throughout the night, monitoring the premises for any suspicious activity.",,
20,witty,/ˈwɪti/,His witty banter kept the conversation lively and entertaining throughout the evening.,,
21,prodigy,/ˈpɹɑdədʒi/,"The young pianist was a musical prodigy, performing at concerts by age six.",,
22,ratiocination,/ɹˌæɾɪˌɑːsᵻnˈeɪʃən/,Sherlock Holmes's keen ratiocination enabled him to solve even the most perplexing mysteries.,,
23,sharp-witted,/ʃˈɑːɹpwˈɪɾᵻd/,"Despite his quiet demeanor, he's incredibly sharp-witted and always has a clever comeback.",,
24,crafty,/ˈkɹæfti/,Her crafty negotiation tactics allowed her to secure a favorable deal for her company.,,
