order,word,phonetic,example,note,definition_en
1,Christmas,,,,
2,santa claus,,,,
3,christmas carol,,,,
4,eggnog,,,,
5,christmas stocking,,,,
6,christmas tree,,,,
7,christmas eve,,,,
8,mistletoe,,,,
9,God,,,,
10,angel,,,,
11,elf,,,,
12,Hanukkah,,,,
13,miracle,,,,
14,eve,,,,
15,Easter,,,,
16,Thanksgiving,,,,
17,to celebrate,,,,
18,celebration,,,,
19,charity,,,,
20,religion,,,,
21,prayer,,,,
22,to pray,,,,
23,abbey,,,,
24,cathedral,,,,
25,ceremony,,,,
26,custom,,,,
27,tradition,,,,
28,faith,,,,
29,religious,,,,
30,believer,,,,
31,to bless,,,,
32,holy,,,,
33,priest,,,,
34,decoration,,,,
