order,word,phonetic,example,note,definition_en
1,mainstream,/ˈmeɪnˌstrim/,"The band's latest album was a mainstream success, topping the charts for weeks.",,
2,run-of-the-mill,/ɹˈʌnʌvðəmˈɪl/,"The film was just another run-of-the-mill romantic comedy, lacking originality or innovation.",,
3,prevailing,"/pɹiˈveɪɫɪŋ/, /pɹɪˈveɪɫɪŋ/",The prevailing fashion trend this season is characterized by bold colors and oversized silhouettes.,,
4,garden-variety,/ɡˈɑːɹdənvɚɹˈaɪəɾi/,"The scientist discovered that the virus was just a garden-variety strain, not a new and dangerous mutation.",,
5,groundbreaking,"/ˈɡɹaʊnˌbɹeɪkɪŋ/, /ˈɡɹaʊndˌbɹeɪkɪŋ/",The scientist's groundbreaking research led to a major breakthrough in cancer treatment.,,
6,unwonted,/ʌnwˈɑːntᵻd/,The sudden and unwonted appearance of a rare bird species attracted the attention of birdwatchers in the area.,,
7,quirky,/ˈkwɝki/,The quirky café in the neighborhood was known for its mismatched furniture and whimsical décor.,,
8,anomalous,/əˈnɑməɫəs/,Satellite images revealed an anomalous heat signature in a remote region that rescue teams were dispatched to investigate.,,
9,offbeat,/ˈɔfˈbit/,"The artist's offbeat paintings, featuring vibrant colors and abstract shapes, stood out in the traditional gallery.",,
10,deviant,/ˈdiviənt/,"The artist's deviant approach to sculpture challenged traditional forms, pushing the boundaries of contemporary art.",,
11,outre,/aʊtɹˈiː/,The fashion designer's outre collection featured avant-garde designs that challenged traditional concepts of clothing.,,
12,uncanny,/ənˈkæni/,"The uncanny resemblance between the twins, who had never met before, left everyone amazed.",,
13,established,/ɪˈstæbɫɪʃt/,The established method for solving this mathematical problem has been taught in schools for decades.,,
14,outlandish,/aʊtˈɫændɪʃ/,"Her outlandish outfit, featuring mismatched patterns and extravagant accessories, turned heads at the formal event.",,
15,unorthodox,/əˈnɔɹθəˌdɑks/,"The chef's unorthodox cooking methods, combining unexpected ingredients, resulted in a culinary masterpiece that delighted diners.",,
16,few and far between,/fjˈuː ænd fˈɑːɹ bɪtwˈiːn/,"In the winter months, warm sunny days are few and far between.",,
