order,word,phonetic,example,note,definition_en
1,annoyed,/əˈnɔɪd/,She felt annoyed when her computer froze in the middle of her work.,,
2,automatic,/ˌɑtəˈmætɪk/,"The garage door has an automatic opener, so you can open it with just the push of a button.",,
3,aware,/əˈwɛr/,She became aware of the time when she heard the clock chiming.,,
4,human,/ˈhjuːmən/,The human brain is capable of remarkable feats of creativity and innovation.,,
5,basic,/ˈbeɪsɪk/,Learning basic arithmetic skills is essential for understanding more advanced math concepts.,,
6,central,/ˈsɛntrəl/,"The hotel is located in a central part of the city, close to all the major attractions.",,
7,complex,"/ˈkɑmplɛks/ , /kəmˈplɛks/",The human brain is a complex organ with billions of interconnected neurons.,,
8,confused,/kənˈfjuzd/,She felt confused after reading the complicated instructions.,,
9,convenient,/kənˈviːnɪənt/,The meeting time was convenient for everyone involved.,,
10,cultural,/ˈkʌltʃərəl/,The museum features exhibits showcasing various cultural artifacts from around the world.,,
11,current,/ˈkɝːənt/,The current economic conditions are challenging for many businesses.,,
12,disappointed,/ˌdɪsəˈpɔɪntɪd/,She felt disappointed when her favorite team lost the championship game.,,
13,drunk,/drʌŋk/,The bar refused to serve more drinks to visibly drunk patrons.,,
14,eastern,/ˈiːstɚn/,The sun rises in the eastern part of the sky.,,
15,embarrassing,/ɪmˈbɛrəsɪŋ/,His embarrassing slip on the banana peel in front of everyone made him blush with embarrassment.,,
16,equal,/ˈiːkwəl/,The twins received equal portions of cake for their birthdays.,,
17,huge,/hjuːʤ/,The huge skyscraper dominated the city skyline.,,
18,essential,/ɪˈsɛnʃəl/,Adequate nutrition is essential for overall health and well-being.,,
19,familiar,/fəˈmɪljɚ/,The old house had a familiar smell that reminded her of childhood.,,
20,fixed,/fɪkst/,The shelf was fixed securely to the wall to prevent it from falling.,,
21,global,/ˈɡloʊbəl/,"The pandemic has had a global impact on public health, economies, and daily life.",,
22,historical,/hɪˈstɔrɪkəl/,They visited a historical battlefield to learn more about the country's heritage.,,
23,imaginary,/ɪˈmæʤɪˌnɛri/,"The unicorn in the story was purely imaginary, a creature of fantasy and folklore.",,
24,indoor,/ˈɪnˌdɔr/,The indoor pool at the gym provides a convenient option for swimming regardless of the weather outside.,,
25,injured,/ˈɪnʤɚd/,The injured athlete was taken off the field on a stretcher after a collision with another player.,,
26,innocent,/ˈɪnəsənt/,The evidence presented in court proved that he was innocent of the crime he was accused of.,,
27,legal,/ˈliːɡəl/,The court ruled that the search conducted by law enforcement was legal.,,
28,magic,/ˈmæʤɪk/,She possessed magic powers that allowed her to heal wounds instantly.,,
29,native,/ˈneɪtɪv/,"Native Hawaiians have a unique cultural identity and deep spiritual connection to the islands, which they have called home for centuries.",,
30,northern,/ˈnɔrðɚn/,The northern star guides travelers in the night sky.,,
31,traditional,/trəˈdɪʃənəl/,"The restaurant offers a traditional menu, focusing on familiar comfort foods rather than trendy dishes.",,
32,ancient,/ˈeɪnʃənt/,She studied ancient civilizations like the Egyptians and Greeks in her history class.,,
33,secret,/ˈsiːkrɪt/,We held a secret meeting to discuss the company's future plans.,,
34,big,/bɪɡ/,The CEO's resignation was a big event that shook the entire company.,,
35,hidden,/ˈhɪdən/,"The hidden treasure was buried deep underground, waiting to be discovered.",,
