order,word,phonetic,example,note,definition_en
1,keyboard,,,,
2,trumpet,,,,
3,accordion,,,,
4,cello,,,,
5,clarinet,,,,
6,flute,,,,
7,saxophone,,,,
8,band,,,,
9,choir,,,,
10,conductor,,,,
11,performer,,,,
12,pianist,,,,
13,violinist,,,,
14,drummer,,,,
15,album,,,,
16,tape,,,"What is a ""tape""?","A tape is a long, narrow strip of material that is coated with a magnetic substance. This coating allows sound or other data to be recorded onto it. When played back on a tape player, the tape moves past a device that reads the magnetic signals and converts them back into sound. Tapes were commonly used in the past to record and play music or voice recordings."
17,to tour,,,,
18,to publish,,,,
19,chorus,,,,
20,beat,,,,
21,lyric,,,,
22,MP3 player,,,,
23,headphones,,,,
24,microphone,,,,
25,karaoke,,,,
26,disc jockey,,,,
27,songwriter,,,,
28,tape,,,noun,
