order,word,phonetic,example,note,definition_en
1,keyboard,/ˈkiˌbɔrd/,He played a beautiful melody on the keyboard during the concert.,,
2,trumpet,/ˈtrʌmpɪt/,He played a soulful melody on the trumpet during the jazz performance.,,
3,accordion,/əˈkɔrdiən/,He played a lively polka tune on the accordion at the street fair.,,
4,cello,/ˈʧɛloʊ/,She played a soulful melody on the cello during the orchestra concert.,,
5,clarinet,/ˌklɛrəˈnɛt/,He played a soulful melody on the clarinet during the jazz band's performance.,,
6,flute,/fluːt/,She played a beautiful melody on the flute during the orchestra's performance.,,
7,saxophone,/ˈsæksəˌfoʊn/,He played a soulful jazz solo on the saxophone during the concert.,,
8,band,/bænd/,"The band released their debut album last year, which quickly gained popularity.",,
9,choir,/ˈkwaɪɚ/,The church choir sang hymns during the Sunday morning service.,,
10,conductor,/kənˈdʌktɚ/,"The conductor raised their baton, signaling the orchestra to begin the symphony.",,
11,performer,/pɚˈfɔrmɚ/,She's a versatile performer who excels in both dramatic and comedic roles.,,
12,pianist,/piˈænɪst/,She's a classically trained pianist who performs solo recitals around the world.,,
13,violinist,/ˌvaɪəˈlɪnɪst/,The renowned violinist captivated the audience with a breathtaking solo performance.,,
14,drummer,/ˈdrʌmɚ/,"He's the drummer for a rock band, setting the rhythm and driving the energy of the music with his drumming.",,
15,album,/ˈælbəm/,"The band released their new album last week, featuring ten original songs.",,
16,tape,/teɪp/,The engineer carefully spliced the tape to edit out any mistakes in the recording.,"What is a ""tape""?","A tape is a long, narrow strip of material that is coated with a magnetic substance. This coating allows sound or other data to be recorded onto it. When played back on a tape player, the tape moves past a device that reads the magnetic signals and converts them back into sound. Tapes were commonly used in the past to record and play music or voice recordings."
17,to tour,/tʊr/,"The magician will tour the world, mystifying audiences with a series of performances.",,
18,to publish,/ˈpʌblɪʃ/,The record label plans to publish the artist's new album next month.,,
19,chorus,/ˈkɔrəs/,The chorus of the song features a catchy melody that repeats throughout the track.,,
20,beat,/biːt/,"The drummer sets the beat for the band, establishing the tempo and rhythm of the song.",,
21,lyric,/ˈlɪrɪk/,"The singer delivered the heartfelt lyrics with passion and emotion, moving the audience to tears.",,
22,MP3 player,/ˈɛmˌpiˌθri ˈpleɪɚ/,She loaded her favorite songs onto her MP3 player before going for a run in the park.,,
23,headphones,/ˈhɛdˌfoʊnz/,The DJ adjusted his headphones as he prepared to cue up the next track for the crowd.,,
24,microphone,/ˈmaɪkrəˌfoʊn/,She adjusted the microphone before starting her presentation to ensure everyone could hear her clearly.,,
25,karaoke,/ˌkæriˈoʊki/,They had a blast singing karaoke with friends at the birthday party.,,
26,disc jockey,/dˈɪsk dʒˈɑːki/,The disc jockey played a mix of old and new hits to keep the dance floor packed all night.,,
27,songwriter,/ˈsɔŋˌraɪtɚ/,The songwriter penned a heartfelt ballad that resonated with fans worldwide.,,
28,tape,/teɪp/,She found an old tape of her parents' wedding in the attic and decided to watch it.,noun,
