order,word,phonetic,example,note,definition_en
1,about,/əˈbaʊt/,There were about 20 people at the party.,,
2,ago,/əˈɡoʊ/,She moved to this city three years ago.,,
3,all,/ɑl/,The children were covered all in mud after playing in the rain.,,
4,anymore,/ˌɛniˈmɔr/,I don't enjoy playing video games anymore.,,
5,anyway,/ˈɛniˌweɪ/,"Despite the rain, we decided to go for a hike anyway.",,
6,apart,/əˈpɑrt/,The twins were placed five feet apart in the exam hall.,,
7,certainly,/ˈsɝːtənli/,You can certainly count on my support.,,
8,clearly,/ˈklɪrli/,The evidence presented in the court was clearly indicative of the defendant's guilt.,,
9,commonly,/ˈkɑmənli/,"The plant is commonly referred to as ""lady's slipper.""",,
10,correctly,/kəˈrɛktli/,"The student answered the exam questions correctly, earning a high score.",,
11,definitely,/ˈdɛfɪnɪtli/,I will definitely attend the meeting tomorrow.,,
12,double,/ˈdʌbəl/,She checked her work double to ensure there were no errors.,,
13,each,/iːʧ/,The tickets were $10 each.,,
14,effectively,/ɪˈfɛktɪvli/,"The new software streamlined the company's workflow, allowing employees to communicate more effectively.",,
15,enough,/ɪˈnʌf/,The team had trained hard and believed they were fit enough for the upcoming match.,,
16,equally,/ˈiːkwəli/,Both candidates are equally qualified for the position.,,
17,even,/ˈiːvən/,She didn't even notice the change.,,
18,first,/ˈfɝst/,"Before starting the project, it's crucial to plan and outline your goals first.",,
19,frequently,/ˈfriːkwəntli/,He checks his email frequently throughout the day.,,
20,fully,/ˈfʊli/,I fully support your decision to resign.,,
21,hardly,/ˈhɑrdli/,"She hardly knew him, yet she agreed to help.",,
22,heavily,/ˈhɛvɪli/,The economy is heavily reliant on tourism.,,
23,however,/haʊˈɛvɚ/,"The weather forecast predicted rain; however, the sun is shining brightly.",,
24,incredibly,/ɪnˈkrɛdəbli/,The weather was incredibly hot today.,,
25,indeed,/ɪnˈdiːd/,She did indeed finish the project ahead of schedule.,,
26,least,/liːst/,The best ideas often come to you when you least expect them.,,
27,mainly,/ˈmeɪnli/,The economy of the country is mainly driven by its agricultural sector.,,
28,mostly,/ˈmoʊstli/,The garden was mostly filled with vibrant flowers of various colors.,,
29,naturally,/ˈnætʃrəli/,"Naturally, I hoped for the best.",,
30,absolutely,/ˌæbsəˈluːtli/,"""Are you sure this is safe?"" ""Absolutely!""",,
