order,word,phonetic,example,note,definition_en
1,iconoclast,/ˌaɪˈkɑnəˌkɫæst/,"The philosopher was an iconoclast, questioning every moral assumption of his time.",,
2,iconoclasm,/ˌaɪˈkɑnəˌkɫæzəm/,The Byzantine Iconoclasm of the 8th and 9th centuries was a period of religious controversy and conflict characterized by the destruction of religious images and icons.,,
3,mores,"/ˈmɔˌɹeɪz/, /ˈmɔˌɹiz/",The mores of a traditional society often dictate strict gender roles and expectations for behavior.,,
4,ethnography,/ɛθnˈɑːɡɹəfi/,"The anthropologist conducted ethnography in a remote Amazonian tribe, living with the community to document their customs and traditions.",,
5,counterculture,"/ˈkaʊnɝˌkəɫtʃɝ/, /ˈkaʊntɝˌkəɫtʃɝ/","The Beat Generation of the 1950s and 1960s is considered a counterculture movement, rejecting conventional norms through literature, art, and lifestyle.",,
6,totem,/ˈtoʊtəm/,"The totem of the tribe, a majestic eagle, stood tall as a symbol of unity and shared ancestry.",,
7,mannerism,/ˈmænɝˌɪzəm/,The artist's mannerism was evident in the exaggerated proportions and elongated figures present in many of his paintings.,,
8,conventionality,/kənvˌɛnʃənˈælɪɾi/,His conventionality made him popular in the traditional community.,,
9,credo,"/ˈkɹeɪdoʊ/, /ˈkɹidoʊ/",The Nicene Creed is a well-known Christian credo that articulates fundamental beliefs about the nature of God and Christ.,,
10,precept,/ˈpɹiˌsɛpt/,"""Honesty is the best policy"" is a precept often emphasized to instill the value of truthfulness in individuals.",,
11,pageantry,/ˈpædʒəntɹi/,"The opening ceremony of the Olympics is a dazzling display of pageantry, featuring artistic performances and the parade of participating nations.",,
12,syncretism,/sˈɪŋkɹɪtˌɪzəm/,The city's fashion scene reflects a syncretism of global styles and local traditions.,,
13,multiculturalism,/ˌməɫtiˈkəɫtʃɝəˌɫɪzəm/,"Multiculturalism celebrates the richness of cultural diversity and recognizes the contributions of different ethnic, religious, and linguistic groups to society.",,
14,subculture,/ˈsəbˌkəɫtʃɝ/,"The goth subculture, characterized by its dark fashion and music preferences, often congregates in alternative clubs and events.",,
15,folklore,/ˈfoʊˌkɫɔɹ/,"Folklore encompasses a wide range of cultural expressions, including myths, legends, fairy tales, folk songs, and folk dances.",,
16,soiree,/swɑˈɹeɪ/,"The ambassador hosted a lavish soiree at the embassy, inviting diplomats, dignitaries, and local elites.",,
17,endogamy,/ˈɛndoʊɡˌæmi/,"In some communities, endogamy is encouraged to preserve cultural traditions.",,
18,ritualism,/ɹˈɪtʃuːəlˌɪzəm/,The tribal ritualism included dancing around the fire to appease the gods.,,
19,animism,/ˈænəˌmɪzəm/,"Animism is evident in cultures where natural elements, like trees or rivers, are believed to possess spiritual significance.",,
20,matrilineal,/ˌmætɹɪˈɫɪniəɫ/,"In matrilineal tribes, inheritance comes from mothers.",,
21,patrilineal,/ˌpætɹɪˈɫɪniəɫ/,"In a patrilineal society, family lineage is determined by the father's side.",,
22,acculturational,/ɐkˌʌltʃɚɹˈeɪʃənəl/,Studying abroad offers acculturational experiences in different cultures.,,
