order,word,phonetic,example,note,definition_en
1,to ace,/eɪs/,"Despite the difficult questions, she managed to ace the final exam with a perfect score.",,
2,to appoint,/əˈpɔɪnt/,The manager decided to appoint a new team leader to oversee the project.,,
3,to collaborate,/kəˈlæbəreɪt/,The researchers collaborated on a groundbreaking study in neuroscience.,,
4,to commence,/kəˈmɛns/,The ceremony will commence at 10 AM sharp.,,
5,to follow up,/ˈfɑloʊ ʌp/,"After the seminar, I decided to follow up on the speaker's research and findings.",,
6,to multitask,/ˈmʌltiˌtæsk/,"In her busy job, she has to multitask efficiently to handle emails, phone calls, and meetings throughout the day.",,
7,to postpone,/poʊstˈpoʊn/,They postponed the meeting until next week due to scheduling conflicts.,,
8,to recruit,/rɪˈkrut/,The company is actively recruiting new graduates for entry-level positions.,,
9,to resign,/rɪˈzaɪn/,She decided to resign from her position as CEO.,,
10,hectic,/ˈhɛktɪk/,The office was always hectic during the end of the month with deadlines approaching.,,
11,intensive,/ɪnˈtɛnsɪv/,The company adopted a labor-intensive production method to reduce costs.,,
12,monotonous,/məˈnɑtənəs/,The endless hours of data entry made her workday feel monotonous and never-ending.,,
13,one-on-one,/ˈwʌn ɑn ˈwʌn/,She had a one-on-one meeting with her supervisor to discuss her career goals.,,
14,stimulating,/ˈstɪmjəleɪtɪŋ/,The stimulating discussion at the conference sparked new ideas among the attendees.,,
15,tedious,/ˈtidiəs/,The tedious task of filing paperwork made the afternoon drag on.,,
16,underemployed,/ˌʌndərɪmˈplɔɪd/,"Despite her qualifications, she felt underemployed in her current job, which didn't utilize her full skill set.",,
17,boardroom,/ˈbɔrdrum/,The CEO called a meeting in the boardroom to discuss the company's quarterly earnings.,,
18,internship,/ˈɪntɜrnʃɪp/,She completed a three-month internship at a local law firm to meet her graduation requirements.,,
19,vacancy,/ˈveɪkənsi/,The company announced a vacancy for a senior marketing manager.,,
20,coworker,/ˈkoʊˌwɜrkər/,My coworker helped me with a difficult project last week.,,
21,supervisor,/ˈsupərvaɪzər/,The supervisor oversees the daily operations of the department.,,
22,amateur,/ˈæməˌtɜr/,She started as an amateur in photography but quickly developed her skills.,,
23,interviewee,/ˌɪntərˌvjuˈi/,The interviewee arrived early for the job interview.,,
24,sick leave,/ˈsɪk liv/,She took sick leave to recover from a severe cold.,,
25,maternity leave,/məˈtɜrnəti liv/,She went on maternity leave a month before her baby was due.,,
26,multitasking,/ˈmʌltiˌtæskɪŋ/,Effective multitasking is essential for success in a fast-paced work environment.,,
27,labor,/ˈleɪbər/,The construction workers performed hours of hard labor under the scorching sun.,,
28,discrimination,/dɪˌskrɪmɪˈneɪʃən/,The company faced a lawsuit for discrimination against female employees.,,
29,pension,/ˈpɛnʃən/,My grandfather's pension allows him to travel during his retirement.,,
30,reference,/ˈrɛfərəns/,She requested a reference from her previous manager to support her job application.,,
31,schedule,/ˈskɛdʒul/,She checked her schedule to see when her next meeting was.,,
32,workforce,/ˈwɜrkfɔrs/,The company plans to expand its workforce by hiring an additional 200 employees this year.,,
33,workload,/ˈwɜrkloʊd/,She was overwhelmed by her heavy workload and had to work late every night.,,
34,notice,/ˈnoʊtɪs/,She handed in her two-week notice at work after accepting a new job offer.,,
35,increment,/ˈɪnkrəmənt/,She received a salary increment after completing her professional development program.,,
36,professional courtesy,/prəˈfɛʃənəl ˈkɜrtəsi/,"As a gesture of professional courtesy, the lawyer offered free legal advice to her colleague.",,
