order,word,phonetic,example,note,definition_en
1,sorority,/sɝˈɔɹəti/,"Joining a sorority can provide students with opportunities for leadership, friendship, and community service.",,
2,fraternity,"/fɹəˈtɝnəti/, /fɹəˈtɝnɪti/",He pledged to join a fraternity during his freshman year at university.,,
3,alumnus,/əˈɫəmnəs/,The university recognized John Smith as an outstanding alumnus for his contributions to the field of medicine.,,
4,alumna,/əˈɫəmnə/,The university honored Jane Doe as an exceptional alumna for her achievements in the field of engineering.,,
5,commencement,/kəˈmɛnsmənt/,The commencement ceremony celebrated the achievements of graduating students and marked the beginning of their new journey.,,
6,dean,/ˈdin/,Dr. Smith has been appointed as the new dean of the Faculty of Arts and Humanities.,,
7,grade point average,/dʒˌiːpˌiːˈeɪ/,Her grade point average of 3.8 earned her a spot on the Dean's List for academic excellence.,,
8,exeat,/ɛɡzˈiːt/,"The boarding school granted him an exeat, allowing him to leave campus for the weekend to visit his family.",,
9,valedictorian,/ˌvæɫəˌdɪkˈtɔɹiən/,Sarah was named valedictorian of her graduating class for achieving the highest grade point average.,,
10,demerit,/diˈmɛɹət/,The student received a demerit for consistently arriving late to class.,,
11,colloquium,/kəˈɫoʊkwiəm/,"The university hosted a colloquium on environmental sustainability, featuring presentations from experts in the field.",,
12,crib,/ˈkɹɪb/,The student consulted a Shakespearean crib to better understand the complex language of the play.,,
13,practicum,/pɹˈæktɪkəm/,"As part of her education program, Sarah completed a practicum at a local elementary school, gaining valuable teaching experience.",,
14,bursary,/ˈbɝsəri/,The university awarded a bursary to the student who demonstrated exceptional academic achievement.,,
15,matriculation,/mˌætɹɪkjʊlˈeɪʃən/,Have you finished your matriculation yet?,,
16,monograph,/ˈmɑnəˌɡɹæf/,"Libraries often house monographs that delve deep into niche subjects, providing invaluable resources for researchers.",,
17,conservatory,/kənˈsɝvətɔɹi/,"The renowned conservatory offered intensive training programs in classical music, dance, and theater, attracting talented students from around the world.",,
18,didactics,/dɪdˈæktɪks/,The course focused on the didactics of mathematics teaching.,,
19,to flunk,/ˈfɫəŋk/,"Despite studying hard, he unfortunately flunked the math exam.",,
20,to invigilate,/ɪnvˈɪdʒᵻlˌeɪt/,The teacher was assigned to invigilate the final exams to ensure a fair testing environment.,,
21,to ditch,/ˈdɪtʃ/,He decided to ditch school and spend the day hanging out with his friends instead.,,
22,interdisciplinary,/ˌɪntɝˈdɪsəpɫəˌnɛɹi/,"The research project was interdisciplinary, drawing on expertise from fields such as biology, chemistry, and engineering.",,
23,didactic,/daɪˈdæktɪk/,"The professor's lectures were highly didactic, providing students with valuable insights into the subject matter.",,
