order,word,phonetic,example,note,definition_en
1,and,/ænd/,I like to read books and watch movies.,,
2,or,/ɔːr/,Do you prefer to read a book or watch a TV show?,,
3,but,/bʌt/,"She loves to play soccer, but her sister prefers basketball.",,
4,if,/ɪf/,I will go to the party if I finish my homework on time.,,
5,as,/æz/,"As the sun set, the sky turned beautiful shades of orange and pink.",,
6,because,"/bɪˈkʌz/ , /bɪˈkɑːz/",He got a promotion because he worked hard.,,
7,so,/soʊ/,"It was still painful, so I went to see a specialist.",,
8,since,/sɪns/,I've felt better since I've been here.,,
9,now,/naʊ/,"Now that you've finished your work, you can take a break.",,
10,after,/ˈæftɚ/,"After the movie ended, we went out for ice cream.",,
11,before,/bɪˈfɔːr/,Don't forget to lock the door before you go out.,,
12,once,/wʌns/,I'll call you once I reach the train station.,,
13,although,/ˌɔːlˈðoʊ/,"Although it was raining, we still went to the park.",,
14,though,/ðoʊ/,"Though he didn't study for the exam, he still managed to get an A.",,
15,that,/ðæt/,She said that she was satisfied with the results.,,
16,yet,/jɛt/,"He had all the required qualifications, yet he didn't get the job.",,
17,when,/wɛn/,He felt nervous when he had to give a presentation.,,
18,whenever,/wɛnˈɛvɚ/,The cat comes running to the kitchen whenever it smells food.,,
19,where,/wɛr/,I need to find out where my friend lives so I can visit her.,,
20,whereas,/ˈwɛrˌæz/,"James is outgoing and talkative, whereas his brother is reserved and quiet.",,
21,whether,/ˈwɛðɚ/,He's trying to figure out whether he should study abroad or stay in his home country.,,
22,during,"/ˈdʊrɪŋ/ , /ˈdjʊrɪŋ/",I like to listen to music during my morning commute to work.,,
23,until,/ʌnˈtɪl/,I will wait for you until 5 PM.,,
24,from,/frʌm/,I received a letter from my cousin in Australia.,,
25,of,"/ʌv/ , /əv/",He's the director of a successful company.,,
26,through,/θruː/,The cat slipped through the fence and disappeared into the bushes.,,
27,except,/ɪkˈsɛpt/,All the books are in the box except the one I'm reading.,,
28,apart from,/əˈpɑːrt frʌm/,"Apart from my sister, everyone in our family loves sports.",,
29,around,/əˈraʊnd/,Trees stood thick around the small cottage.,,
30,by,/baɪ/,The problem was solved by teamwork.,,
31,outside,/ˌaʊtˈsaɪd/,Leave your muddy boots outside the door.,,
32,inside,/ˌɪnˈsaɪd/,I left my bag inside the locker.,,
33,nor,/nɔːr/,"He doesn't speak French, nor does he understand it.",,
34,for,"/fɔːr/ , /fɚ/",I bought a ticket for the concert this evening.,,
35,about,/əˈbaʊt/,I read an interesting article about health and fitness.,,
36,against,"/əˈɡɛnst/ , /əˈɡeɪnst/",I decided to go against the advice of my friend.,,
37,than,/ðæn/,He works harder than anyone else I know.,,
38,like,/laɪk/,"He fights like a lion, fierce and brave.",,
