order,word,phonetic,example,note,definition_en
1,carshare,/kˈɑːɹʃɛɹ/,They decided to join a carshare program to reduce their carbon footprint and save money on transportation costs.,,
2,funicular,/fjuːnˈɪkjʊlɚ/,"Tourists flocked to ride the historic funicular, which had been operating for over a century, connecting the lower town to the hilltop castle.",,
3,concourse,/ˈkɑnˌkɔɹs/,"The bustling concourse of the airport was filled with travelers rushing to catch their flights, while others waited patiently for their loved ones to arrive.",,
4,apron,/ˈeɪprən/,"The airport apron was a hive of activity, with ground crews directing planes to their designated parking spots.",,
5,provisional license,/pɹəvˈɪʒənəl lˈaɪsəns/,"As soon as she turned sixteen, she applied for a provisional license, eager to start learning how to drive.",,
6,compact car,/kəmpˈækt kˈɑːɹ/,"The compact car was ideal for navigating through crowded city streets, its small size making parking a breeze.",,
7,four-wheel drive,/fˈoːɹwˈiːl dɹˈaɪv/,They bought a four-wheel drive for their mountain trips.,,
8,tailgate,/ˈteɪɫˌɡeɪt/,He opened the tailgate of his pickup truck to unload bags of soil for the garden.,,
9,rear end,/ɹˈɪɹ ˈɛnd/,"The rear end of the car was badly damaged in the collision, requiring extensive repairs.",,
10,autogiro,/ˌɔːɾoʊdʒˈaɪɹoʊ/,The autogiro hovered gracefully in the air.,,
11,automatic number plate recognition,/ɐ ˈɛn pˈiː ˈɑːɹ/,The city installed automatic number plate recognition (ANPR) systems at key intersections to help monitor and manage traffic flow.,,
12,velocipede,/vəlˈɑːsɪpˌiːd/,My great-grandfather used to ride a velocipede to work.,,
13,gondola,"/ˈɡɑndəɫə/, /ɡɑnˈdoʊɫə/",Sunset is a particularly magical time for a gondola ride in Venice.,,
14,pneumatic tube system,/njuːmˈæɾɪk tˈuːb sˈɪstəm/,The hospital installed a pneumatic tube system to quickly transport medications and lab samples between departments.,,
15,catamaran,/ˌkætəmɝˈæn/,We embarked on an exciting adventure aboard a catamaran.,,
16,Segway,/ˈsɛˌɡweɪ/,We explored the city on a Segway tour.,,
17,magnetic levitation,/mæɡnˈɛɾɪk lˌɛvɪtˈeɪʃən/,The magnetic levitation train glided smoothly along the track at incredible speeds.,,
18,tuk-tuk,/tˈʌktˈʌk/,"The tuk-tuk weaved through the busy streets of Bangkok, offering a thrilling and authentic way to explore the city.",,
19,amphibious vehicle,/æmfˈɪbɪəs vˈiəkəl/,The amphibious vehicle smoothly transitioned from land to water.,,
20,hydrofoil,/ˈhaɪdɹəˌfɔɪɫ/,The hydrofoil glided smoothly over the waves.,,
21,to ram,/ˈɹæm/,The car lost control on the icy road and rammed into the guardrail.,,
22,to hot-wire,/hˈɑːtwˈaɪɚ/,"The thief attempted to hot-wire the car, bypassing the ignition system to steal the vehicle.",,
23,to stall,/stɑːl/,He stalled the car when he shifted gears too quickly.,,
24,to moor,/ˈmʊɹ/,The sailors worked quickly to moor the boat to the dock before the storm hit.,,
25,to reroute,"/ɹiˈɹaʊt/, /ɹiˈɹut/","Due to the road closure, the traffic management system had to reroute vehicles through alternative streets.",,
26,to veer,/ˈvɪɹ/,The driver had to veer sharply to the right to avoid colliding with the stalled car.,,
27,to gun,/ɡʌn/,"He gunned the engine of his motorcycle, reveling in the roar and the rush of acceleration.",,
28,to coast,/koʊst/,The bicycle coasted down the hill with ease.,,
29,to idle,/ˈaɪdəɫ/,"The car idled at the traffic light, waiting for the signal to change.",,
