order,word,phonetic,example,note,definition_en
1,to experience,,,,
2,to face,,,,
3,to fold,,,,
4,to force,,,,
5,to hand,,,,
6,to hang,,,,
7,to head,,,,
8,to hold on,,,,
9,to hug,,,,
10,to ignore,,,,
11,to impact,,,,
12,to indicate,,,,
13,to influence,,,,
14,to iron,,,,
15,to label,,,,
16,to lack,,,,
17,to lay,,,,
18,to limit,,,,
19,to mess,,,,
20,to mix,,,,
21,to note,,,,
22,to occur,,,,
23,to persuade,,,,
24,to place,,,,
25,to poison,,,,
26,to pour,,,,
27,to press,,,,
28,to program,,,,
29,to prove,,,,
30,to qualify,,,,
31,to reflect,,,,
32,to relate,,,,
33,to release,,,,
34,to remain,,,,
35,to remind,,,,
36,to represent,,,,
37,to freeze,,,,
