order,word,phonetic,example,note,definition_en
1,to confabulate,/kənfˈæbjʊlˌeɪt/,"As they waited for the meeting to start, colleagues confabulated about their weekend plans.",,
2,to prattle,/ˈpɹætəɫ/,"During the long car ride, the toddler prattled on about imaginary friends and adventures.",,
3,to parley,/ˈpɑɹɫi/,The opposing military generals agreed to parley in hopes of reaching a ceasefire agreement.,,
4,to palaver,/pælˈɑːvɚ/,"Instead of getting straight to the point, he tends to palaver endlessly, causing meetings to drag on.",,
5,to babble,/ˈbæbəɫ/,"The baby babbled happily, creating a stream of adorable but unintelligible sounds.",,
6,to prate,/pɹˈeɪt/,"Despite being focused on the meeting agenda, he continued to prate about irrelevant personal anecdotes.",,
7,to jaw,/ˈdʒɔ/,"Despite the urgent deadline, he continued to jaw about unrelated topics, wasting valuable time.",,
8,to natter,/ˈnætɝ/,"The friends sat on the porch, sipping lemonade, and began to natter about the latest trends in fashion and entertainment.",,
9,to blab,/ˈbɫæb/,"During the meeting, the colleague continued to blab about unrelated topics, prolonging the discussion unnecessarily.",,
10,to tattle,/ˈtætəɫ/,"In the office, a colleague couldn't resist tattling to the supervisor about a minor mistake made by a coworker.",,
11,to yak,/ˈjæk/,"The colleague yakked on and on about their weekend plans, oblivious to the disinterest of others.",,
12,to gab,/ˈɡæb/,"After not seeing each other for years, they sat on the porch and gossiped, eager to gab about their lives.",,
13,to orate,/ˈoːɹeɪt/,The presidential candidates orated passionately about their visions during the debates.,,
14,to spout,/ˈspaʊt/,The passionate activist spouted about the importance of environmental conservation during the rally.,,
15,to falter,/ˈfɔɫtɝ/,He faltered an apology when confronted about the mistake.,,
16,to bawl,/ˈbɔɫ/,"Frustrated by the unexpected setback, he couldn't help but bawl in anger.",,
17,to scoff,/ˈskɔf/,He scoffed at the idea of ghosts.,,
18,to banter,/ˈbæntɝ/,"Friends often banter about each other's quirks and habits, creating a lighthearted and enjoyable environment.",,
19,to affront,/əˈfɹənt/,Ignoring her at the party was a deliberate attempt to affront her.,,
20,to gasconade,/ɡˈæskənˌeɪd/,"In the meeting, he couldn't resist gasconading about his sales achievements, making his colleagues roll their eyes.",,
21,to crow,/kroʊ/,"After winning the championship, he couldn't help but crow about the team's victory for days.",,
22,to rodomontade,/ɹˈɑːdəmˌɑːnteɪd/,"In his stories, he tends to rodomontade about his achievements, making them sound more impressive than they are.",,
23,to hyperbolize,/hˈaɪpɚbˌɑːlaɪz/,"During the fishing trip, he tended to hyperbolize the size of the fish he caught, turning a regular catch into a legendary tale.",,
24,to play up,/plˈeɪ ˈʌp/,She decided to play up her strengths during the interview.,,
25,to cuss,/ˈkəs/,"In the middle of the chaotic kitchen, the frustrated chef began to cuss while trying to salvage the burning dish.",,
26,vociferous,/voʊˈsɪfɝəs/,The opposition party voiced vociferous complaints about the new tax policy during the legislative session.,,
27,to opine,/oʊˈpaɪn/,"During the debate, each participant was given a chance to opine on the proposed policy changes.",,
28,to proffer,/ˈpɹɑfɝ/,"Despite his reservations, John proffered his opinion on the matter, hoping to contribute to the discussion.",,
29,to insinuate,/ˌɪnˈsɪnjueɪt/,"During the discussion, she insinuated that her colleague was taking credit for her ideas without directly accusing him.",,
30,to postulate,"/ˈpɑstʃəˌɫeɪt/, /ˈpɑstʃəɫət/",Philosophers often postulate hypothetical scenarios to explore the limits of moral reasoning.,,
31,to stipulate,/ˈstɪpjəˌɫeɪt/,The contract stipulates that the payment must be made within 30 days of the invoice date.,,
32,dog whistle,/dˈɑːɡ wˈɪsəl/,"The candidate's speech contained several dog whistles aimed at his conservative base, subtly signaling his stance on immigration reform without directly addressing the issue.",,
