order,word,phonetic,example,note,definition_en
1,to generalize,/ˈdʒɛnərəˌlaɪz/,It's unfair to generalize all teenagers as being irresponsible based on the actions of a few.,,
2,to go against,/ɡoʊ əˈɡɛnst/,Her principles go against the idea of exploiting natural resources for profit.,,
3,to invoke,/ɪnˈvoʊk/,She invoked the words of Gandhi to inspire her audience during the speech.,,
4,to plead,/plid/,"The defense lawyer pleaded self-defense, arguing that the defendant acted to protect himself from imminent harm.",,
5,to point,/pɔɪnt/,The dark clouds point to the likelihood of rain later in the day.,,
6,to prejudice,/ˈprɛdʒədɪs/,Her negative experiences prejudiced her against people from that particular ethnicity.,,
7,to provoke,/prəˈvoʊk/,"His sarcastic remarks were meant to provoke his sister, but she remained unfazed.",,
8,to reconsider,/ˌrikənˈsɪdər/,"Feeling unsure, she asked her friends to help her reconsider her career path.",,
9,to signpost,/ˈsaɪnˌpoʊst/,"The trail was well signposted, making it easy for hikers to navigate.",,
10,to sum up,/sʌm ʌp/,"To save time, the presenter decided to sum the discussion up quickly.",,
11,to yap,/jæp/,The politician continued to yap about his achievements during the campaign.,,
12,ideological,/ˌaɪdiəˈlɑdʒɪkəl/,The party's platform is rooted in ideological principles of liberalism and social justice.,,
13,irrelevant,/ɪˈrɛləvənt/,His personal anecdotes were irrelevant to the topic of the lecture.,,
14,inclined,/ɪnˈklaɪnd/,"She's inclined to think the project will succeed, but she's not entirely convinced yet.",,
15,inflexible,/ɪnˈflɛksəbəl/,The company's policy on punctuality is inflexible; tardiness is not tolerated.,,
16,mistaken,/mɪˈsteɪkən/,She was mistaken about the date of the event and missed it.,,
17,moderate,/ˈmɑdərɪt/,"She holds moderate views on economic policy, advocating for balanced approaches.",,
18,reserved,/rɪˈzɜrvd/,"Despite his reserved demeanor, he was a deeply compassionate person who preferred to listen rather than speak about his own struggles.",,
19,unstated,/ʌnˈsteɪtɪd/,The unstated goal of the project was to increase customer satisfaction.,,
20,vocal,/ˈvoʊkəl/,She was vocal in her support for environmental conservation at the town hall meeting.,,
21,given that,/ˈɡɪvən ðæt/,"Given that it was raining heavily, we decided to postpone the picnic.",,
22,no kidding,/noʊ ˈkɪdɪŋ/,"No kidding, the concert is tonight, and I forgot to buy tickets.",,
23,honest to God,/ˈɑnɪst tu ɡɑd/,"Honest to God, I had no idea the surprise party was for me.",,
24,having said that,/ˈhævɪŋ sɛd ðæt/,"The weather forecast predicts rain for the weekend; having said that, I still think it's worth planning an outdoor activity just in case the weather clears up.",,
25,if anything,/ɪf ˈɛniθɪŋ/,"He claimed to have lost weight during the holiday, but if anything, he seemed to have gained a few pounds.",,
26,at all,/æt al/,Do you feel sick at all?,,
27,that said,/ðæt sɛd/,"It's just a gimmick. That said, I'd love to do it.",,
28,beyond doubt,/biˈjɑnd daʊt/,"Her dedication to her work was beyond doubt, as she consistently delivered exceptional results.",,
29,hostility,/hɑˈstɪlɪti/,The hostility between the two rival teams was evident throughout the entire match.,,
30,mainstream,/ˈmeɪnˌstrim/,"Despite her unconventional ideas, she managed to gain acceptance in the mainstream over time.",,
31,objectivity,/ˌɑbdʒɛkˈtɪvɪti/,"The journalist prided herself on her objectivity, always presenting the facts without bias.",,
32,subjectivity,/ˌsʌbdʒɛkˈtɪvɪti/,"The art critic's review was filled with subjectivity, reflecting her personal tastes and preferences.",,
33,premise,/ˈprɛmɪs/,The entire debate was based on the premise that economic growth benefits all members of society.,,
34,reasoning,/ˈrizənɪŋ/,"The scientist's reasoning behind the experiment was sound, leading to groundbreaking results.",,
35,say,/seɪ/,The committee gave everyone a say in the decision-making process to ensure all viewpoints were considered.,,
36,to [have] second thoughts,/hæv sˈɛkənd θˈɔːts/,It seems like our client has second thoughts.,,
37,voice,/vɔɪs/,"In a democracy, freedom of speech ensures that every citizen has a voice in expressing their opinions and beliefs.",,
38,solidarity,/ˌsɑləˈdærɪti/,The workers stood together in solidarity to demand fair wages and better working conditions.,,
