order,word,phonetic,example,note,definition_en
1,alligator,,,,
2,ant,,,,
3,bat,,,,
4,rat,,,,
5,wolf,,,,
6,turtle,,,,
7,goldfish,,,,
8,bull,,,,
9,chimpanzee,,,,
10,donkey,,,,
11,giraffe,,,,
12,gorilla,,,,
13,rooster,,,,
14,kangaroo,,,,
15,snail,,,,
16,lizard,,,,
17,guinea pig,,,,
18,octopus,,,,
19,salmon,,,,
20,lobster,,,,
21,swan,,,,
22,cobra,,,,
23,raccoon,,,,
24,zebra,,,,
25,seal,,,,
26,porcupine,,,,
27,turkey,,,,
28,goose,,,,
29,crow,,,,
30,pigeon,,,,
31,cricket,,,,
32,creature,,,,
33,to bite,,,,
34,trap,,,,
35,bull shark,,,,
36,shellfish,,,,
