order,word,phonetic,example,note,definition_en
1,tour,/tʊr/,He booked a tour to explore the best surf spots on the island.,,
2,tourism,/ˈtʊrɪzəm/,Government policies are encouraging the growth of rural tourism.,,
3,tourist,/ˈtʊrɪst/,"As a tourist in Paris, she made sure to visit the Louvre Museum.",,
4,sightseeing,/ˈsaɪtˌsiɪŋ/,Our vacation itinerary included two days of sightseeing in Barcelona.,,
5,guide,/ɡaɪd/,"During our trip to the vineyard, the guide explained the process of wine making.",,
6,passenger,/ˈpæsənʤɚ/,She often reads a book to pass the time when she's a passenger on long road trips.,,
7,traveler,/ˈtrævəlɚ/,"As a solo traveler, she appreciated the freedom to create her own itinerary.",,
8,suitcase,/ˈsutˌkeɪs/,She always puts a colorful tag on her suitcase to easily identify it at baggage claim.,,
9,baggage,/ˈbæɡɪʤ/,"After a mix-up at the airport, he ended up with someone else's baggage.",,
10,reception,/rɪˈsɛpʃən/,"On checking out, he returned his room key to the reception.",,
11,twin bed,/twɪn ˈbɛd/,"Her dorm room was small, with just enough space for twin beds and a desk.",,
12,single bed,/ˈsɪŋɡəl ˈbɛd/,He chose a hotel room with a single bed since he was traveling alone.,,
13,single room,/ˈsɪŋɡəl ˈruːm/,He preferred staying in a single room while traveling for privacy.,,
14,double room,/ˈdʌbəl ˈruːm/,She loved the double room's large windows that let in plenty of natural light.,,
15,airline,/ˈɛrˌlaɪn/,He always flies with the same airline to accumulate loyalty points.,,
16,flight,/flaɪt/,He managed to catch some sleep during the long flight.,,
17,gate,/ɡeɪt/,He read a book while waiting at the gate for his flight.,,
18,international,/ˌɪntɚˈnæʃənəl/,He is an international student studying in a university abroad.,,
19,seat,/siːt/,He checked his ticket to find the correct seat in the stadium.,,
20,boarding pass,/ˈbɔrdɪŋ ˈpæs/,He forgot his boarding pass in the waiting area and had to rush back to get it.,,
21,round-trip ticket,/raʊnd ˈtrɪp ˈtɪkɪt/,He lost his round-trip ticket and had to buy a new one.,,
22,one-way ticket,/wʌn ˈweɪ ˈtɪkɪt/,He bought a one-way ticket to New York to start his new job.,,
23,to book,/bʊk/,I need to book a flight to New York for next week's business meeting.,,
24,public transportation,/ˈpʌblɪk ˌtrænspɚˈteɪʃən/,He fell asleep on the public transportation and missed his stop.,,
25,platform,/ˈplætˌfɔrm/,He checked the platform number on his ticket before heading towards his train.,,
26,railroad,/ˈreɪlˌroʊd/,He works as an engineer for the local railroad company.,,
27,fare,/fɛr/,She bought a monthly pass to save on daily fare expenses.,,
28,route,"/ruːt/ , /raʊt/",She looked at the route map before her road trip.,,
29,to ride,/raɪd/,He prefers to ride the bus to work instead of driving.,,
30,to catch,/kætʃ/,He left his meeting early in order to catch his flight home.,,
31,to miss,/mɪs/,I got lost on my way to the airport and I'm going to miss my flight.,,
32,to welcome,/ˈwɛlkəm/,He welcomed his friend at the train station who was visiting from another city.,,
33,way,/weɪ/,They live on Oak Way.,,
