order,word,phonetic,example,note,definition_en
1,before,/bɪˈfɔːr/,The number 5 comes before 6 on the list.,,
2,after,/ˈæftɚ/,"After dinner, we'll watch a movie.",,
3,at,/æt/,I saw him at the grocery store.,,
4,in,/ɪn/,They live in a big house.,,
5,on,"/ɑːn/ , /ɒn/",If you are cold the blanket is on the bed.,,
6,below,/bɪˈloʊ/,The book fell below the shelf.,,
7,above,/əˈbʌv/,The kite soared high above the treetops.,,
8,across,/əˈkrɑːs/,My friend lives across the road from us.,,
9,near,/nɪr/,The children became happy when they found out that the playground is near the apartment building.,,
10,between,/bɪˈtwiːn/,The book is placed between the notebooks and the pen holder.,,
11,next to,/nɛkst tuː/,"The basketball court is situated next to the fitness center, encouraging physical activities and sports.",,
12,behind,/bɪˈhaɪnd/,The magician pulled the rabbit out from behind the hat.,,
13,with,"/wɪð/ , /wɪθ/",I went to the park with my friends.,,
14,to,/tuː/,He rode his bicycle to the store to buy some groceries.,,
15,another,/əˈnʌðɚ/,He needs another guitar pick for his performance.,,
16,this,/ðɪs/,Do you know the name of this song?,,
17,that,/ðæt/,"I'll take this seat, and you can have that one.",,
18,both,/boʊθ/,Both books on the shelf are interesting.,,
19,what,/wʌt/,I don't know what time it is.,,
20,a,/ə/,She bought a new book yesterday.,,
21,over,/ˈoʊvɚ/,Smoke hung over the burning building.,,
22,under,/ˈʌndɚ/,She found her keys under a pile of papers on her desk.,,
