order,word,phonetic,example,note,definition_en
1,age,/eɪdʒ/,"During the age of exploration, many new lands and trade routes were discovered.",,
2,calendar,/ˈkælɪndɚ/,They followed a lunar calendar to determine the dates of traditional festivals.,,
3,to schedule,/ˈskɛdʒul/,He scheduled his doctor's appointment for next week.,,
4,era,"/ˈɛɹə/, /ˈɪɹə/",The fall of the Berlin Wall marked the beginning of a new era in European politics.,,
5,fortnight,/ˈfɔɹtˌnaɪt/,"She planned her vacation to start in a fortnight, giving her time to prepare.",,
6,millennium,/məˈɫɛniəm/,Historians study events that occurred during the first millennium AD to understand ancient civilizations.,,
7,time zone,/tˈaɪm zˈoʊn/,The conference call was scheduled to accommodate participants in different time zones.,,
8,(about|high) time,/ɪt biː ɐbˌaʊt hˈaɪ tˈaɪm/,It's about time you start taking your health seriously and prioritize exercise.,,
9,local time,/lˈoʊkəl tˈaɪm/,He set his watch to local time after arriving in the new country.,,
10,chronometer,/kɹənˈɑːmɪɾɚ/,The chronometer's accuracy was tested regularly to maintain its reliability for professional use.,,
11,hourglass,/ˈaʊɝˌɡɫæs/,She flipped the hourglass to start the 30-minute countdown for her cooking task.,,
12,pendulum clock,/pˈɛndʒuːləm klˈɑːk/,"The antique pendulum clock chimed every hour, marking the passage of time in the living room.",,
13,stopwatch,/ˈstɑpˌwɑtʃ/,The coach used a stopwatch to time each runner during the track practice.,,
14,sundial,/ˈsənˌdaɪɫ/,The sundial in the garden provided a charming and old-fashioned way to keep track of the time.,,
15,twilight,/ˈtwaɪˌɫaɪt/,"The colors of the sky during twilight were breathtaking, blending shades of orange and purple.",,
16,lateness,/ˈɫeɪtnəs/,"Her lateness to the meeting was noted, and she apologized for the delay.",,
17,chronological,/ˌkɹɑnəˈɫɑdʒɪkəɫ/,The historical events were presented in chronological order.,,
18,instant,/ˈɪnstənt/,The microwave oven offers instant heating for food.,,
19,for the moment,/fɚðə mˈoʊmənt/,"We have enough supplies for the moment, but we'll need to restock soon.",,
20,lately,/ˈɫeɪtɫi/,I've been feeling tired lately.,,
21,day-to-day,/ˈdeɪtuˌdeɪ/,"She manages the day-to-day operations of the office, ensuring everything runs smoothly.",,
22,annual,/ˈænjuəɫ/,They celebrated their annual family reunion in the summer.,,
23,annually,/ˈænjuəɫi/,The insurance premium is paid annually.,,
24,monthly,/ˈmʌnθli/,Their monthly meetings allow the team to align on goals and address any challenges.,,
25,weekly,/ˈwikˌli/,They attended their weekly yoga class on Monday evenings.,,
26,momentarily,/ˌmoʊmənˈtɛɹəɫi/,He paused momentarily to catch his breath.,,
27,now and again,/nˈaʊ ænd ɐɡˈɛn/,They visit their hometown now and again.,,
28,(every|) now and then,/ˈɛvɹi nˈaʊ ænd ðˈɛn/,She enjoys a dessert now and then.,,
29,overtime,/ˈoʊvɝˌtaɪm/,She worked overtime to finish the project before the deadline.,,
30,later on,/lˈeɪɾɚɹ ˈɑːn/,"I'll finish the task later on, after I take a break.",,
