order,word,phonetic,example,note,definition_en
1,futures contract,/fjˈuːtʃɚz kˈɑːntɹækt/,"Farmers often use a futures contract to lock in a price for their crops ahead of the harvest, protecting themselves against price fluctuations in the market.",,
2,deal-of-the-day,/dˈiːlʌvðədˈeɪ/,"The e-commerce website launched a deal-of-the-day promotion, offering significant discounts on a different product each day to drive sales and customer engagement.",,
3,markup,/ˈmɑɹˌkəp/,The boutique applied a 50% markup to all its clothing items to cover operational costs and ensure a healthy profit margin.,,
4,knockoff,/ˈnɑˌkɔf/,"The market was flooded with knockoffs of popular designer handbags, much to the dismay of luxury brands.",,
5,loyalty card,/lˈɔɪəlɾi kˈɑːɹd/,"The supermarket introduced a loyalty card program, allowing customers to earn points on their purchases and redeem them for discounts or free products.",,
6,layaway,/ˈɫeɪəˌweɪ/,"The furniture store offers a layaway plan, allowing customers to reserve a sofa or bed and pay for it gradually over several months.",,
7,token,/ˈtoʊkən/,"At the arcade, players use tokens to play the various games, which can be purchased from a token machine at the entrance.",,
8,best-before date,/bˈɛstbɪfˌoːɹ dˈeɪt/,"When shopping for groceries, always check the best-before date to ensure the food is still fresh and safe to consume.",,
9,cash and carry,/kˈæʃ ænd kˈæɹi/,The small restaurant owner prefers to shop at a cash and carry wholesale store to buy ingredients in bulk at lower prices without the need for delivery services.,,
10,click and collect,/klˈɪk ænd kəlˈɛkt/,"During the busy holiday season, many shoppers prefer the convenience of click and collect, allowing them to order gifts online and pick them up in-store at their convenience.",,
11,to undercut,/ˈəndɝˌkət/,"In a competitive market, businesses may undercut their rivals to attract price-sensitive customers.",,
12,to splurge,/ˈspɫɝdʒ/,"On special occasions, individuals often splurge on gifts or experiences.",,
13,to haggle,/ˈhæɡəɫ/,I don’t like to haggle; I prefer paying the price listed.,,
14,to outbid,/ˈaʊtˌbɪd/,"At the auction, Sarah was determined to outbid everyone else for the vintage painting, eventually winning it with the highest offer.",,
15,to shortchange,/ʃˈɔːɹttʃˈeɪndʒ/,The cashier shortchanged me by a few dollars.,,
16,back order,/bˈæk ˈɔːɹdɚ/,"My phone case is on back order, so I'll have to wait a bit longer.",,
17,BOGOF,/bˈɑːɡɑːf/,The store's BOGOF on all summer clothing attracted a lot of customers looking for a good deal.,,
18,retail loss prevention,/ɹˈiːteɪl lˈɔs pɹɪvˈɛnʃən/,The retail loss prevention team conducted regular audits and surveillance to identify and address potential areas of risk within the store.,,
19,retail therapy,/ɹˈiːteɪl θˈɛɹəpi/,"After a long and stressful week at work, Sarah indulged in a bit of retail therapy, treating herself to a new outfit and accessories.",,
20,showrooming,/ʃˈoʊɹuːmɪŋ/,Many consumers engage in showrooming by browsing items at brick-and-mortar stores to get a feel for them before making their final purchase online.,,
21,reverse logistics,/ɹɪvˈɜːs lədʒˈɪstɪks/,The e-commerce company developed a comprehensive reverse logistics system to handle product returns efficiently and minimize costs associated with restocking and reshipping.,,
22,retail apocalypse,/ɹˈiːteɪl ɐpˈɑːkɐlˌɪps/,"The rise of e-commerce giants like Amazon has contributed to a retail apocalypse, leading to the closure of thousands of traditional retail stores across the country.",,
23,stock keeping unit,/stˈɑːk kˈiːpɪŋ jˈuːnɪt/,"The warehouse manager uses SKUs to track the movement and storage of inventory items, ensuring accurate stock levels and efficient order fulfillment.",,
24,retail analytics,/ɹˈiːteɪl ˌænɐlˈɪɾɪks/,Retail analytics helps businesses understand customer preferences and buying patterns.,,
