order,word,phonetic,example,note,definition_en
1,parent,/ˈpɛrənt/,"As a single parent, she worked tirelessly to provide for her family and ensure their well-being.",,
2,father,/ˈfɑːðɚ/,"As a father, he takes great joy in spending quality time with his children and creating lasting memories.",,
3,mother,/ˈmʌðɚ/,Mothers play a vital role in nurturing and shaping their children's lives.,,
4,dad,/dæd/,"Dad, can we go to the park and play catch this afternoon?",,
5,mom,/mɑːm/,"Mom, can you help me with my homework? I'm having trouble understanding this math problem.",,
6,wife,/waɪf/,"As a devoted wife, she takes care of the household chores and ensures a comfortable home for her family.",,
7,husband,/ˈhʌzbənd/,"As a loving husband, he surprises his wife with romantic gestures on special occasions.",,
8,child,/tʃaɪld/,She read a bedtime story to her child every night before tucking them into bed.,,
9,son,/sʌn/,John is a loving father who takes great pride in raising his two sons.,,
10,daughter,/ˈdɔːtɚ/,Emily couldn't wait to meet her newborn daughter and hold her in her arms for the first time.,,
11,sister,/ˈsɪstɚ/,"My dad has two sisters, both of whom are older than him.",,
12,brother,/ˈbrʌðɚ/,Emily's brother likes to play video games and watch sports on TV.,,
13,family,"/ˈfæməli/, /ˈfæmli/",Family is important to me because they support me when I need it.,,
14,grandmother,/ˈɡrænˌmʌðɚ/,Grandmothers love spending time with their grandchildren and spoil them with candy.,,
15,grandfather,/ˈɡrænˌfɑːðɚ/,"He enjoys spending time with his grandfather, playing chess and telling jokes.",,
16,grandchild,/ˈɡrænˌtʃaɪld/,He takes his grandchild to the zoo and teaches them about different animals.,,
17,aunt,"/ænt/, /ɑːnt/",Anne's aunt always sends her birthday cards and gifts.,,
18,uncle,/ˈʌŋkəl/,His uncle is like a second father to him.,,
19,niece,/niːs/,"He loves spending time with his niece, teaching her how to play guitar.",,
20,nephew,/ˈnɛfju/,I bought a toy for my nephew's birthday.,,
21,cousin,/ˈkʌzən/,"Her cousin is like a brother to her, and they share many interests and hobbies.",,
