order,word,phonetic,example,note,definition_en
1,transportation,,,,
2,vehicle,,,,
3,yacht,,,,
4,aircraft,,,,
5,plane,,,,
6,jet,,,,
7,track,,,,
8,tunnel,,,,
9,destination,,,,
10,harbor,,,,
11,port,,,,
12,airfare,,,,
13,seat belt,,,,
14,to board,,,,
15,to access,,,,
16,to get in,,,,
17,to set out,,,,
18,to set off,,,,
19,to land,,,,
20,on board,,,,
21,first class,,,,
22,business class,,,,
23,economy class,,,,
24,connection,,,,
25,domestic,,,,
26,public,,,,
27,window seat,,,,
28,to commute,,,,
29,nonstop,,,,
30,to transport,,,,
31,turn,,,,
32,to bike,,,,
