order,word,phonetic,example,note,definition_en
1,region,/ˈriːdʒən/,Different regions of the country experience varying weather patterns.,,
2,land,/lænd/,,,
3,highland,/ˈhaɪˌlənd/,"The Scottish Highlands boast breathtaking landscapes of rugged mountains, pristine lochs, and rolling hills.",,
4,woodland,/ˈwʊdˌlənd/,The hikers set off on a trail through the dense woodland to reach the mountain summit.,,
5,jungle,/ˈʤʌŋɡəl/,"Wild cats, like tigers, roam freely in the jungle.",,
6,meadow,/ˈmɛdoʊ/,,,
7,mountain range,/ˈmaʊntən ˌreɪndʒ/,The Himalayas are the highest mountain range in the world.,,
8,cave,/keɪv/,"Exploring caves can be an exciting adventure, revealing hidden chambers and breathtaking formations.",,
9,cliff,/klɪf/,"They stood at the edge of the cliff, taking in the breathtaking view.",,
10,mountainous,/ˈmaʊntənəs/,The mountainous region offers breathtaking views and challenging hikes.,,
11,rocky,/ˈrɑki/,"The path up the mountain was rocky, making the hike challenging.",,
12,canyon,/ˈkænjən/,A river runs through the narrow canyon.,,
13,waterfall,/ˈwɑtɚˌfɑl/,They hiked for hours to reach the breathtaking waterfall hidden in the forest.,,
14,bank,/bænk/,"The children played on the sandy bank of the river, building sandcastles and skipping stones.",,
15,coastline,/ˈkoʊstˌlaɪn/,The rugged coastline stretched for miles.,,
16,sand,/sænd/,The children built castles with the soft sand on the beach.,,
17,canal,/kəˈnæl/,"The ship sailed through the canal, heading toward the harbor.",,
18,channel,/ˈʧænəl/,"The English Channel separates the United Kingdom from continental Europe, serving as one of the busiest shipping lanes in the world.",,
19,sea level,/ˈsiː ˌlɛvəl/,The city is located 50 meters above sea level.,,
20,mud,/mʌd/,"After the rain, the backyard was covered in thick mud, making it challenging to walk without slipping.",,
21,national park,/ˈnæʃənəl ˌpɑrk/,The family spent their vacation hiking in a national park.,,
22,Antarctic,/ænˈtɑrktɪk/,,,
23,Arctic,/ˈɑrktɪk/,The Arctic climate is characterized by extreme cold temperatures and ice.,,
24,volcano,/vɑlˈkeɪnoʊ/,"The volcano erupted, sending ash into the sky.",,
25,location,/loʊˈkeɪʃən/,"The new office location is closer to public transportation, making it more accessible for employees.",,
