order,word,phonetic,example,note,definition_en
1,much,/mʌʧ/,"I didn't eat much lunch today, so I'm hungry.",,
2,many,/ˈmɛni/,He made many mistakes in his assignment.,,
3,most,/moʊst/,"He eats most vegetables, but he doesn't like broccoli.",,
4,least,/liːst/,I chose the job that required the least travel.,,
5,all,/ɑl/,All books on this shelf belong to me.,,
6,few,/fju/,Few people understand the complexity of this issue.,,
7,more,/mɔr/,They've promised to donate more food to the shelter.,determiner,
8,more,/mɔr/,I need to study more carefully for the next test.,adverb,
9,less,/lɛs/,She decided to spend less time on social media.,determiner,
10,less,/lɛs/,He spoke less clearly after his surgery.,adverb,
11,little,/ˈlɪtəl/,I have little time to finish the project.,determiner,
12,little,/ˈlɪtəl/,The city has changed little over the years.,adverb,
13,very,/ˈvɛri/,I find the math problems very difficult.,,
14,quite,/kwaɪt/,"After a long day at work, she found the warm bath quite soothing.",,
15,too,/tuː/,This room is too cold to sleep in.,,
16,pretty,/ˈprɪti/,"The movie was pretty good, though the ending felt rushed.",,
17,really,"/ˈriːəli/ , /ˈrɪəli/",This cake is really delicious.,,
18,fairly,/ˈfɛrli/,I found the assignment fairly easy; I finished it in an hour.,,
19,first,/ˈfɝst/,He was the first person to climb the mountain.,,
20,second,/ˈsɛkənd/,This is his second attempt at solving the puzzle.,,
21,third,/θɝd/,He was the third person in line for the concert.,,
22,completely,/kəmˈplitli/,He completely forgot about the meeting.,,
23,so,/soʊ/,She looked so beautiful at the party last night.,,
24,great,/ɡreɪt/,The storm caused a great deal of damage to the coastal town.,,
25,extremely,/ɪkˈstrimli/,Her paintings are extremely impressive.,,
26,rather,/ˈræðɚ/,He was rather late for the meeting.,,
27,totally,/ˈtoʊtəli/,His explanation was totally convincing.,,
28,unusually,/ʌnˈjuʒəli/,"He was unusually quiet today, which made me worry about him.",,
29,either,"/ˈiðɚ/ , /ˈaɪðɚ/","Either wear a coat, or you'll catch a cold.",,
