order,word,phonetic,example,note,definition_en
1,fashion designer,/fˈæʃən dɪzˈaɪnɚ/,"At the workshop, the fashion designer taught students about sustainable materials.",,
2,farmer,/ˈfɑɹmɝ/,He's a farmer known for his juicy watermelons.,,
3,soldier,/ˈsoʊɫdʒɝ/,Every soldier must undergo rigorous training.,,
4,officer,/ˈɑfɪsɚ/,Every officer wears a badge for identification.,,
5,hairstylist,/hˈɛɹstɪlˌɪst/,"After training for a year, she became a certified hairstylist.",,
6,scientist,/ˈsaɪəntɪst/,"As a scientist, he spends a lot of time in the lab.",,
7,head,/hɛd/,"As the head of marketing, she has many responsibilities.",,
8,politician,/ˌpɑɫəˈtɪʃən/,Many young people dream of becoming a politician.,,
9,organization,/ˌɔɹɡənəˈzeɪʃən/,He is the founder of a new sports organization.,,
10,title,/ˈtaɪtəl/,"After years of hard work, she was given the title ""Senior Engineer.""",,
11,staff,/ˈstæf/,All staff members are required to attend the meeting.,,
12,salary,/ˈsæɫɝi/,Employees receive their salary at the end of the month.,,
13,raise,/reɪz/,A raise is expected after the annual review.,,
14,overtime,/ˈoʊvɝˌtaɪm/,"Due to the deadline, the team put in several hours of overtime.",,
15,promotion,/prəˈmoʊʃən/,A promotion often comes with increased responsibilities.,,
16,recommendation,/ˌɹɛkəmənˈdeɪʃən/,She got the job based on her professor's recommendation.,,
17,meeting,/ˈmitɪŋ/,I learned a lot from the training meeting last week.,,
18,break,/breɪk/,"After three hours of driving, they took a break at a rest stop.",,
19,job interview,/dʒˈɑːb ˈɪntɚvjˌuː/,"After five job interviews, he finally got an offer.",,
20,apprentice,"/əˈpɹɛntəs/, /əˈpɹɛntɪs/",Apprentices often do tasks under close supervision.,,
21,full-time,/ˈfʊɫˌtaɪm/,"After her internship, they offered her a full-time position.",,
22,part-time,/ˈpɑɹtˈtaɪm/,He accepted a part-time teaching position at the college.,,
23,retired,"/ɹiˈtaɪɝd/, /ɹiˈtaɪɹd/, /ɹɪˈtaɪɹd/","His father, a retired doctor, volunteers at the local clinic.",,
24,to hire,"/ˈhaɪɝ/, /ˈhaɪɹ/",The company plans to hire ten new employees next month.,,
25,to fire,/ˈfaɪɚ/,"If she doesn't improve her performance, they might fire her.",,
26,to earn,/ˈɝn/,Freelancers earn money based on the projects they complete.,,
27,to quit,/kwɪt/,"After the disagreement, three employees quit.",,
28,employee,"/ɛmˈpɫɔɪi/, /ɪmˈpɫɔɪi/",The boss expected all the employees to arrive at work on time every day.,,
29,dancer,/ˈdænsɚ/,He's an accomplished folk dancer and has performed at many cultural festivals.,,
30,pay,/peɪ/,"After the promotion, he saw a significant increase in his pay.",,
31,resume,/ɹˈɛzuːmˌeɪ/,"After her internship, she added the experience to her resume.",,
