order,word,phonetic,example,note,definition_en
1,to wish,/wɪʃ/,He regularly wishes he could travel the world.,,
2,achievement,/əˈʧiːvmənt/,He beamed with pride as he recounted his achievement of climbing the highest peak in the country.,,
3,aim,/eɪm/,His aim is to finish the marathon in under four hours.,,
4,to aim,/eɪm/,She aimed to graduate with honors and put in countless hours studying.,,
5,ambition,/æmˈbɪʃən/,"Fueled by boundless ambition, the young entrepreneur launched her tech startup despite the crowded market.",,
6,bright,/braɪt/,"With his talent and dedication, his future in the company looks bright.",,
7,effective,/ɪˈfɛktɪv/,The effective marketing campaign boosted sales significantly.,,
8,effort,/ˈɛfɚt/,"Despite her best effort, she couldn't solve the puzzle.",,
9,wish,/wɪʃ/,,,
10,to manage,/ˈmænɪʤ/,She managed to finish the project just before the deadline.,,
11,practical,/ˈpræktɪkəl/,The engineer proposed a practical solution to the problem.,,
12,positive,/ˈpɑzətɪv/,The company experienced positive growth after implementing new strategies.,,
13,negative,/ˈnɛɡətɪv/,The report highlighted the negative impact of pollution on wildlife.,,
14,to promote,/prəˈmoʊt/,The manager worked to promote teamwork and collaboration within the team.,,
15,respect,/rɪˈspɛkt/,,,
16,to respect,/rɪˈspɛkt/,I respect my grandfather for his wisdom and life experiences.,,
17,secret,/ˈsiːkrɪt/,Careful planning is the secret to success in this complex project.,,
18,to support,/səˈpɔrt/,Friends and family members often support each other during challenging times.,,
19,to work on,/wɝːk ɑn/,She's working on a solution to address the recurring issues in the system.,,
20,to dream,/driːm/,I dream of traveling the world and experiencing different cultures.,,
21,hopeful,/ˈhoʊpfəl/,The young artist felt hopeful after receiving positive feedback on her latest work.,,
22,progress,"/ˈprɑːɡrɛs/ , /ˈproʊɡrɛs/",The scientist made significant progress in her research on renewable energy.,,
23,to intend,/ɪnˈtɛnd/,She intends to travel abroad next summer.,,
24,to go,/ɡoʊ/,"Despite the initial setbacks, the project is going smoothly now.",,
25,fight,/faɪt/,"Despite facing numerous setbacks, her fight to achieve her dream of becoming a doctor never wavered.",,
26,fortunately,/ˈfɔrtʃənətli/,"Fortunately, the weather cleared up just in time for the outdoor event, allowing it to proceed smoothly.",,
27,unfortunately,/ʌnˈfɔrtʃənətli/,"Unfortunately, the flight was delayed due to severe weather conditions, causing inconvenience for the passengers.",,
28,successfully,/səkˈsɛsfəli/,"After months of hard work and dedication, she successfully completed her research project.",,
29,to result,/rɪˈzʌlt/,His reckless behavior resulted in a car accident.,,
30,to secure,/sɪˈkjʊr/,"After months of negotiations, they finally secured a contract with the new client.",,
